ticker,conm,ret,year,month,EW,VW,PW,n
CEN.2,CERIDIAN CORP,-0.257971014,2000,1,1,3118.8646875,21.5625,394
CEN.2,CERIDIAN CORP,0.23828125,2000,2,1,2314.288,16,394
CEN.2,CERIDIAN CORP,-0.031545741,2000,3,1,2865.7394375,19.8125,394
CEN.2,CERIDIAN CORP,0.1302931596,2000,4,1,2777.35225,19.1875,394
CEN.2,CERIDIAN CORP,0.1123919308,2000,5,1,3139.22225,21.6875,394
CEN.2,CERIDIAN CORP,-0.002590674,2000,6,1,3495.254125,24.125,394
CEN.2,CERIDIAN CORP,-0.054545455,2000,7,1,3486.1990625,24.0625,394
CEN.2,CERIDIAN CORP,0.0631868132,2000,8,1,3296.04275,22.75,394
CEN.2,CERIDIAN CORP,0.1602067183,2000,9,1,3512.31525,24.1875,394
CEN.2,CERIDIAN CORP,-0.109131403,2000,10,1,4075.01175,28.0625,394
CEN.2,CERIDIAN CORP,-0.0825,2000,11,1,3630.3,25,394
CEN.2,CERIDIAN CORP,-0.130790191,2000,12,1,3330.80025,22.9375,394
CEN.2,CERIDIAN CORP,-0.074106583,2001,1,1,2904.09625,19.9375,394
CEN.2,CERIDIAN CORP,0.0958829902,2001,2,1,2688.8836,18.46,394
CEN.2,CERIDIAN CORP,-0.08551656,2001,3,1,2946.7018,20.23,394
CEN.2,CERIDIAN CORP,0.2259459459,2001,4,1,2694.71,18.5,394
CEN.2,CERIDIAN CORP,0.0611111111,2001,5,1,2624.922,18,394
CEN.2,CERIDIAN CORP,0.0036649215,2001,6,1,2785.9069,19.1,394
CEN.2,CERIDIAN CORP,-0.098069901,2001,7,1,2796.11703,19.17,394
CEN.2,CERIDIAN CORP,0.1249277039,2001,8,1,2521.90211,17.29,394
CEN.2,CERIDIAN CORP,-0.254498715,2001,9,1,2840.8281,19.45,394
CEN.2,CERIDIAN CORP,0.1372413793,2001,10,1,2117.841,14.5,394
CEN.2,CERIDIAN CORP,0.109763493,2001,11,1,2408.49642,16.49,394
CEN.2,CERIDIAN CORP,0.0245901639,2001,12,1,2677.1436,18.3,394
CEN.2,CERIDIAN CORP,-0.0416,2002,1,1,2742.975,18.75,394
CEN.2,CERIDIAN CORP,0.0350584307,2002,2,1,2628.86724,17.97,394
CEN.2,CERIDIAN CORP,0.185483871,2002,3,1,2721.0312,18.6,394
CEN.2,CERIDIAN CORP,0.010430839,2002,4,1,3225.7386,22.05,394
CEN.2,CERIDIAN CORP,0.026032316,2002,5,1,3284.31708,22.28,394
CEN.2,CERIDIAN CORP,-0.169728784,2002,6,1,3374.63892,22.86,394
