ticker,conm,ret,year,month,EW,VW,PW,n
CFGI.,COMMUNITY FINL GROUP INC,0.0882352941,2000,1,1,50.9235,12.75,2848
CFGI.,COMMUNITY FINL GROUP INC,0.0122522523,2000,2,1,55.41675,13.875,2848
CFGI.,COMMUNITY FINL GROUP INC,-0.027027027,2000,3,1,55.41675,13.875,2848
CFGI.,COMMUNITY FINL GROUP INC,-0.024444444,2000,4,1,53.919,13.5,2848
CFGI.,COMMUNITY FINL GROUP INC,-0.009615385,2000,5,1,49.803,13,2848
CFGI.,COMMUNITY FINL GROUP INC,0.0242718447,2000,6,1,49.324125,12.875,2848
CFGI.,COMMUNITY FINL GROUP INC,-0.042654028,2000,7,1,48.0420625,13.1875,2848
CFGI.,COMMUNITY FINL GROUP INC,0.0332673267,2000,8,1,45.992875,12.625,2848
CFGI.,COMMUNITY FINL GROUP INC,-0.097087379,2000,9,1,45.538875,12.875,2848
CFGI.,COMMUNITY FINL GROUP INC,-0.032258065,2000,10,1,41.117625,11.625,2848
CFGI.,COMMUNITY FINL GROUP INC,0.0373333333,2000,11,1,39.79125,11.25,2848
CFGI.,COMMUNITY FINL GROUP INC,-0.02173913,2000,12,1,40.6755,11.5,2848
CFGI.,COMMUNITY FINL GROUP INC,0.1333333333,2001,1,1,39.79125,11.25,2848
CFGI.,COMMUNITY FINL GROUP INC,0.042745098,2001,2,1,45.09675,12.75,2848
CFGI.,COMMUNITY FINL GROUP INC,0.0047619048,2001,3,1,46.423125,13.125,2848
CFGI.,COMMUNITY FINL GROUP INC,0.0085308057,2001,4,1,45.180375,13.1875,2848
CFGI.,COMMUNITY FINL GROUP INC,0.0654135338,2001,5,1,45.486,13.3,2848
CFGI.,COMMUNITY FINL GROUP INC,0,2001,6,1,46.774,14,2848
CFGI.,COMMUNITY FINL GROUP INC,0.0357142857,2001,7,1,46.774,14,2848
CFGI.,COMMUNITY FINL GROUP INC,-0.00137931,2001,8,1,48.4445,14.5,2848
CFGI.,COMMUNITY FINL GROUP INC,-0.021663173,2001,9,1,44.84754,14.31,2848
CFGI.,COMMUNITY FINL GROUP INC,0.0335714286,2001,10,1,43.876,14,2848
CFGI.,COMMUNITY FINL GROUP INC,0.0734265734,2001,11,1,44.8162,14.3,2848
CFGI.,COMMUNITY FINL GROUP INC,-0.006514658,2001,12,1,47.278,15.35,2848
CFGI.,COMMUNITY FINL GROUP INC,0.0308196721,2002,1,1,46.97,15.25,2848
CFGI.,COMMUNITY FINL GROUP INC,0.0257234727,2002,2,1,47.894,15.55,2848
CFGI.,COMMUNITY FINL GROUP INC,0.1692789969,2002,3,1,49.126,15.95,2848
CFGI.,COMMUNITY FINL GROUP INC,0.3383378016,2002,4,1,57.442,18.65,2848
CFGI.,COMMUNITY FINL GROUP INC,-0.021634615,2002,5,1,76.80192,24.96,2848
CFGI.,COMMUNITY FINL GROUP INC,0.0404123711,2002,6,1,76.41175,24.25,2848
CFGI.,COMMUNITY FINL GROUP INC,-0.07150218,2002,7,1,79.49973,25.23,2848
CFGI.,COMMUNITY FINL GROUP INC,0,2002,8,1,72.94565,23.15,2848
