ticker,conm,ret,year,month,EW,VW,PW,n
CIT,CIT GROUP INC,,2009,12,1,,,8682
CIT,CIT GROUP INC,0.1524809852,2010,1,1,5522,27.61,8682
CIT,CIT GROUP INC,0.1448774356,2010,2,1,6364,31.82,8682
CIT,CIT GROUP INC,0.0694482569,2010,3,1,7287.31148,36.43,8682
CIT,CIT GROUP INC,0.0420944559,2010,4,1,7793.40256,38.96,8682
CIT,CIT GROUP INC,-0.093842365,2010,5,1,8080.7804,40.6,8682
CIT,CIT GROUP INC,-0.079641207,2010,6,1,7359.43481,36.79,8682
CIT,CIT GROUP INC,0.0738334318,2010,7,1,6773.32054,33.86,8682
CIT,CIT GROUP INC,0.0088008801,2010,8,1,7273.41804,36.36,8682
CIT,CIT GROUP INC,0.112868048,2010,9,1,7345.42676,36.68,8682
CIT,CIT GROUP INC,0.0614894659,2010,10,1,8174.49074,40.82,8682
CIT,CIT GROUP INC,-0.089314563,2010,11,1,8677.13581,43.33,8682
CIT,CIT GROUP INC,0.1936137861,2010,12,1,7901.865,39.46,8682
CIT,CIT GROUP INC,0.0125265393,2011,1,1,9431.775,47.1,8682
CIT,CIT GROUP INC,-0.091633466,2011,2,1,9549.9225,47.69,8682
CIT,CIT GROUP INC,-0.0177747,2011,3,1,8674.83,43.32,8682
CIT,CIT GROUP INC,-0.002115159,2011,4,1,8530.2538,42.55,8682
CIT,CIT GROUP INC,0.0440414508,2011,5,1,8512.33834,42.46,8682
CIT,CIT GROUP INC,-0.001579066,2011,6,1,8889.22892,44.33,8682
CIT,CIT GROUP INC,-0.102123814,2011,7,1,8875.19224,44.26,8682
CIT,CIT GROUP INC,-0.130095622,2011,8,1,7968.82376,39.74,8682
CIT,CIT GROUP INC,-0.121492624,2011,9,1,6935.15684,34.57,8682
CIT,CIT GROUP INC,0.1475139941,2011,10,1,6092.58644,30.37,8682
CIT,CIT GROUP INC,-0.028407461,2011,11,1,6991.3282,34.85,8682
CIT,CIT GROUP INC,0.0298287064,2011,12,1,6793.6704,33.86,8682
CIT,CIT GROUP INC,0.0937768856,2012,1,1,6996.3168,34.87,8682
CIT,CIT GROUP INC,0.0673833246,2012,2,1,7652.4096,38.14,8682
CIT,CIT GROUP INC,0.0130189143,2012,3,1,8168.8686,40.71,8682
CIT,CIT GROUP INC,-0.082201746,2012,4,1,8281.4044,41.24,8682
CIT,CIT GROUP INC,-0.09669749,2012,5,1,7600.92345,37.85,8682
CIT,CIT GROUP INC,0.0424100614,2012,6,1,6865.96742,34.19,8682
CIT,CIT GROUP INC,0.024691358,2012,7,1,7157.15352,35.64,8682
CIT,CIT GROUP INC,0.0339539978,2012,8,1,7334.56724,36.52,8682
CIT,CIT GROUP INC,0.0431673729,2012,9,1,7583.64288,37.76,8682
CIT,CIT GROUP INC,-0.055090124,2012,10,1,7911.00882,39.39,8682
CIT,CIT GROUP INC,-0.004567437,2012,11,1,7475.637,37.22,8682
CIT,CIT GROUP INC,0.0429149798,2012,12,1,7441.5666,37.05,8682
CIT,CIT GROUP INC,0.0960144928,2013,1,1,7760.92128,38.64,8682
CIT,CIT GROUP INC,-0.011570248,2013,2,1,8506.80215,42.35,8682
CIT,CIT GROUP INC,0.03870043,2013,3,1,8408.37634,41.86,8682
CIT,CIT GROUP INC,-0.022309108,2013,4,1,8742.82796,43.48,8682
CIT,CIT GROUP INC,0.0839802399,2013,5,1,8555.00997,42.51,8682
