ticker,conm,ret,year,month,EW,VW,PW,n
CIT.1,CIT GROUP INC-OLD,-0.094674556,2000,1,1,4998.38625,21.125,243
CIT.1,CIT GROUP INC-OLD,-0.259477124,2000,2,1,4525.16625,19.125,243
CIT.1,CIT GROUP INC-OLD,0.3866666667,2000,3,1,3327.328125,14.0625,243
CIT.1,CIT GROUP INC-OLD,-0.131410256,2000,4,1,5144.646,19.5,243
CIT.1,CIT GROUP INC-OLD,0.0870848708,2000,5,1,4196.3841875,16.9375,243
CIT.1,CIT GROUP INC-OLD,-0.112627986,2000,6,1,4822.9081875,18.3125,243
CIT.1,CIT GROUP INC-OLD,0.1384615385,2000,7,1,4279.71375,16.25,243
CIT.1,CIT GROUP INC-OLD,-0.048648649,2000,8,1,4872.2895,18.5,243
CIT.1,CIT GROUP INC-OLD,0,2000,9,1,4592.5425,17.5,243
CIT.1,CIT GROUP INC-OLD,-0.003571429,2000,10,1,4592.5425,17.5,243
CIT.1,CIT GROUP INC-OLD,-0.030107527,2000,11,1,4576.1405625,17.4375,243
CIT.1,CIT GROUP INC-OLD,0.1970260223,2000,12,1,4403.361875,16.8125,243
CIT.1,CIT GROUP INC-OLD,0.1672049689,2001,1,1,5270.93875,20.125,243
CIT.1,CIT GROUP INC-OLD,-0.012345679,2001,2,1,6152.2659,23.49,243
CIT.1,CIT GROUP INC-OLD,0.2502164502,2001,3,1,6049.8438,23.1,243
CIT.1,CIT GROUP INC-OLD,0.2707756233,2001,4,1,7563.61424,28.88,243
CIT.1,CIT GROUP INC-OLD,0.0844686649,2001,5,1,9623.1804,36.7,243
CIT.1,CIT GROUP INC-OLD,0.0040714358,2001,6,1,10421.2897,39.7,243
CIT.1,CIT GROUP INC-OLD,0,2001,7,1,10224.41395,38.95,243
