ticker,conm,ret,year,month,EW,VW,PW,n
CLSN,CELSION CORP,0.0105513955,2000,1,1,149.127004,2.938,309
CLSN,CELSION CORP,1.694509936,2000,2,1,159.07902,2.969,309
CLSN,CELSION CORP,-0.359375,2000,3,1,433.504,8,309
CLSN,CELSION CORP,-0.225560976,2000,4,1,277.7135,5.125,309
CLSN,CELSION CORP,0.0707986898,2000,5,1,215.072172,3.969,309
CLSN,CELSION CORP,-0.323529412,2000,6,1,257.72,4.25,309
CLSN,CELSION CORP,0.0434782609,2000,7,1,174.492375,2.875,309
CLSN,CELSION CORP,0,2000,8,1,182.079,3,309
CLSN,CELSION CORP,-0.1875,2000,9,1,182.079,3,309
CLSN,CELSION CORP,-0.179487179,2000,10,1,147.9391875,2.4375,309
CLSN,CELSION CORP,-0.3125,2000,11,1,121.386,2,309
CLSN,CELSION CORP,-0.272727273,2000,12,1,83.452875,1.375,309
CLSN,CELSION CORP,1.11,2001,1,1,64.488,1,309
CLSN,CELSION CORP,-0.36492891,2001,2,1,136.06968,2.11,309
CLSN,CELSION CORP,-0.044776119,2001,3,1,86.41392,1.34,309
CLSN,CELSION CORP,-0.2421875,2001,4,1,82.54464,1.28,309
CLSN,CELSION CORP,-0.030927835,2001,5,1,73.99936,0.97,309
CLSN,CELSION CORP,-0.361702128,2001,6,1,71.77464,0.94,309
CLSN,CELSION CORP,0.1666666667,2001,7,1,45.8136,0.6,309
CLSN,CELSION CORP,-0.014285714,2001,8,1,53.4492,0.7,309
CLSN,CELSION CORP,-0.260869565,2001,9,1,52.95543,0.69,309
CLSN,CELSION CORP,0.1960784314,2001,10,1,39.14097,0.51,309
CLSN,CELSION CORP,-0.196721311,2001,11,1,46.81567,0.61,309
CLSN,CELSION CORP,0.3469387755,2001,12,1,37.60603,0.49,309
CLSN,CELSION CORP,0,2002,1,1,50.65302,0.66,309
CLSN,CELSION CORP,-0.03030303,2002,2,1,56.29338,0.66,309
CLSN,CELSION CORP,0.140625,2002,3,1,57.34976,0.64,309
CLSN,CELSION CORP,-0.273972603,2002,4,1,65.41457,0.73,309
CLSN,CELSION CORP,-0.075471698,2002,5,1,47.49277,0.53,309
CLSN,CELSION CORP,0.0408163265,2002,6,1,44.0265,0.49,309
CLSN,CELSION CORP,-0.31372549,2002,7,1,45.8235,0.51,309
CLSN,CELSION CORP,0.3142857143,2002,8,1,31.4475,0.35,309
CLSN,CELSION CORP,-0.130434783,2002,9,1,41.722,0.46,309
CLSN,CELSION CORP,0.1,2002,10,1,36.6472,0.4,309
CLSN,CELSION CORP,-0.113636364,2002,11,1,40.66392,0.44,309
CLSN,CELSION CORP,0.1025641026,2002,12,1,36.04302,0.39,309
CLSN,CELSION CORP,0.1162790698,2003,1,1,41.49199,0.43,309
CLSN,CELSION CORP,-0.125,2003,2,1,46.85904,0.48,309
CLSN,CELSION CORP,0.0476190476,2003,3,1,46.91064,0.42,309
CLSN,CELSION CORP,-0.090909091,2003,4,1,49.14448,0.44,309
CLSN,CELSION CORP,0.75,2003,5,1,44.6768,0.4,309
CLSN,CELSION CORP,0.5571428571,2003,6,1,78.9005,0.7,309
CLSN,CELSION CORP,-0.04587156,2003,7,1,122.85935,1.09,309
CLSN,CELSION CORP,0.0576923077,2003,8,1,117.2236,1.04,309
CLSN,CELSION CORP,-0.009090909,2003,9,1,152.4006,1.1,309
CLSN,CELSION CORP,-0.128440367,2003,10,1,151.01514,1.09,309
CLSN,CELSION CORP,0.2526315789,2003,11,1,131.6187,0.95,309
CLSN,CELSION CORP,0.1008403361,2003,12,1,164.86974,1.19,309
CLSN,CELSION CORP,0.2519083969,2004,1,1,193.76865,1.31,309
CLSN,CELSION CORP,-0.042682927,2004,2,1,242.5806,1.64,309
CLSN,CELSION CORP,-0.210191083,2004,3,1,236.5205,1.57,309
CLSN,CELSION CORP,-0.161290323,2004,4,1,186.806,1.24,309
CLSN,CELSION CORP,-0.384615385,2004,5,1,166.10152,1.04,309
CLSN,CELSION CORP,-0.015625,2004,6,1,102.21632,0.64,309
CLSN,CELSION CORP,0.0158730159,2004,7,1,101.11122,0.63,309
CLSN,CELSION CORP,0.046875,2004,8,1,102.71616,0.64,309
CLSN,CELSION CORP,-0.253731343,2004,9,1,107.65493,0.67,309
CLSN,CELSION CORP,-0.02,2004,10,1,80.3395,0.5,309
CLSN,CELSION CORP,-0.102040816,2004,11,1,78.73271,0.49,309
CLSN,CELSION CORP,0.2954545455,2004,12,1,70.69876,0.44,309
CLSN,CELSION CORP,-0.140350877,2005,1,1,91.58703,0.57,309
CLSN,CELSION CORP,-0.06122449,2005,2,1,78.73271,0.49,309
CLSN,CELSION CORP,-0.260869565,2005,3,1,73.91234,0.46,309
CLSN,CELSION CORP,-0.205882353,2005,4,1,54.6992,0.34,309
CLSN,CELSION CORP,0.7037037037,2005,5,1,43.4376,0.27,309
CLSN,CELSION CORP,-0.282608696,2005,6,1,74.01492,0.46,309
CLSN,CELSION CORP,0.1515151515,2005,7,1,53.09766,0.33,309
CLSN,CELSION CORP,0.0789473684,2005,8,1,61.14276,0.38,309
CLSN,CELSION CORP,-0.12195122,2005,9,1,65.96982,0.41,309
CLSN,CELSION CORP,-0.138888889,2005,10,1,57.92472,0.36,309
CLSN,CELSION CORP,0.0967741935,2005,11,1,49.87962,0.31,309
CLSN,CELSION CORP,-0.205882353,2005,12,1,54.70668,0.34,309
CLSN,CELSION CORP,0.0366666667,2006,1,1,43.44354,0.27,309
CLSN,CELSION CORP,-0.106828368,2006,2,1,45.0364698,0.2799,309
CLSN,CELSION CORP,0.424,2006,3,1,40.425,3.75,309
CLSN,CELSION CORP,-0.176029963,2006,4,1,57.27684,5.34,309
CLSN,CELSION CORP,-0.181818182,2006,5,1,47.4364,4.4,309
CLSN,CELSION CORP,-0.305555556,2006,6,1,38.8116,3.6,309
CLSN,CELSION CORP,-0.188,2006,7,1,26.9525,2.5,309
