ticker,conm,ret,year,month,EW,VW,PW,n
CMCSK,COMCAST CORP,-0.090234858,2000,1,1,36154.81675,50.5625,348
CMCSK,COMCAST CORP,-0.076086957,2000,2,1,32892.392,46,348
CMCSK,COMCAST CORP,0.0205882353,2000,3,1,35319.71,42.5,348
CMCSK,COMCAST CORP,-0.076368876,2000,4,1,38652.41675,43.375,348
CMCSK,COMCAST CORP,-0.054602184,2000,5,1,35700.575125,40.0625,348
CMCSK,COMCAST CORP,0.0693069307,2000,6,1,33089.455875,37.875,348
CMCSK,COMCAST CORP,-0.160108025,2000,7,1,35382.7845,40.5,348
CMCSK,COMCAST CORP,0.0950849793,2000,8,1,29717.716766,34.015625,348
CMCSK,COMCAST CORP,0.0989932886,2000,9,1,32543.42525,37.25,348
CMCSK,COMCAST CORP,-0.004580153,2000,10,1,35724.969063,40.9375,348
CMCSK,COMCAST CORP,-0.056748466,2000,11,1,35561.34325,40.75,348
CMCSK,COMCAST CORP,0.0861788618,2000,12,1,33543.291563,38.4375,348
CMCSK,COMCAST CORP,0.0254491018,2001,1,1,36382.82875,41.75,348
CMCSK,COMCAST CORP,0.0116788321,2001,2,1,37308.739063,42.8125,348
CMCSK,COMCAST CORP,-0.031746032,2001,3,1,37744.461563,43.3125,348
CMCSK,COMCAST CORP,0.0470342772,2001,4,1,38079.879063,41.9375,348
CMCSK,COMCAST CORP,-0.067182874,2001,5,1,39870.93865,43.91,348
CMCSK,COMCAST CORP,0.0595703125,2001,6,1,37426.66752,40.96,348
CMCSK,COMCAST CORP,-0.123732719,2001,7,1,39656.1858,43.4,348
CMCSK,COMCAST CORP,-0.036813042,2001,8,1,34749.41811,38.03,348
CMCSK,COMCAST CORP,-0.020748021,2001,9,1,33488.20827,36.63,348
CMCSK,COMCAST CORP,-0.000836353,2001,10,1,32793.39423,35.87,348
CMCSK,COMCAST CORP,0.0602678571,2001,11,1,32765.96736,35.84,348
CMCSK,COMCAST CORP,-0.052631579,2001,12,1,34740.702,38,348
CMCSK,COMCAST CORP,-0.014444444,2002,1,1,32891.58,36,348
CMCSK,COMCAST CORP,-0.045377678,2002,2,1,32416.4794,35.48,348
CMCSK,COMCAST CORP,-0.061116032,2002,3,1,30945.49485,33.87,348
CMCSK,COMCAST CORP,-0.158805031,2002,4,1,29054.229,31.8,348
CMCSK,COMCAST CORP,0.0527102804,2002,5,1,24440.27125,26.75,348
CMCSK,COMCAST CORP,-0.153409091,2002,6,1,25783.04256,28.16,348
CMCSK,COMCAST CORP,-0.123322148,2002,7,1,21827.68944,23.84,348
