ticker,conm,ret,year,month,EW,VW,PW,n
CNJ,COLE NATIONAL CORP,0.2875,2000,1,1,74.295,5,341
CNJ,COLE NATIONAL CORP,-0.019417476,2000,2,1,95.6548125,6.4375,341
CNJ,COLE NATIONAL CORP,0.2871287129,2000,3,1,93.7974375,6.3125,341
CNJ,COLE NATIONAL CORP,-0.253846154,2000,4,1,120.729375,8.125,341
CNJ,COLE NATIONAL CORP,0.0412371134,2000,5,1,90.0826875,6.0625,341
CNJ,COLE NATIONAL CORP,0.0891089109,2000,6,1,97.9636875,6.3125,341
CNJ,COLE NATIONAL CORP,0.1545454545,2000,7,1,106.693125,6.875,341
CNJ,COLE NATIONAL CORP,-0.118110236,2000,8,1,123.1820625,7.9375,341
CNJ,COLE NATIONAL CORP,-0.071428571,2000,9,1,108.633,7,341
CNJ,COLE NATIONAL CORP,0.1346153846,2000,10,1,101.5365,6.5,341
CNJ,COLE NATIONAL CORP,0.1949152542,2000,11,1,115.204875,7.375,341
CNJ,COLE NATIONAL CORP,-0.021276596,2000,12,1,137.6600625,8.8125,341
CNJ,COLE NATIONAL CORP,0.0191304348,2001,1,1,134.731125,8.625,341
CNJ,COLE NATIONAL CORP,-0.135381115,2001,2,1,137.30859,8.79,341
CNJ,COLE NATIONAL CORP,0.2986842105,2001,3,1,118.7196,7.6,341
CNJ,COLE NATIONAL CORP,-0.05775076,2001,4,1,154.17927,9.87,341
CNJ,COLE NATIONAL CORP,0.5322580645,2001,5,1,145.2753,9.3,341
CNJ,COLE NATIONAL CORP,0.0350877193,2001,6,1,223.65375,14.25,341
CNJ,COLE NATIONAL CORP,-0.099661017,2001,7,1,231.53075,14.75,341
CNJ,COLE NATIONAL CORP,0.0768072289,2001,8,1,208.45616,13.28,341
CNJ,COLE NATIONAL CORP,-0.072027972,2001,9,1,224.4671,14.3,341
CNJ,COLE NATIONAL CORP,-0.016578749,2001,10,1,210.80722,13.27,341
CNJ,COLE NATIONAL CORP,0.1494252874,2001,11,1,207.3123,13.05,341
CNJ,COLE NATIONAL CORP,0.1033333333,2001,12,1,238.29,15,341
CNJ,COLE NATIONAL CORP,-0.099697885,2002,1,1,262.9133,16.55,341
CNJ,COLE NATIONAL CORP,0.0711409396,2002,2,1,236.7014,14.9,341
CNJ,COLE NATIONAL CORP,0.1967418546,2002,3,1,253.54056,15.96,341
CNJ,COLE NATIONAL CORP,-0.005235602,2002,4,1,303.4226,19.1,341
CNJ,COLE NATIONAL CORP,-0.021052632,2002,5,1,303.943,19,341
CNJ,COLE NATIONAL CORP,0.0215053763,2002,6,1,297.7674,18.6,341
CNJ,COLE NATIONAL CORP,-0.252631579,2002,7,1,304.171,19,341
CNJ,COLE NATIONAL CORP,0.038028169,2002,8,1,227.3278,14.2,341
CNJ,COLE NATIONAL CORP,-0.148575305,2002,9,1,235.97266,14.74,341
CNJ,COLE NATIONAL CORP,0.1147410359,2002,10,1,202.89585,12.55,341
CNJ,COLE NATIONAL CORP,-0.220872051,2002,11,1,226.17633,13.99,341
CNJ,COLE NATIONAL CORP,0.0458715596,2002,12,1,176.2203,10.9,341
CNJ,COLE NATIONAL CORP,-0.030701754,2003,1,1,184.3038,11.4,341
CNJ,COLE NATIONAL CORP,-0.115837104,2003,2,1,178.64535,11.05,341
CNJ,COLE NATIONAL CORP,-0.078812692,2003,3,1,157.95159,9.77,341
CNJ,COLE NATIONAL CORP,-0.031111111,2003,4,1,145.503,9,341
CNJ,COLE NATIONAL CORP,-0.129587156,2003,5,1,140.97624,8.72,341
CNJ,COLE NATIONAL CORP,0.6495388669,2003,6,1,122.70753,7.59,341
CNJ,COLE NATIONAL CORP,-0.099041534,2003,7,1,204.33892,12.52,341
CNJ,COLE NATIONAL CORP,-0.007978723,2003,8,1,184.10088,11.28,341
CNJ,COLE NATIONAL CORP,0.1134941912,2003,9,1,182.63199,11.19,341
CNJ,COLE NATIONAL CORP,0.7744783307,2003,10,1,203.13538,12.46,341
CNJ,COLE NATIONAL CORP,-0.051108096,2003,11,1,360.45933,22.11,341
CNJ,COLE NATIONAL CORP,-0.046711153,2003,12,1,342.03694,20.98,341
CNJ,COLE NATIONAL CORP,0.1015,2004,1,1,326.06,20,341
CNJ,COLE NATIONAL CORP,0.0018157059,2004,2,1,366.71138,22.03,341
CNJ,COLE NATIONAL CORP,0,2004,3,1,367.9069,22.07,341
CNJ,COLE NATIONAL CORP,0.1576801087,2004,4,1,368.85591,22.07,341
CNJ,COLE NATIONAL CORP,-0.111154599,2004,5,1,427.11935,25.55,341
CNJ,COLE NATIONAL CORP,0.0281814179,2004,6,1,379.64307,22.71,341
CNJ,COLE NATIONAL CORP,0.1653104925,2004,7,1,390.38865,23.35,341
CNJ,COLE NATIONAL CORP,0.0014700478,2004,8,1,454.92399,27.21,341
CNJ,COLE NATIONAL CORP,0.0168807339,2004,9,1,455.59275,27.25,341
CNJ,COLE NATIONAL CORP,0.0003608805,2004,10,1,469.6845,27.71,341
CNJ,COLE NATIONAL CORP,0,2004,11,1,469.854,27.72,341
