ticker,conm,ret,year,month,EW,VW,PW,n
CNOB.1,CONNECTONE BANCORP INC -OLD,,2013,2,1,,,2481
CNOB.1,CONNECTONE BANCORP INC -OLD,0.0713061364,2013,3,1,138.64501,29.17,2481
CNOB.1,CONNECTONE BANCORP INC -OLD,-0.072,2013,4,1,156.875,31.25,2481
CNOB.1,CONNECTONE BANCORP INC -OLD,-0.000344828,2013,5,1,145.58,29,2481
CNOB.1,CONNECTONE BANCORP INC -OLD,0.0603656433,2013,6,1,145.55879,28.99,2481
CNOB.1,CONNECTONE BANCORP INC -OLD,0.0364346129,2013,7,1,154.34554,30.74,2481
CNOB.1,CONNECTONE BANCORP INC -OLD,0.0364092906,2013,8,1,159.96906,31.86,2481
CNOB.1,CONNECTONE BANCORP INC -OLD,0.0632949727,2013,9,1,165.79342,33.02,2481
CNOB.1,CONNECTONE BANCORP INC -OLD,0.0825975506,2013,10,1,176.28731,35.11,2481
CNOB.1,CONNECTONE BANCORP INC -OLD,0.0107866351,2013,11,1,193.43289,38.01,2481
CNOB.1,CONNECTONE BANCORP INC -OLD,0.0314940135,2013,12,1,195.51938,38.42,2481
CNOB.1,CONNECTONE BANCORP INC -OLD,0.1524097906,2014,1,1,201.67707,39.63,2481
CNOB.1,CONNECTONE BANCORP INC -OLD,0.0400700679,2014,2,1,233.19102,45.67,2481
CNOB.1,CONNECTONE BANCORP INC -OLD,0.0307368421,2014,3,1,242.535,47.5,2481
CNOB.1,CONNECTONE BANCORP INC -OLD,-0.019607843,2014,4,1,250.77312,48.96,2481
CNOB.1,CONNECTONE BANCORP INC -OLD,0.00125,2014,5,1,245.856,48,2481
CNOB.1,CONNECTONE BANCORP INC -OLD,0.0403245943,2014,6,1,246.16332,48.06,2481
