ticker,conm,ret,year,month,EW,VW,PW,n
COUP,COUPA SOFTWARE INC,,2016,10,1,,,4213
COUP,COUPA SOFTWARE INC,0.2696,2016,11,1,1202.775,25,4213
COUP,COUPA SOFTWARE INC,-0.212035287,2016,12,1,1527.04314,31.74,4213
COUP,COUPA SOFTWARE INC,0.0391843263,2017,1,1,1250.04982,25.01,4213
COUP,COUPA SOFTWARE INC,0.017699115,2017,2,1,1299.03218,25.99,4213
COUP,COUPA SOFTWARE INC,-0.039697543,2017,3,1,1322.0239,26.45,4213
COUP,COUPA SOFTWARE INC,0.092519685,2017,4,1,1269.5428,25.4,4213
COUP,COUPA SOFTWARE INC,0.2331531532,2017,5,1,1409.5335,27.75,4213
COUP,COUPA SOFTWARE INC,-0.153126826,2017,6,1,1738.17068,34.22,4213
COUP,COUPA SOFTWARE INC,0.0603864734,2017,7,1,1535.56326,28.98,4213
COUP,COUPA SOFTWARE INC,-0.008786202,2017,8,1,1628.29051,30.73,4213
COUP,COUPA SOFTWARE INC,0.0226526592,2017,9,1,1613.98402,30.46,4213
COUP,COUPA SOFTWARE INC,0.1155698234,2017,10,1,1669.7646,31.15,4213
COUP,COUPA SOFTWARE INC,0.0195683453,2017,11,1,1862.739,34.75,4213
COUP,COUPA SOFTWARE INC,-0.118825854,2017,12,1,1899.18972,35.43,4213
COUP,COUPA SOFTWARE INC,0.2245355541,2018,1,1,1718.53612,31.22,4213
COUP,COUPA SOFTWARE INC,0.1666230709,2018,2,1,2104.40858,38.23,4213
COUP,COUPA SOFTWARE INC,0.0228699552,2018,3,1,2455.0516,44.6,4213
COUP,COUPA SOFTWARE INC,0.0164401578,2018,4,1,2582.86754,45.62,4213
COUP,COUPA SOFTWARE INC,0.1511753289,2018,5,1,2625.88673,46.37,4213
COUP,COUPA SOFTWARE INC,0.1659797677,2018,6,1,3022.85602,53.38,4213
COUP,COUPA SOFTWARE INC,-0.014942159,2018,7,1,3547.61776,62.24,4213
COUP,COUPA SOFTWARE INC,0.1696297504,2018,8,1,3494.60869,61.31,4213
COUP,COUPA SOFTWARE INC,0.1030539674,2018,9,1,4087.39829,71.71,4213
COUP,COUPA SOFTWARE INC,-0.180404551,2018,10,1,4592.7833,79.1,4213
COUP,COUPA SOFTWARE INC,-0.006169983,2018,11,1,3764.22429,64.83,4213
COUP,COUPA SOFTWARE INC,-0.024367531,2018,12,1,3740.99909,64.43,4213
COUP,COUPA SOFTWARE INC,0.383391664,2019,1,1,3736.7127,62.86,4213
COUP,COUPA SOFTWARE INC,0.0831416743,2019,2,1,5169.3372,86.96,4213
COUP,COUPA SOFTWARE INC,-0.034080051,2019,3,1,5599.12455,94.19,4213
COUP,COUPA SOFTWARE INC,0.1357441196,2019,4,1,5553.78312,90.98,4213
COUP,COUPA SOFTWARE INC,0.0569050615,2019,5,1,6337.2289,103.33,4213
COUP,COUPA SOFTWARE INC,0.159326069,2019,6,1,6697.8493,109.21,4213
COUP,COUPA SOFTWARE INC,0.0718742595,2019,7,1,7820.82631,126.61,4213
COUP,COUPA SOFTWARE INC,0.0237270651,2019,8,1,8382.94241,135.71,4213
COUP,COUPA SOFTWARE INC,-0.067372058,2019,9,1,8581.84503,138.93,4213
COUP,COUPA SOFTWARE INC,0.0611252605,2019,10,1,8142.56751,129.57,4213
COUP,COUPA SOFTWARE INC,0.1163720998,2019,11,1,8640.28407,137.49,4213
COUP,COUPA SOFTWARE INC,-0.047169197,2019,12,1,9645.77207,153.49,4213
COUP,COUPA SOFTWARE INC,0.1018803419,2020,1,1,9330.60375,146.25,4213
COUP,COUPA SOFTWARE INC,-0.070741545,2020,2,1,10281.20885,161.15,4213
COUP,COUPA SOFTWARE INC,-0.066911519,2020,3,1,9553.90025,149.75,4213
COUP,COUPA SOFTWARE INC,0.2602161311,2020,4,1,9058.13698,139.73,4213
COUP,COUPA SOFTWARE INC,0.2920097677,2020,5,1,11734.81369,176.09,4213
COUP,COUPA SOFTWARE INC,0.2177047163,2020,6,1,15161.49391,227.51,4213
COUP,COUPA SOFTWARE INC,0.1061579555,2020,7,1,18582.18096,277.04,4213
COUP,COUPA SOFTWARE INC,0.0694729972,2020,8,1,20554.8273,306.45,4213
COUP,COUPA SOFTWARE INC,-0.163239153,2020,9,1,21982.83276,327.74,4213
COUP,COUPA SOFTWARE INC,-0.023847725,2020,10,1,18880.87552,274.24,4213
COUP,COUPA SOFTWARE INC,0.2286514755,2020,11,1,18430.6096,267.7,4213
COUP,COUPA SOFTWARE INC,0.0304034538,2020,12,1,22644.79568,328.91,4213
