ticker,conm,ret,year,month,EW,VW,PW,n
CPG.3,CHELSEA PROPERTY GROUP INC,-0.056722689,2000,1,1,472.45975,29.75,4405
CPG.3,CHELSEA PROPERTY GROUP INC,-0.055679287,2000,2,1,445.6605625,28.0625,4405
CPG.3,CHELSEA PROPERTY GROUP INC,0.1226415094,2000,3,1,420.8465,26.5,4405
CPG.3,CHELSEA PROPERTY GROUP INC,0.125,2000,4,1,462.086,29,4405
CPG.3,CHELSEA PROPERTY GROUP INC,0.0363984674,2000,5,1,519.84675,32.625,4405
CPG.3,CHELSEA PROPERTY GROUP INC,0.0443622921,2000,6,1,538.836,33.8125,4405
CPG.3,CHELSEA PROPERTY GROUP INC,0.0488245931,2000,7,1,550.788,34.5625,4405
CPG.3,CHELSEA PROPERTY GROUP INC,-0.074137931,2000,8,1,577.68,36.25,4405
CPG.3,CHELSEA PROPERTY GROUP INC,0.0689013035,2000,9,1,535.0198125,33.5625,4405
CPG.3,CHELSEA PROPERTY GROUP INC,-0.081850534,2000,10,1,559.927625,35.125,4405
CPG.3,CHELSEA PROPERTY GROUP INC,0.0930232558,2000,11,1,514.09725,32.25,4405
CPG.3,CHELSEA PROPERTY GROUP INC,0.0673758865,2000,12,1,561.92025,35.25,4405
CPG.3,CHELSEA PROPERTY GROUP INC,0.033220339,2001,1,1,587.824375,36.875,4405
CPG.3,CHELSEA PROPERTY GROUP INC,0.0847769029,2001,2,1,607.3521,38.1,4405
CPG.3,CHELSEA PROPERTY GROUP INC,0.0399225744,2001,3,1,658.84153,41.33,4405
CPG.3,CHELSEA PROPERTY GROUP INC,0.0367298578,2001,4,1,678.365,42.2,4405
CPG.3,CHELSEA PROPERTY GROUP INC,-0.005714286,2001,5,1,703.28125,43.75,4405
CPG.3,CHELSEA PROPERTY GROUP INC,0.096091954,2001,6,1,703.6995,43.5,4405
CPG.3,CHELSEA PROPERTY GROUP INC,0.0213219616,2001,7,1,758.7013,46.9,4405
CPG.3,CHELSEA PROPERTY GROUP INC,0.0354906054,2001,8,1,774.8783,47.9,4405
CPG.3,CHELSEA PROPERTY GROUP INC,-0.067943548,2001,9,1,830.1056,49.6,4405
CPG.3,CHELSEA PROPERTY GROUP INC,-0.01430143,2001,10,1,760.6512,45.45,4405
CPG.3,CHELSEA PROPERTY GROUP INC,0.0803571429,2001,11,1,749.952,44.8,4405
CPG.3,CHELSEA PROPERTY GROUP INC,0.0305785124,2001,12,1,906.8708,48.4,4405
CPG.3,CHELSEA PROPERTY GROUP INC,0.033197556,2002,1,1,919.9867,49.1,4405
CPG.3,CHELSEA PROPERTY GROUP INC,0.0053222945,2002,2,1,950.52801,50.73,4405
