ticker,conm,ret,year,month,EW,VW,PW,n
CRMD,CORMEDIX INC,,2010,5,1,,,10092
CRMD,CORMEDIX INC,-0.188191882,2010,6,1,30.91568,2.71,10092
CRMD,CORMEDIX INC,-0.340909091,2010,7,1,25.0976,2.2,10092
CRMD,CORMEDIX INC,0.2068965517,2010,8,1,16.5416,1.45,10092
CRMD,CORMEDIX INC,-0.097142857,2010,9,1,19.964,1.75,10092
CRMD,CORMEDIX INC,-0.113924051,2010,10,1,18.02464,1.58,10092
CRMD,CORMEDIX INC,-0.107142857,2010,11,1,15.9712,1.4,10092
CRMD,CORMEDIX INC,0.456,2010,12,1,14.26,1.25,10092
CRMD,CORMEDIX INC,0.0054945055,2011,1,1,20.76256,1.82,10092
CRMD,CORMEDIX INC,-0.092896175,2011,2,1,20.87664,1.83,10092
CRMD,CORMEDIX INC,0.078313253,2011,3,1,18.93728,1.66,10092
CRMD,CORMEDIX INC,0.0446927374,2011,4,1,20.42032,1.79,10092
CRMD,CORMEDIX INC,-0.085508021,2011,5,1,21.33296,1.87,10092
CRMD,CORMEDIX INC,-0.152096369,2011,6,1,19.5088208,1.7101,10092
CRMD,CORMEDIX INC,-0.103448276,2011,7,1,16.5416,1.45,10092
CRMD,CORMEDIX INC,-0.284615385,2011,8,1,14.8304,1.3,10092
CRMD,CORMEDIX INC,-0.021505376,2011,9,1,10.60944,0.93,10092
CRMD,CORMEDIX INC,-0.538461538,2011,10,1,10.38128,0.91,10092
CRMD,CORMEDIX INC,-0.23,2011,11,1,4.79136,0.42,10092
CRMD,CORMEDIX INC,-0.126777984,2011,12,1,3.6893472,0.3234,10092
CRMD,CORMEDIX INC,0.2039660057,2012,1,1,3.2216192,0.2824,10092
CRMD,CORMEDIX INC,0.0294117647,2012,2,1,3.87872,0.34,10092
CRMD,CORMEDIX INC,0.3285714286,2012,3,1,3.9928,0.35,10092
CRMD,CORMEDIX INC,-0.203225806,2012,4,1,5.30472,0.465,10092
CRMD,CORMEDIX INC,-0.466126856,2012,5,1,4.226664,0.3705,10092
CRMD,CORMEDIX INC,0.0616784631,2012,6,1,2.2565024,0.1978,10092
CRMD,CORMEDIX INC,0.0952380952,2012,7,1,2.39568,0.21,10092
CRMD,CORMEDIX INC,-0.217391304,2012,8,1,2.62384,0.23,10092
CRMD,CORMEDIX INC,0.4533333333,2012,9,1,2.05344,0.18,10092
CRMD,CORMEDIX INC,1.2171253823,2012,10,1,2.9843328,0.2616,10092
CRMD,CORMEDIX INC,0.2451724138,2012,11,1,6.61664,0.58,10092
CRMD,CORMEDIX INC,-0.002769316,2012,12,1,8.2388576,0.7222,10092
CRMD,CORMEDIX INC,0.29130797,2013,1,1,8.2160416,0.7202,10092
CRMD,CORMEDIX INC,-0.086021505,2013,2,1,10.60944,0.93,10092
CRMD,CORMEDIX INC,-0.047058824,2013,3,1,9.6968,0.85,10092
CRMD,CORMEDIX INC,-0.260493827,2013,4,1,9.62442,0.81,10092
CRMD,CORMEDIX INC,-0.115191987,2013,5,1,7.117318,0.599,10092
CRMD,CORMEDIX INC,0.7924528302,2013,6,1,7.03999,0.53,10092
CRMD,CORMEDIX INC,0,2013,7,1,12.69485,0.95,10092
CRMD,CORMEDIX INC,0.0652631579,2013,8,1,13.47955,0.95,10092
CRMD,CORMEDIX INC,-0.088438735,2013,9,1,14.52726,1.012,10092
CRMD,CORMEDIX INC,-0.106666667,2013,10,1,13.2424875,0.9225,10092
CRMD,CORMEDIX INC,-0.029244024,2013,11,1,13.1518119,0.8241,10092
CRMD,CORMEDIX INC,0.55,2013,12,1,12.932,0.8,10092
CRMD,CORMEDIX INC,0.8305645161,2014,1,1,20.0446,1.24,10092
CRMD,CORMEDIX INC,0.2291290365,2014,2,1,39.7050908,2.2699,10092
CRMD,CORMEDIX INC,-0.100358423,2014,3,1,51.96375,2.79,10092
CRMD,CORMEDIX INC,-0.266932271,2014,4,1,54.95394,2.51,10092
CRMD,CORMEDIX INC,-0.184782609,2014,5,1,40.46712,1.84,10092
CRMD,CORMEDIX INC,0.2066666667,2014,6,1,32.9895,1.5,10092
CRMD,CORMEDIX INC,0.1049723757,2014,7,1,39.80733,1.81,10092
CRMD,CORMEDIX INC,0,2014,8,1,43.986,2,10092
CRMD,CORMEDIX INC,-0.06,2014,9,1,44.004,2,10092
CRMD,CORMEDIX INC,-0.031914894,2014,10,1,41.36376,1.88,10092
CRMD,CORMEDIX INC,-0.230824176,2014,11,1,40.04364,1.82,10092
CRMD,CORMEDIX INC,0.3643831702,2014,12,1,31.3339617,1.3999,10092
CRMD,CORMEDIX INC,0.6230366492,2015,1,1,42.75153,1.91,10092
CRMD,CORMEDIX INC,0.664516129,2015,2,1,69.3873,3.1,10092
CRMD,CORMEDIX INC,0.9069767442,2015,3,1,115.90392,5.16,10092
CRMD,CORMEDIX INC,-0.237804878,2015,4,1,237.37032,9.84,10092
