ticker,conm,ret,year,month,EW,VW,PW,n
CUTR,CUTERA INC,,2004,3,1,,,8585
CUTR,CUTERA INC,0.005,2004,4,1,,14,8585
CUTR,CUTERA INC,-0.090262971,2004,5,1,141.93816,14.07,8585
CUTR,CUTERA INC,0.06171875,2004,6,1,136.8704,12.8,8585
CUTR,CUTERA INC,0.0301692421,2004,7,1,145.31787,13.59,8585
CUTR,CUTERA INC,-0.185714286,2004,8,1,149.702,14,8585
CUTR,CUTERA INC,-0.010526316,2004,9,1,122.0826,11.4,8585
CUTR,CUTERA INC,-0.065602837,2004,10,1,120.79752,11.28,8585
CUTR,CUTERA INC,0.1622390892,2004,11,1,112.87286,10.54,8585
CUTR,CUTERA INC,0.0204081633,2004,12,1,132.0795,12.25,8585
CUTR,CUTERA INC,0.1184,2005,1,1,134.775,12.5,8585
CUTR,CUTERA INC,0.1816881259,2005,2,1,150.73236,13.98,8585
CUTR,CUTERA INC,0.1670702179,2005,3,1,178.11864,16.52,8585
CUTR,CUTERA INC,-0.109958506,2005,4,1,213.83448,19.28,8585
CUTR,CUTERA INC,-0.067599068,2005,5,1,190.32156,17.16,8585
CUTR,CUTERA INC,0.084375,2005,6,1,180.48,16,8585
CUTR,CUTERA INC,0.2391930836,2005,7,1,195.708,17.35,8585
CUTR,CUTERA INC,0.1297674419,2005,8,1,242.52,21.5,8585
CUTR,CUTERA INC,0.067929189,2005,9,1,282.44412,24.29,8585
CUTR,CUTERA INC,0.0562837317,2005,10,1,301.63032,25.94,8585
CUTR,CUTERA INC,0.4445255474,2005,11,1,318.6072,27.4,8585
CUTR,CUTERA INC,-0.334007074,2005,12,1,468.54804,39.58,8585
CUTR,CUTERA INC,0.0326251897,2006,1,1,312.04968,26.36,8585
CUTR,CUTERA INC,-0.0047759,2006,2,1,322.23036,27.22,8585
CUTR,CUTERA INC,0.0011074197,2006,3,1,320.69142,27.09,8585
CUTR,CUTERA INC,-0.029498525,2006,4,1,333.25056,27.12,8585
CUTR,CUTERA INC,-0.373480243,2006,5,1,323.42016,26.32,8585
CUTR,CUTERA INC,0.1958762887,2006,6,1,204.12971,16.49,8585
CUTR,CUTERA INC,0.1186612576,2006,7,1,244.11388,19.72,8585
CUTR,CUTERA INC,0.0525838622,2006,8,1,273.08074,22.06,8585
CUTR,CUTERA INC,0.1451335056,2006,9,1,293.40792,23.22,8585
CUTR,CUTERA INC,0.0714554344,2006,10,1,335.99124,26.59,8585
CUTR,CUTERA INC,-0.012285012,2006,11,1,359.99964,28.49,8585
CUTR,CUTERA INC,-0.040511727,2006,12,1,358.95384,28.14,8585
CUTR,CUTERA INC,0.06,2007,1,1,344.412,27,8585
CUTR,CUTERA INC,0.2211740042,2007,2,1,365.07672,28.62,8585
CUTR,CUTERA INC,0.0354792561,2007,3,1,445.8222,34.95,8585
CUTR,CUTERA INC,-0.190936723,2007,4,1,489.57832,36.19,8585
CUTR,CUTERA INC,-0.105191257,2007,5,1,396.09984,29.28,8585
CUTR,CUTERA INC,-0.048854962,2007,6,1,355.0362,26.2,8585
CUTR,CUTERA INC,-0.087479936,2007,7,1,337.69092,24.92,8585
CUTR,CUTERA INC,-0.020668426,2007,8,1,308.14974,22.74,8585
CUTR,CUTERA INC,0.1769196228,2007,9,1,296.70321,22.27,8585
CUTR,CUTERA INC,-0.064479206,2007,10,1,349.19583,26.21,8585
CUTR,CUTERA INC,-0.382544861,2007,11,1,326.67996,24.52,8585
CUTR,CUTERA INC,0.036988111,2007,12,1,192.14174,15.14,8585
CUTR,CUTERA INC,-0.204458599,2008,1,1,199.2487,15.7,8585
CUTR,CUTERA INC,0.0152121697,2008,2,1,158.51059,12.49,8585
CUTR,CUTERA INC,0.0623028391,2008,3,1,160.92188,12.68,8585
CUTR,CUTERA INC,-0.012620638,2008,4,1,171.63474,13.47,8585
CUTR,CUTERA INC,-0.230075188,2008,5,1,169.4952,13.3,8585
CUTR,CUTERA INC,-0.118164063,2008,6,1,130.49856,10.24,8585
CUTR,CUTERA INC,0.1029900332,2008,7,1,115.07832,9.03,8585
CUTR,CUTERA INC,0.1214859438,2008,8,1,126.93024,9.96,8585
CUTR,CUTERA INC,-0.050134288,2008,9,1,142.7526,11.17,8585
CUTR,CUTERA INC,-0.197926484,2008,10,1,135.5958,10.61,8585
CUTR,CUTERA INC,0.044653349,2008,11,1,108.7578,8.51,8585
CUTR,CUTERA INC,-0.002249719,2008,12,1,113.6142,8.89,8585
CUTR,CUTERA INC,-0.243517475,2009,1,1,113.3586,8.87,8585
CUTR,CUTERA INC,-0.050670641,2009,2,1,85.7538,6.71,8585
CUTR,CUTERA INC,0.0031397174,2009,3,1,81.4086,6.37,8585
CUTR,CUTERA INC,-0.017214397,2009,4,1,84.91032,6.39,8585
CUTR,CUTERA INC,0.2388535032,2009,5,1,83.44864,6.28,8585
CUTR,CUTERA INC,0.1079691517,2009,6,1,103.38842,7.78,8585
CUTR,CUTERA INC,-0.031322506,2009,7,1,114.55118,8.62,8585
CUTR,CUTERA INC,0.0479041916,2009,8,1,110.96315,8.35,8585
CUTR,CUTERA INC,-0.011428571,2009,9,1,117.03125,8.75,8585
CUTR,CUTERA INC,0.0416184971,2009,10,1,115.69375,8.65,8585
CUTR,CUTERA INC,0.0011098779,2009,11,1,120.50875,9.01,8585
CUTR,CUTERA INC,-0.05654102,2009,12,1,120.96722,9.02,8585
CUTR,CUTERA INC,0.0376028202,2010,1,1,114.12761,8.51,8585
CUTR,CUTERA INC,0.0645526614,2010,2,1,118.41913,8.83,8585
CUTR,CUTERA INC,0.1031914894,2010,3,1,126.0634,9.4,8585
CUTR,CUTERA INC,0.1147540984,2010,4,1,139.33132,10.37,8585
CUTR,CUTERA INC,-0.23183391,2010,5,1,155.37796,11.56,8585
CUTR,CUTERA INC,0.0371621622,2010,6,1,119.58696,8.88,8585
CUTR,CUTERA INC,-0.15092291,2010,7,1,124.03107,9.21,8585
CUTR,CUTERA INC,-0.099744246,2010,8,1,105.31194,7.82,8585
CUTR,CUTERA INC,0.1505681818,2010,9,1,95.44128,7.04,8585
CUTR,CUTERA INC,-0.107407407,2010,10,1,109.8117,8.1,8585
CUTR,CUTERA INC,-0.030428769,2010,11,1,98.01711,7.23,8585
CUTR,CUTERA INC,0.182596291,2010,12,1,95.38507,7.01,8585
CUTR,CUTERA INC,-0.013268999,2011,1,1,112.80203,8.29,8585
CUTR,CUTERA INC,0.1809290954,2011,2,1,111.30526,8.18,8585
CUTR,CUTERA INC,-0.112836439,2011,3,1,131.44362,9.66,8585
CUTR,CUTERA INC,0.0315052509,2011,4,1,117.14333,8.57,8585
CUTR,CUTERA INC,0.0339366516,2011,5,1,121.29364,8.84,8585
CUTR,CUTERA INC,-0.066739606,2011,6,1,125.40994,9.14,8585
CUTR,CUTERA INC,-0.049237984,2011,7,1,117.04013,8.53,8585
CUTR,CUTERA INC,-0.027127004,2011,8,1,111.27731,8.11,8585
CUTR,CUTERA INC,-0.097591888,2011,9,1,109.33173,7.89,8585
CUTR,CUTERA INC,-0.009831461,2011,10,1,98.66184,7.12,8585
CUTR,CUTERA INC,0.1106382979,2011,11,1,97.69185,7.05,8585
CUTR,CUTERA INC,-0.04853129,2011,12,1,108.89964,7.83,8585
CUTR,CUTERA INC,0.0456375839,2012,1,1,103.6146,7.45,8585
CUTR,CUTERA INC,0.2002567394,2012,2,1,108.34332,7.79,8585
CUTR,CUTERA INC,-0.085561497,2012,3,1,130.0398,9.35,8585
CUTR,CUTERA INC,0.0292397661,2012,4,1,119.3067,8.55,8585
CUTR,CUTERA INC,-0.214772727,2012,5,1,122.7952,8.8,8585
CUTR,CUTERA INC,0.0412445731,2012,6,1,97.21679,6.91,8585
CUTR,CUTERA INC,-0.052105629,2012,7,1,101.226455,7.195,8585
CUTR,CUTERA INC,0.0586355039,2012,8,1,95.9519869,6.8201,8585
CUTR,CUTERA INC,0.0332409972,2012,9,1,101.9825,7.22,8585
CUTR,CUTERA INC,-0.006702413,2012,10,1,105.3725,7.46,8585
CUTR,CUTERA INC,0.2753036437,2012,11,1,104.66625,7.41,8585
CUTR,CUTERA INC,-0.047619048,2012,12,1,133.50015,9.45,8585
CUTR,CUTERA INC,0.2222222222,2013,1,1,127.143,9,8585
CUTR,CUTERA INC,0.1727272727,2013,2,1,155.397,11,8585
CUTR,CUTERA INC,0.007751938,2013,3,1,182.2383,12.9,8585
CUTR,CUTERA INC,-0.145384615,2013,4,1,189.241,13,8585
CUTR,CUTERA INC,-0.153015302,2013,5,1,163.03925,11.11,8585
CUTR,CUTERA INC,-0.064824655,2013,6,1,138.09175,9.41,8585
