ticker,conm,ret,year,month,EW,VW,PW,n
CVE,CENOVUS ENERGY INC,,2009,11,1,,,10076
CVE,CENOVUS ENERGY INC,-0.023076923,2009,12,1,,26,10076
CVE,CENOVUS ENERGY INC,-0.081349206,2010,1,1,18932.0796,25.2,10076
CVE,CENOVUS ENERGY INC,0.0583153348,2010,2,1,17391.96995,23.15,10076
CVE,CENOVUS ENERGY INC,0.0777681633,2010,3,1,18407.1195,24.5,10076
CVE,CENOVUS ENERGY INC,0.1178939336,2010,4,1,19691.86131,26.21,10076
CVE,CENOVUS ENERGY INC,-0.080546075,2010,5,1,22013.4123,29.3,10076
CVE,CENOVUS ENERGY INC,-0.035497402,2010,6,1,20250.798,26.94,10076
CVE,CENOVUS ENERGY INC,0.0934470725,2010,7,1,19386.343,25.79,10076
CVE,CENOVUS ENERGY INC,-0.045744681,2010,8,1,21197.94,28.2,10076
CVE,CENOVUS ENERGY INC,0.0763522854,2010,9,1,20230.938,26.91,10076
CVE,CENOVUS ENERGY INC,-0.033020507,2010,10,1,21629.286,28.77,10076
CVE,CENOVUS ENERGY INC,0.0341480949,2010,11,1,20915.076,27.82,10076
CVE,CENOVUS ENERGY INC,0.1622704206,2010,12,1,21635.04,28.77,10076
CVE,CENOVUS ENERGY INC,0.0412154031,2011,1,1,24996.48,33.24,10076
CVE,CENOVUS ENERGY INC,0.1242415487,2011,2,1,26026.72,34.61,10076
CVE,CENOVUS ENERGY INC,0.0173600617,2011,3,1,29286.58425,38.91,10076
CVE,CENOVUS ENERGY INC,-0.024885729,2011,4,1,29671.96364,39.38,10076
CVE,CENOVUS ENERGY INC,-0.034114583,2011,5,1,28949.76,38.4,10076
CVE,CENOVUS ENERGY INC,0.0208918846,2011,6,1,27961.48338,37.09,10076
CVE,CENOVUS ENERGY INC,0.0183218269,2011,7,1,28391.19612,37.66,10076
CVE,CENOVUS ENERGY INC,-0.059191656,2011,8,1,28921.38405,38.35,10076
CVE,CENOVUS ENERGY INC,-0.143216741,2011,9,1,27209.47944,36.08,10076
CVE,CENOVUS ENERGY INC,0.1136437642,2011,10,1,23159.73153,30.71,10076
CVE,CENOVUS ENERGY INC,-0.023684211,2011,11,1,25765.767,34.2,10076
CVE,CENOVUS ENERGY INC,0.0001030249,2011,12,1,25158.83076,33.39,10076
CVE,CENOVUS ENERGY INC,0.0975903614,2012,1,1,25016.698,33.2,10076
CVE,CENOVUS ENERGY INC,0.0647639956,2012,2,1,27459.28912,36.44,10076
CVE,CENOVUS ENERGY INC,-0.067973763,2012,3,1,29251.9796,38.8,10076
CVE,CENOVUS ENERGY INC,0.0086254869,2012,4,1,27095.77698,35.94,10076
CVE,CENOVUS ENERGY INC,-0.132965517,2012,5,1,27351.09625,36.25,10076
CVE,CENOVUS ENERGY INC,0.0185681833,2012,6,1,23721.4782,31.43,10076
CVE,CENOVUS ENERGY INC,-0.040566038,2012,7,1,24001.2726,31.8,10076
CVE,CENOVUS ENERGY INC,0.0717797443,2012,8,1,23056.407,30.51,10076
CVE,CENOVUS ENERGY INC,0.072641896,2012,9,1,24711.39,32.7,10076
CVE,CENOVUS ENERGY INC,0.0131994261,2012,10,1,26336.145,34.85,10076
CVE,CENOVUS ENERGY INC,-0.055508355,2012,11,1,26654.88342,35.31,10076
CVE,CENOVUS ENERGY INC,0.012398081,2012,12,1,25176.54865,33.35,10076
CVE,CENOVUS ENERGY INC,-0.008944544,2013,1,1,25320.75468,33.54,10076
CVE,CENOVUS ENERGY INC,-0.027978339,2013,2,1,25094.93688,33.24,10076
CVE,CENOVUS ENERGY INC,-0.033569508,2013,3,1,24421.28733,32.31,10076
CVE,CENOVUS ENERGY INC,-0.033881897,2013,4,1,23437.92294,30.99,10076
CVE,CENOVUS ENERGY INC,-0.000334001,2013,5,1,22627.87356,29.94,10076
CVE,CENOVUS ENERGY INC,-0.039192569,2013,6,1,22620.31582,29.93,10076
CVE,CENOVUS ENERGY INC,0.0378681627,2013,7,1,21554.67448,28.52,10076
CVE,CENOVUS ENERGY INC,-0.029054054,2013,8,1,22372.5088,29.6,10076
CVE,CENOVUS ENERGY INC,0.0467864718,2013,9,1,21722.49672,28.74,10076
CVE,CENOVUS ENERGY INC,-0.004355109,2013,10,1,22561.4658,29.85,10076
CVE,CENOVUS ENERGY INC,-0.017160162,2013,11,1,22463.62424,29.72,10076
CVE,CENOVUS ENERGY INC,-0.011346408,2013,12,1,22078.14482,29.21,10076
CVE,CENOVUS ENERGY INC,-0.087260035,2014,1,1,21654.8733,28.65,10076
CVE,CENOVUS ENERGY INC,0.0137667304,2014,2,1,19765.2683,26.15,10076
CVE,CENOVUS ENERGY INC,0.1014478691,2014,3,1,20042.77946,26.51,10076
CVE,CENOVUS ENERGY INC,0.0279696133,2014,4,1,21918.57872,28.96,10076
CVE,CENOVUS ENERGY INC,0.0006718173,2014,5,1,22531.63289,29.77,10076
CVE,CENOVUS ENERGY INC,0.0948295807,2014,6,1,22547.09772,29.79,10076
CVE,CENOVUS ENERGY INC,-0.051590979,2014,7,1,24499.81716,32.37,10076
CVE,CENOVUS ENERGY INC,0.038762215,2014,8,1,23240.9438,30.7,10076
CVE,CENOVUS ENERGY INC,-0.149539004,2014,9,1,24141.81426,31.89,10076
CVE,CENOVUS ENERGY INC,-0.078869048,2014,10,1,20349.07392,26.88,10076
CVE,CENOVUS ENERGY INC,-0.107431341,2014,11,1,18745.87028,24.76,10076
CVE,CENOVUS ENERGY INC,-0.05651305,2014,12,1,16731.9763,22.1,10076
CVE,CENOVUS ENERGY INC,-0.083899127,2015,1,1,15611.46386,20.62,10076
CVE,CENOVUS ENERGY INC,-0.0847009,2015,2,1,14301.67567,18.89,10076
CVE,CENOVUS ENERGY INC,-0.011639596,2015,3,1,13090.31087,17.29,10076
CVE,CENOVUS ENERGY INC,0.11492891,2015,4,1,13919.29864,16.88,10076
CVE,CENOVUS ENERGY INC,-0.123804463,2015,5,1,15519.02846,18.82,10076
CVE,CENOVUS ENERGY INC,-0.015977901,2015,6,1,13662.50917,16.49,10076
CVE,CENOVUS ENERGY INC,-0.089319176,2015,7,1,13264.81333,16.01,10076
CVE,CENOVUS ENERGY INC,-0.007544582,2015,8,1,12080.01114,14.58,10076
CVE,CENOVUS ENERGY INC,0.0560224464,2015,9,1,12057.7063,14.47,10076
CVE,CENOVUS ENERGY INC,-0.016490765,2015,10,1,12632.6764,15.16,10076
CVE,CENOVUS ENERGY INC,-0.007377599,2015,11,1,12424.3539,14.91,10076
CVE,CENOVUS ENERGY INC,-0.139438595,2015,12,1,12331.2712,14.8,10076
CVE,CENOVUS ENERGY INC,-0.02614897,2016,1,1,10514.90828,12.62,10076
CVE,CENOVUS ENERGY INC,-0.07078926,2016,2,1,10239.95426,12.29,10076
CVE,CENOVUS ENERGY INC,0.1416661121,2016,3,1,9515.07548,11.42,10076
CVE,CENOVUS ENERGY INC,0.2184615385,2016,4,1,10831.522,13,10076
CVE,CENOVUS ENERGY INC,-0.047979798,2016,5,1,13199.3136,15.84,10076
CVE,CENOVUS ENERGY INC,-0.080969363,2016,6,1,12566.0132,15.08,10076
CVE,CENOVUS ENERGY INC,0.0347322721,2016,7,1,11516.0678,13.82,10076
CVE,CENOVUS ENERGY INC,0.0104895105,2016,8,1,11914.6742,14.3,10076
CVE,CENOVUS ENERGY INC,-0.002909585,2016,9,1,12041.0405,14.45,10076
CVE,CENOVUS ENERGY INC,0.0048712596,2016,10,1,11973.01215,14.37,10076
CVE,CENOVUS ENERGY INC,0.0706371191,2016,11,1,12032.7076,14.44,10076
CVE,CENOVUS ENERGY INC,-0.018882988,2016,12,1,12881.1947,15.46,10076
CVE,CENOVUS ENERGY INC,-0.09914078,2017,1,1,12606.24035,15.13,10076
