ticker,conm,ret,year,month,EW,VW,PW,n
CVG,CONVERGYS CORP,-0.044715447,2000,1,1,4695.894,30.75,7577
CVG,CONVERGYS CORP,0.3106382979,2000,2,1,4485.915,29.375,7577
CVG,CONVERGYS CORP,0.0048701299,2000,3,1,5879.412,38.5,7577
CVG,CONVERGYS CORP,0.1373182553,2000,4,1,5943.2124375,38.6875,7577
CVG,CONVERGYS CORP,0.0213068182,2000,5,1,6759.324,44,7577
CVG,CONVERGYS CORP,0.1543810848,2000,6,1,6890.0421875,44.9375,7577
CVG,CONVERGYS CORP,-0.131325301,2000,7,1,7953.734375,51.875,7577
CVG,CONVERGYS CORP,-0.131761442,2000,8,1,6909.2078125,45.0625,7577
CVG,CONVERGYS CORP,-0.006389776,2000,9,1,6018.872625,39.125,7577
CVG,CONVERGYS CORP,0.1205787781,2000,10,1,5980.413375,38.875,7577
CVG,CONVERGYS CORP,-0.034433286,2000,11,1,6701.5243125,43.5625,7577
CVG,CONVERGYS CORP,0.0772659733,2000,12,1,6487.55175,42.0625,7577
CVG,CONVERGYS CORP,0.0484965517,2001,1,1,6988.81875,45.3125,7577
CVG,CONVERGYS CORP,-0.108398232,2001,2,1,7327.75236,47.51,7577
CVG,CONVERGYS CORP,-0.148489141,2001,3,1,6533.43696,42.36,7577
CVG,CONVERGYS CORP,0.0119212642,2001,4,1,5601.63493,36.07,7577
CVG,CONVERGYS CORP,0.1260273973,2001,5,1,6272.014,36.5,7577
CVG,CONVERGYS CORP,-0.263990268,2001,6,1,7022.9625,41.1,7577
CVG,CONVERGYS CORP,0.0297520661,2001,7,1,5168.96875,30.25,7577
CVG,CONVERGYS CORP,-0.098876404,2001,8,1,5325.5909,31.15,7577
CVG,CONVERGYS CORP,-0.011400071,2001,9,1,4799.85772,28.07,7577
CVG,CONVERGYS CORP,0.0126126126,2001,10,1,4745.139,27.75,7577
CVG,CONVERGYS CORP,0.1825622776,2001,11,1,4804.9876,28.1,7577
CVG,CONVERGYS CORP,0.128197412,2001,12,1,5717.98579,33.23,7577
CVG,CONVERGYS CORP,-0.154707922,2002,1,1,6451.01677,37.49,7577
CVG,CONVERGYS CORP,-0.037866835,2002,2,1,5452.99337,31.69,7577
CVG,CONVERGYS CORP,-0.030173827,2002,3,1,5250.71339,30.49,7577
CVG,CONVERGYS CORP,-0.064254312,2002,4,1,5105.61534,29.57,7577
CVG,CONVERGYS CORP,-0.05168052,2002,5,1,4777.55754,27.67,7577
CVG,CONVERGYS CORP,-0.257621951,2002,6,1,4536.97472,26.24,7577
CVG,CONVERGYS CORP,-0.223819302,2002,7,1,3368.15044,19.48,7577
CVG,CONVERGYS CORP,0.1832010582,2002,8,1,2615.76,15.12,7577
CVG,CONVERGYS CORP,-0.159865847,2002,9,1,3098.44066,17.89,7577
CVG,CONVERGYS CORP,-0.00998004,2002,10,1,2603.10582,15.03,7577
CVG,CONVERGYS CORP,0.1586021505,2002,11,1,2577.12672,14.88,7577
CVG,CONVERGYS CORP,-0.121229698,2002,12,1,2988.2954,17.24,7577
