ticker,conm,ret,year,month,EW,VW,PW,n
CVRR,CVR REFINING LP,,2013,1,1,,,2240
CVRR,CVR REFINING LP,0.0478199719,2013,2,1,4197.744,28.44,2240
CVRR,CVR REFINING LP,0.1640939597,2013,3,1,4398.48,29.8,2240
CVRR,CVR REFINING LP,-0.081291438,2013,4,1,5120.244,34.69,2240
CVRR,CVR REFINING LP,0.002196423,2013,5,1,4704.012,31.87,2240
CVRR,CVR REFINING LP,-0.009881423,2013,6,1,4481.136,30.36,2240
CVRR,CVR REFINING LP,-0.033932136,2013,7,1,4436.856,30.06,2240
CVRR,CVR REFINING LP,-0.016184573,2013,8,1,4286.304,29.04,2240
CVRR,CVR REFINING LP,-0.08376194,2013,9,1,4017.672,27.22,2240
CVRR,CVR REFINING LP,-0.024057739,2013,10,1,3681.144,24.94,2240
CVRR,CVR REFINING LP,-0.001643385,2013,11,1,3592.584,24.34,2240
CVRR,CVR REFINING LP,-0.0575,2013,12,1,3542.4,24,2240
CVRR,CVR REFINING LP,-0.011052166,2014,1,1,3338.712,22.62,2240
CVRR,CVR REFINING LP,-0.046490836,2014,2,1,3301.812,22.37,2240
CVRR,CVR REFINING LP,0.1149425287,2014,3,1,3081.888,20.88,2240
CVRR,CVR REFINING LP,0.0279209622,2014,4,1,3436.128,23.28,2240
CVRR,CVR REFINING LP,0.1596322608,2014,5,1,3532.068,23.93,2240
CVRR,CVR REFINING LP,-0.065745237,2014,6,1,3951.252,26.77,2240
CVRR,CVR REFINING LP,0.0259896042,2014,7,1,3691.476,25.01,2240
CVRR,CVR REFINING LP,-0.026890101,2014,8,1,3787.416,25.66,2240
CVRR,CVR REFINING LP,-0.030403998,2014,9,1,3543.876,24.01,2240
CVRR,CVR REFINING LP,0.0412371134,2014,10,1,3436.128,23.28,2240
CVRR,CVR REFINING LP,-0.058168317,2014,11,1,3577.824,24.24,2240
CVRR,CVR REFINING LP,-0.246298789,2014,12,1,3290.004,22.29,2240
CVRR,CVR REFINING LP,-0.00297619,2015,1,1,2479.68,16.8,2240
CVRR,CVR REFINING LP,0.183880597,2015,2,1,2472.3,16.75,2240
CVRR,CVR REFINING LP,0.0657759507,2015,3,1,2872.296,19.46,2240
CVRR,CVR REFINING LP,0.0385728062,2015,4,1,3061.224,20.74,2240
CVRR,CVR REFINING LP,-0.055246054,2015,5,1,3179.304,21.54,2240
CVRR,CVR REFINING LP,-0.065849923,2015,6,1,2891.484,19.59,2240
