ticker,conm,ret,year,month,EW,VW,PW,n
CW,CURTISS-WRIGHT CORP,-0.03220339,2000,1,1,371.810625,36.875,422
CW,CURTISS-WRIGHT CORP,0.0367775832,2000,2,1,359.8370625,35.6875,422
CW,CURTISS-WRIGHT CORP,-0.010135135,2000,3,1,373.071,37,422
CW,CURTISS-WRIGHT CORP,-0.023754266,2000,4,1,367.971375,36.625,422
CW,CURTISS-WRIGHT CORP,-0.022807018,2000,5,1,357.924375,35.625,422
CW,CURTISS-WRIGHT CORP,0.0682226212,2000,6,1,349.308625,34.8125,422
CW,CURTISS-WRIGHT CORP,0.0471932773,2000,7,1,373.139375,37.1875,422
CW,CURTISS-WRIGHT CORP,0.1706924316,2000,8,1,389.444625,38.8125,422
CW,CURTISS-WRIGHT CORP,0.0385144429,2000,9,1,454.92025,45.4375,422
CW,CURTISS-WRIGHT CORP,0.0014304636,2000,10,1,472.44125,47.1875,422
CW,CURTISS-WRIGHT CORP,0.0319363395,2000,11,1,471.8155,47.125,422
CW,CURTISS-WRIGHT CORP,-0.041237113,2000,12,1,485.679,48.5,422
CW,CURTISS-WRIGHT CORP,0.0219354839,2001,1,1,465.651,46.5,422
CW,CURTISS-WRIGHT CORP,0.007996633,2001,2,1,477.43344,47.52,422
CW,CURTISS-WRIGHT CORP,0.0073068894,2001,3,1,481.2513,47.9,422
CW,CURTISS-WRIGHT CORP,-0.056373057,2001,4,1,484.9125,48.25,422
CW,CURTISS-WRIGHT CORP,0.0550660793,2001,5,1,456.27,45.4,422
CW,CURTISS-WRIGHT CORP,0.121085595,2001,6,1,481.395,47.9,422
CW,CURTISS-WRIGHT CORP,-0.072067039,2001,7,1,539.685,53.7,422
CW,CURTISS-WRIGHT CORP,-0.026156942,2001,8,1,499.485,49.7,422
CW,CURTISS-WRIGHT CORP,-0.037190083,2001,9,1,487.4848,48.4,422
CW,CURTISS-WRIGHT CORP,-0.003648069,2001,10,1,469.495,46.6,422
CW,CURTISS-WRIGHT CORP,-0.084233261,2001,11,1,466.4725,46.3,422
CW,CURTISS-WRIGHT CORP,0.1297169811,2001,12,1,427.1376,42.4,422
CW,CURTISS-WRIGHT CORP,-0.012565445,2002,1,1,271.793,47.75,422
CW,CURTISS-WRIGHT CORP,0.31495228,2002,2,1,268.3778,47.15,422
CW,CURTISS-WRIGHT CORP,0.0725806452,2002,3,1,352.904,62,422
CW,CURTISS-WRIGHT CORP,0.1487218045,2002,4,1,399.0665,66.5,422
CW,CURTISS-WRIGHT CORP,-0.06610703,2002,5,1,457.51624,76.24,422
CW,CURTISS-WRIGHT CORP,0.1235955056,2002,6,1,411.892,71.2,422
CW,CURTISS-WRIGHT CORP,-0.163125,2002,7,1,462.8,80,422
CW,CURTISS-WRIGHT CORP,-0.178143713,2002,8,1,386.438,66.8,422
CW,CURTISS-WRIGHT CORP,0.0890710383,2002,9,1,321.0552,54.9,422
CW,CURTISS-WRIGHT CORP,0.0366281987,2002,10,1,349.65192,59.79,422
CW,CURTISS-WRIGHT CORP,-0.002911208,2002,11,1,361.58184,61.83,422
CW,CURTISS-WRIGHT CORP,0.0377235772,2002,12,1,360.759,61.5,422
CW,CURTISS-WRIGHT CORP,-0.146819179,2003,1,1,374.36812,63.82,422
CW,CURTISS-WRIGHT CORP,0.0027548209,2003,2,1,319.4037,54.45,422
CW,CURTISS-WRIGHT CORP,0.1080586081,2003,3,1,320.2836,54.6,422
CW,CURTISS-WRIGHT CORP,-0.001652893,2003,4,1,357.313,60.5,422
CW,CURTISS-WRIGHT CORP,-0.017427386,2003,5,1,356.13775,60.25,422
CW,CURTISS-WRIGHT CORP,0.0675675676,2003,6,1,349.9904,59.2,422
CW,CURTISS-WRIGHT CORP,-0.005537975,2003,7,1,373.6384,63.2,422
CW,CURTISS-WRIGHT CORP,0.0845295056,2003,8,1,370.6824,62.7,422
CW,CURTISS-WRIGHT CORP,0.0385294118,2003,9,1,403.648,68,422
CW,CURTISS-WRIGHT CORP,0.0499858397,2003,10,1,419.20032,70.62,422
CW,CURTISS-WRIGHT CORP,0.1068918919,2003,11,1,439.264,74,422
CW,CURTISS-WRIGHT CORP,0.1012086436,2003,12,1,489.33034,81.91,422
CW,CURTISS-WRIGHT CORP,0.0142190624,2004,1,1,537.77948,45.01,422
CW,CURTISS-WRIGHT CORP,0.0519167579,2004,2,1,548.0739,45.65,422
CW,CURTISS-WRIGHT CORP,-0.023948355,2004,3,1,576.52812,48.02,422
CW,CURTISS-WRIGHT CORP,0.0068273949,2004,4,1,570.31416,46.87,422
CW,CURTISS-WRIGHT CORP,-0.001061571,2004,5,1,573.1128,47.1,422
CW,CURTISS-WRIGHT CORP,0.194261424,2004,6,1,575.1392,47.05,422
CW,CURTISS-WRIGHT CORP,-0.041822388,2004,7,1,686.86656,56.19,422
CW,CURTISS-WRIGHT CORP,0.016744186,2004,8,1,657.04,53.75,422
CW,CURTISS-WRIGHT CORP,0.0472095151,2004,9,1,688.86325,54.65,422
CW,CURTISS-WRIGHT CORP,-0.02323956,2004,10,1,721.38415,57.23,422
CW,CURTISS-WRIGHT CORP,0.0679089769,2004,11,1,703.48505,55.81,422
CW,CURTISS-WRIGHT CORP,-0.035234899,2004,12,1,754.536,59.6,422
CW,CURTISS-WRIGHT CORP,-0.108343494,2005,1,1,726.8106,57.41,422
CW,CURTISS-WRIGHT CORP,0.0851728853,2005,2,1,648.0654,51.19,422
CW,CURTISS-WRIGHT CORP,0.0261026103,2005,3,1,926.62955,55.55,422
CW,CURTISS-WRIGHT CORP,-0.04754386,2005,4,1,727.776,57,422
CW,CURTISS-WRIGHT CORP,0.0088560886,2005,5,1,694.4104,54.2,422
CW,CURTISS-WRIGHT CORP,-0.013350402,2005,6,1,702.638,54.68,422
CW,CURTISS-WRIGHT CORP,0.1397590361,2005,7,1,1151.45485,53.95,422
CW,CURTISS-WRIGHT CORP,0.051465798,2005,8,1,1310.4602,61.4,422
CW,CURTISS-WRIGHT CORP,-0.044144981,2005,9,1,1399.338,64.56,422
CW,CURTISS-WRIGHT CORP,-0.06919462,2005,10,1,1337.56425,61.71,422
CW,CURTISS-WRIGHT CORP,0.0238884045,2005,11,1,1243.06125,57.35,422
CW,CURTISS-WRIGHT CORP,-0.068259386,2005,12,1,1273.964,58.6,422
CW,CURTISS-WRIGHT CORP,0.0868131868,2006,1,1,1187.004,54.6,422
CW,CURTISS-WRIGHT CORP,0.0421300977,2006,2,1,1290.0516,59.34,422
CW,CURTISS-WRIGHT CORP,0.0705045278,2006,3,1,1344.4016,61.84,422
CW,CURTISS-WRIGHT CORP,0.003021148,2006,4,1,1445.7418,66.2,422
CW,CURTISS-WRIGHT CORP,0.01991551,2006,5,1,1447.48892,33.14,422
CW,CURTISS-WRIGHT CORP,-0.086390533,2006,6,1,1480.609,33.8,422
CW,CURTISS-WRIGHT CORP,-0.056994819,2006,7,1,1352.6984,30.88,422
CW,CURTISS-WRIGHT CORP,0.0698554714,2006,8,1,1272.9733,29.06,422
CW,CURTISS-WRIGHT CORP,-0.023801866,2006,9,1,1365.59716,31.09,422
CW,CURTISS-WRIGHT CORP,0.1169686985,2006,10,1,1333.0934,30.35,422
CW,CURTISS-WRIGHT CORP,0.0523049645,2006,11,1,1486.38816,33.84,422
CW,CURTISS-WRIGHT CORP,0.0430379747,2006,12,1,1561.9248,35.55,422
CW,CURTISS-WRIGHT CORP,0.0296655879,2007,1,1,1629.14688,37.08,422
CW,CURTISS-WRIGHT CORP,-0.083813515,2007,2,1,1677.47648,38.18,422
CW,CURTISS-WRIGHT CORP,0.1017724414,2007,3,1,1545.5913,34.98,422
CW,CURTISS-WRIGHT CORP,0.1196159834,2007,4,1,1705.395,38.54,422
CW,CURTISS-WRIGHT CORP,0.0459503365,2007,5,1,1906.7325,43.09,422
CW,CURTISS-WRIGHT CORP,0.0341690703,2007,6,1,1996.28551,45.07,422
CW,CURTISS-WRIGHT CORP,-0.063934778,2007,7,1,2064.49673,46.61,422
CW,CURTISS-WRIGHT CORP,0.0465916915,2007,8,1,1929.84601,43.57,422
CW,CURTISS-WRIGHT CORP,0.0416666667,2007,9,1,2025.9624,45.6,422
CW,CURTISS-WRIGHT CORP,0.1867368421,2007,10,1,2110.3775,47.5,422
CW,CURTISS-WRIGHT CORP,-0.040326879,2007,11,1,2500.90841,56.29,422
CW,CURTISS-WRIGHT CORP,-0.0693363,2007,12,1,2398.87362,53.94,422
CW,CURTISS-WRIGHT CORP,-0.169322709,2008,1,1,2232.5446,50.2,422
CW,CURTISS-WRIGHT CORP,0.0086330935,2008,2,1,1854.5241,41.7,422
CW,CURTISS-WRIGHT CORP,-0.013789824,2008,3,1,1880.79702,42.06,422
CW,CURTISS-WRIGHT CORP,0.1468177435,2008,4,1,1855.35892,41.48,422
CW,CURTISS-WRIGHT CORP,0.0846493999,2008,5,1,2124.18021,47.49,422
CW,CURTISS-WRIGHT CORP,-0.13143079,2008,6,1,2304.76344,51.51,422
CW,CURTISS-WRIGHT CORP,0.1783638802,2008,7,1,2001.84656,44.74,422
CW,CURTISS-WRIGHT CORP,0.0233662614,2008,8,1,2355.32416,52.64,422
CW,CURTISS-WRIGHT CORP,-0.156302209,2008,9,1,2418.81687,53.87,422
CW,CURTISS-WRIGHT CORP,-0.186358636,2008,10,1,2040.75045,45.45,422
CW,CURTISS-WRIGHT CORP,-0.092682927,2008,11,1,1656.8469,36.9,422
CW,CURTISS-WRIGHT CORP,-0.000299401,2008,12,1,1502.2318,33.4,422
CW,CURTISS-WRIGHT CORP,-0.032644504,2009,1,1,1501.78203,33.39,422
CW,CURTISS-WRIGHT CORP,-0.176780186,2009,2,1,1452.7571,32.3,422
CW,CURTISS-WRIGHT CORP,0.0549078601,2009,3,1,1195.93843,26.59,422
CW,CURTISS-WRIGHT CORP,0.1426024955,2009,4,1,1268.33685,28.05,422
CW,CURTISS-WRIGHT CORP,-0.084141383,2009,5,1,1445.58749,31.97,422
CW,CURTISS-WRIGHT CORP,0.0181010929,2009,6,1,1324.15872,29.28,422
CW,CURTISS-WRIGHT CORP,0.1109989909,2009,7,1,1344.50952,29.73,422
CW,CURTISS-WRIGHT CORP,-0.013926733,2009,8,1,1493.74872,33.03,422
CW,CURTISS-WRIGHT CORP,0.0478968376,2009,9,1,1483.79149,32.57,422
CW,CURTISS-WRIGHT CORP,-0.123937885,2009,10,1,1554.86041,34.13,422
CW,CURTISS-WRIGHT CORP,-0.042924212,2009,11,1,1358.50974,29.82,422
CW,CURTISS-WRIGHT CORP,0.1004919185,2009,12,1,1298.11752,28.46,422
CW,CURTISS-WRIGHT CORP,-0.024265645,2010,1,1,1428.56784,31.32,422
CW,CURTISS-WRIGHT CORP,0.0487565445,2010,2,1,1393.90272,30.56,422
CW,CURTISS-WRIGHT CORP,0.088299532,2010,3,1,1468.30665,32.05,422
CW,CURTISS-WRIGHT CORP,0.025,2010,4,1,1594.536,34.8,422
CW,CURTISS-WRIGHT CORP,-0.071488646,2010,5,1,1634.3994,35.67,422
CW,CURTISS-WRIGHT CORP,-0.120772947,2010,6,1,1518.94944,33.12,422
CW,CURTISS-WRIGHT CORP,0.0430440771,2010,7,1,1331.83248,29.04,422
CW,CURTISS-WRIGHT CORP,-0.122152526,2010,8,1,1389.15998,30.29,422
CW,CURTISS-WRIGHT CORP,0.1395261376,2010,9,1,1225.05448,26.59,422
CW,CURTISS-WRIGHT CORP,0.0217821782,2010,10,1,1395.9816,30.3,422
CW,CURTISS-WRIGHT CORP,0.0087435233,2010,11,1,1422.70336,30.88,422
CW,CURTISS-WRIGHT CORP,0.0685548761,2010,12,1,1432.38914,31.07,422
CW,CURTISS-WRIGHT CORP,0.0451807229,2011,1,1,1530.5864,33.2,422
CW,CURTISS-WRIGHT CORP,0.0634005764,2011,2,1,1599.7394,34.7,422
CW,CURTISS-WRIGHT CORP,-0.045528455,2011,3,1,1709.0604,36.9,422
CW,CURTISS-WRIGHT CORP,-0.053784861,2011,4,1,1629.2661,35.14,422
CW,CURTISS-WRIGHT CORP,0.0258646617,2011,5,1,1541.63625,33.25,422
CW,CURTISS-WRIGHT CORP,-0.04866608,2011,6,1,1581.51015,34.11,422
CW,CURTISS-WRIGHT CORP,-0.012666049,2011,7,1,1500.83505,32.37,422
CW,CURTISS-WRIGHT CORP,-0.03660826,2011,8,1,1481.8254,31.96,422
CW,CURTISS-WRIGHT CORP,-0.063657032,2011,9,1,1435.06032,30.79,422
CW,CURTISS-WRIGHT CORP,0.1397849462,2011,10,1,1343.70864,28.83,422
CW,CURTISS-WRIGHT CORP,0.0076266016,2011,11,1,1527.81024,32.78,422
CW,CURTISS-WRIGHT CORP,0.0722306525,2011,12,1,1538.2378,32.95,422
CW,CURTISS-WRIGHT CORP,0.0574582508,2012,1,1,1649.34572,35.33,422
CW,CURTISS-WRIGHT CORP,-0.005620985,2012,2,1,1744.11424,37.36,422
CW,CURTISS-WRIGHT CORP,-0.001615074,2012,3,1,1734.5335,37.15,422
CW,CURTISS-WRIGHT CORP,-0.046473926,2012,4,1,1731.21677,37.01,422
CW,CURTISS-WRIGHT CORP,-0.138849532,2012,5,1,1650.76033,35.29,422
CW,CURTISS-WRIGHT CORP,0.0246791708,2012,6,1,1425.77724,30.39,422
CW,CURTISS-WRIGHT CORP,-0.034782609,2012,7,1,1456.7418,31.05,422
CW,CURTISS-WRIGHT CORP,0.003003003,2012,8,1,1406.07252,29.97,422
CW,CURTISS-WRIGHT CORP,0.0878243513,2012,9,1,1411.22682,30.06,422
CW,CURTISS-WRIGHT CORP,-0.053211009,2012,10,1,1535.1669,32.7,422
CW,CURTISS-WRIGHT CORP,0.0307742144,2012,11,1,1449.25389,30.87,422
CW,CURTISS-WRIGHT CORP,0.0346675071,2012,12,1,1484.3294,31.73,422
CW,CURTISS-WRIGHT CORP,0.0858970454,2013,1,1,1535.7874,32.83,422
CW,CURTISS-WRIGHT CORP,-0.026367461,2013,2,1,1667.707,35.65,422
CW,CURTISS-WRIGHT CORP,0.0023048113,2013,3,1,1620.05454,34.71,422
CW,CURTISS-WRIGHT CORP,-0.053602305,2013,4,1,1621.0799,34.7,422
CW,CURTISS-WRIGHT CORP,0.1071863581,2013,5,1,1534.18628,32.84,422
CW,CURTISS-WRIGHT CORP,0.0220022002,2013,6,1,1702.48428,36.36,422
CW,CURTISS-WRIGHT CORP,0.0966001079,2013,7,1,1735.26038,37.06,422
CW,CURTISS-WRIGHT CORP,0.0275590551,2013,8,1,1902.88672,40.64,422
CW,CURTISS-WRIGHT CORP,0.1245210728,2013,9,1,1965.72672,41.76,422
CW,CURTISS-WRIGHT CORP,0.0621805792,2013,10,1,2210.50112,46.96,422
CW,CURTISS-WRIGHT CORP,0.0620731217,2013,11,1,2343.24416,49.78,422
CW,CURTISS-WRIGHT CORP,0.1792685238,2013,12,1,2499.60936,52.77,422
CW,CURTISS-WRIGHT CORP,-0.01301623,2014,1,1,2947.71064,62.23,422
CW,CURTISS-WRIGHT CORP,0.1097362423,2014,2,1,2909.34256,61.42,422
CW,CURTISS-WRIGHT CORP,-0.065874413,2014,3,1,3273.31584,68.16,422
CW,CURTISS-WRIGHT CORP,0.0062952471,2014,4,1,3060.21348,63.54,422
CW,CURTISS-WRIGHT CORP,0.0420706913,2014,5,1,3079.47828,63.94,422
CW,CURTISS-WRIGHT CORP,-0.014107759,2014,6,1,3210.83307,66.63,422
