ticker,conm,ret,year,month,EW,VW,PW,n
DEK,DEKANIA CORP,,2007,5,1,,,9528
DEK,DEKANIA CORP,0.0021482277,2007,6,1,118.237,9.31,9528
DEK,DEKANIA CORP,0.0032154341,2007,7,1,118.491,9.33,9528
DEK,DEKANIA CORP,0.0042735043,2007,8,1,118.872,9.36,9528
DEK,DEKANIA CORP,0.0212765957,2007,9,1,119.38,9.4,9528
DEK,DEKANIA CORP,-0.025,2007,10,1,121.92,9.6,9528
DEK,DEKANIA CORP,0,2007,11,1,118.872,9.36,9528
DEK,DEKANIA CORP,-0.006410256,2007,12,1,118.872,9.36,9528
DEK,DEKANIA CORP,0.0096774194,2008,1,1,118.11,9.3,9528
DEK,DEKANIA CORP,0.01171459,2008,2,1,119.253,9.39,9528
DEK,DEKANIA CORP,0.0042105263,2008,3,1,120.65,9.5,9528
DEK,DEKANIA CORP,-0.009433962,2008,4,1,121.158,9.54,9528
DEK,DEKANIA CORP,0.0052910053,2008,5,1,120.015,9.45,9528
DEK,DEKANIA CORP,0.0052631579,2008,6,1,120.65,9.5,9528
DEK,DEKANIA CORP,0,2008,7,1,121.285,9.55,9528
DEK,DEKANIA CORP,0.0062827225,2008,8,1,121.285,9.55,9528
DEK,DEKANIA CORP,-0.006243496,2008,9,1,122.047,9.61,9528
DEK,DEKANIA CORP,-0.009424084,2008,10,1,121.285,9.55,9528
DEK,DEKANIA CORP,0.0295983087,2008,11,1,120.142,9.46,9528
DEK,DEKANIA CORP,0.0133470226,2008,12,1,123.698,9.74,9528
DEK,DEKANIA CORP,0.0020263425,2009,1,1,125.349,9.87,9528
DEK,DEKANIA CORP,0.0073205258,2009,2,1,125.603,9.89,9528
DEK,DEKANIA CORP,0,2009,3,1,,9.9624,9528
