ticker,conm,ret,year,month,EW,VW,PW,n
DESP,DESPEGAR COM CORP,,2017,9,1,,,5074
DESP,DESPEGAR COM CORP,-0.0375,2017,10,1,2149.824,32,5074
DESP,DESPEGAR COM CORP,-0.220779221,2017,11,1,2069.2056,30.8,5074
DESP,DESPEGAR COM CORP,0.145,2017,12,1,1612.368,24,5074
DESP,DESPEGAR COM CORP,0.1080786026,2018,1,1,1846.16136,27.48,5074
DESP,DESPEGAR COM CORP,-0.067323481,2018,2,1,2045.6919,30.45,5074
DESP,DESPEGAR COM CORP,0.1003521127,2018,3,1,1907.9688,28.4,5074
DESP,DESPEGAR COM CORP,-0.06048,2018,4,1,2099.4375,31.25,5074
DESP,DESPEGAR COM CORP,-0.206743869,2018,5,1,2028.71728,29.36,5074
DESP,DESPEGAR COM CORP,-0.099613568,2018,6,1,1609.29242,23.29,5074
DESP,DESPEGAR COM CORP,0.0023843586,2018,7,1,1448.98506,20.97,5074
DESP,DESPEGAR COM CORP,-0.197906755,2018,8,1,1452.43996,21.02,5074
DESP,DESPEGAR COM CORP,0.0005931198,2018,9,1,1166.07132,16.86,5074
DESP,DESPEGAR COM CORP,-0.047421458,2018,10,1,1166.76294,16.87,5074
DESP,DESPEGAR COM CORP,-0.070317362,2018,11,1,1111.43334,16.07,5074
DESP,DESPEGAR COM CORP,-0.169344043,2018,12,1,1033.28028,14.94,5074
DESP,DESPEGAR COM CORP,0.2103142627,2019,1,1,858.30042,12.41,5074
DESP,DESPEGAR COM CORP,0.1977363515,2019,2,1,1038.81324,15.02,5074
DESP,DESPEGAR COM CORP,-0.17176209,2019,3,1,1244.22438,17.99,5074
DESP,DESPEGAR COM CORP,-0.020805369,2019,4,1,1030.5138,14.9,5074
DESP,DESPEGAR COM CORP,-0.177518849,2019,5,1,1010.15324,14.59,5074
DESP,DESPEGAR COM CORP,0.1575,2019,6,1,830.832,12,5074
DESP,DESPEGAR COM CORP,-0.063354932,2019,7,1,961.68804,13.89,5074
DESP,DESPEGAR COM CORP,-0.159108378,2019,8,1,900.76036,13.01,5074
DESP,DESPEGAR COM CORP,0.0347349177,2019,9,1,757.44184,10.94,5074
DESP,DESPEGAR COM CORP,-0.012367491,2019,10,1,783.75152,11.32,5074
DESP,DESPEGAR COM CORP,0.1109123435,2019,11,1,774.05848,11.18,5074
DESP,DESPEGAR COM CORP,0.0853462158,2019,12,1,859.91112,12.42,5074
DESP,DESPEGAR COM CORP,0.0986646884,2020,1,1,933.30128,13.48,5074
DESP,DESPEGAR COM CORP,-0.190411884,2020,2,1,1025.38516,14.81,5074
DESP,DESPEGAR COM CORP,-0.527105922,2020,3,1,830.13964,11.99,5074
DESP,DESPEGAR COM CORP,0.2169312169,2020,4,1,392.56812,5.67,5074
DESP,DESPEGAR COM CORP,0.0289855072,2020,5,1,480.5712,6.9,5074
DESP,DESPEGAR COM CORP,0.0112676056,2020,6,1,494.5008,7.1,5074
DESP,DESPEGAR COM CORP,0.073816156,2020,7,1,500.07264,7.18,5074
DESP,DESPEGAR COM CORP,0.1089494163,2020,8,1,536.98608,7.71,5074
DESP,DESPEGAR COM CORP,-0.256140351,2020,9,1,595.4904,8.55,5074
DESP,DESPEGAR COM CORP,0.0691823899,2020,10,1,442.96128,6.36,5074
DESP,DESPEGAR COM CORP,0.6235294118,2020,11,1,473.6064,6.8,5074
DESP,DESPEGAR COM CORP,0.160326087,2020,12,1,768.91392,11.04,5074
