ticker,conm,ret,year,month,EW,VW,PW,n
DLP,DELTA & PINE LAND CO,-0.050359712,2000,1,1,672.151875,17.375,4307
DLP,DELTA & PINE LAND CO,0.0889393939,2000,2,1,638.913,16.5,4307
DLP,DELTA & PINE LAND CO,0.1010452962,2000,3,1,694.575875,17.9375,4307
DLP,DELTA & PINE LAND CO,0.0632911392,2000,4,1,757.94575,19.75,4307
DLP,DELTA & PINE LAND CO,0.0252380952,2000,5,1,806.106,21,4307
DLP,DELTA & PINE LAND CO,0.1656976744,2000,6,1,825.299,21.5,4307
DLP,DELTA & PINE LAND CO,-0.002493766,2000,7,1,962.049125,25.0625,4307
DLP,DELTA & PINE LAND CO,-0.0213,2000,8,1,959.65,25,4307
DLP,DELTA & PINE LAND CO,0.0511508951,2000,9,1,938.057875,24.4375,4307
DLP,DELTA & PINE LAND CO,-0.0486618,2000,10,1,986.040375,25.6875,4307
DLP,DELTA & PINE LAND CO,-0.062710997,2000,11,1,938.057875,24.4375,4307
DLP,DELTA & PINE LAND CO,-0.084699454,2000,12,1,878.07975,22.875,4307
DLP,DELTA & PINE LAND CO,0.0985074627,2001,1,1,803.706875,20.9375,4307
DLP,DELTA & PINE LAND CO,0.0734782609,2001,2,1,883.154,23,4307
DLP,DELTA & PINE LAND CO,-0.022312373,2001,3,1,946.5107,24.65,4307
DLP,DELTA & PINE LAND CO,-0.008298755,2001,4,1,925.3918,24.1,4307
DLP,DELTA & PINE LAND CO,0.020083682,2001,5,1,920.8909,23.9,4307
DLP,DELTA & PINE LAND CO,-0.192686935,2001,6,1,937.84454,24.34,4307
DLP,DELTA & PINE LAND CO,0.0005089059,2001,7,1,757.29135,19.65,4307
DLP,DELTA & PINE LAND CO,0.0295015259,2001,8,1,757.67674,19.66,4307
DLP,DELTA & PINE LAND CO,-0.159405941,2001,9,1,778.4878,20.2,4307
DLP,DELTA & PINE LAND CO,0.0630153121,2001,10,1,654.39222,16.98,4307
DLP,DELTA & PINE LAND CO,0.1783933518,2001,11,1,695.62895,18.05,4307
DLP,DELTA & PINE LAND CO,0.0664467484,2001,12,1,813.72334,21.22,4307
DLP,DELTA & PINE LAND CO,-0.056120194,2002,1,1,867.79261,22.63,4307
DLP,DELTA & PINE LAND CO,-0.110955056,2002,2,1,821.54832,21.36,4307
DLP,DELTA & PINE LAND CO,0.0015839493,2002,3,1,728.47028,18.94,4307
DLP,DELTA & PINE LAND CO,0.0258302583,2002,4,1,729.98457,18.97,4307
DLP,DELTA & PINE LAND CO,-0.003083248,2002,5,1,748.84026,19.46,4307
DLP,DELTA & PINE LAND CO,0.0387596899,2002,6,1,744.60735,19.35,4307
DLP,DELTA & PINE LAND CO,-0.041791045,2002,7,1,773.4681,20.1,4307
DLP,DELTA & PINE LAND CO,-0.052440291,2002,8,1,737.58096,19.26,4307
DLP,DELTA & PINE LAND CO,0.0296703297,2002,9,1,696.9872,18.2,4307
DLP,DELTA & PINE LAND CO,0.022945571,2002,10,1,717.66704,18.74,4307
DLP,DELTA & PINE LAND CO,0.0542514345,2002,11,1,734.13432,19.17,4307
DLP,DELTA & PINE LAND CO,0.0124007937,2002,12,1,769.08384,20.16,4307
DLP,DELTA & PINE LAND CO,-0.012738854,2003,1,1,779.21298,20.41,4307
DLP,DELTA & PINE LAND CO,-0.016873449,2003,2,1,769.34715,20.15,4307
DLP,DELTA & PINE LAND CO,0.1448101266,2003,3,1,754.07475,19.75,4307
DLP,DELTA & PINE LAND CO,0.0287483414,2003,4,1,869.94236,22.61,4307
DLP,DELTA & PINE LAND CO,0.0107480653,2003,5,1,884.39172,23.26,4307
