ticker,conm,ret,year,month,EW,VW,PW,n
DLTH,DULUTH HOLDINGS INC,,2015,11,1,,,4006
DLTH,DULUTH HOLDINGS INC,0.0167247387,2015,12,1,400.7668,14.35,4006
DLTH,DULUTH HOLDINGS INC,0.1315969842,2016,1,1,422.40968,14.59,4006
DLTH,DULUTH HOLDINGS INC,0.0024227741,2016,2,1,477.99752,16.51,4006
DLTH,DULUTH HOLDINGS INC,0.1776435045,2016,3,1,479.1556,16.55,4006
DLTH,DULUTH HOLDINGS INC,0.220625962,2016,4,1,564.27448,19.49,4006
DLTH,DULUTH HOLDINGS INC,0.113913409,2016,5,1,688.76808,23.79,4006
DLTH,DULUTH HOLDINGS INC,-0.076981132,2016,6,1,768.6325,26.5,4006
DLTH,DULUTH HOLDINGS INC,0.0139002453,2016,7,1,709.4623,24.46,4006
DLTH,DULUTH HOLDINGS INC,0.2221774194,2016,8,1,719.324,24.8,4006
DLTH,DULUTH HOLDINGS INC,-0.125371165,2016,9,1,879.14155,30.31,4006
DLTH,DULUTH HOLDINGS INC,0.0241418333,2016,10,1,769.10812,26.51,4006
DLTH,DULUTH HOLDINGS INC,0.2342541436,2016,11,1,787.6758,27.15,4006
DLTH,DULUTH HOLDINGS INC,-0.242017308,2016,12,1,972.19212,33.51,4006
DLTH,DULUTH HOLDINGS INC,-0.109448819,2017,1,1,736.9048,25.4,4006
DLTH,DULUTH HOLDINGS INC,-0.067639257,2017,2,1,656.25144,22.62,4006
DLTH,DULUTH HOLDINGS INC,0.0094831674,2017,3,1,611.86308,21.09,4006
DLTH,DULUTH HOLDINGS INC,0.0403945514,2017,4,1,619.04933,21.29,4006
DLTH,DULUTH HOLDINGS INC,-0.118735892,2017,5,1,644.05555,22.15,4006
DLTH,DULUTH HOLDINGS INC,-0.067110656,2017,6,1,567.58304,19.52,4006
DLTH,DULUTH HOLDINGS INC,0.0642504119,2017,7,1,529.7289,18.21,4006
DLTH,DULUTH HOLDINGS INC,0.0108359133,2017,8,1,563.7642,19.38,4006
DLTH,DULUTH HOLDINGS INC,0.0357325166,2017,9,1,569.8731,19.59,4006
DLTH,DULUTH HOLDINGS INC,0.018235584,2017,10,1,590.33755,20.29,4006
DLTH,DULUTH HOLDINGS INC,-0.080832527,2017,11,1,601.1027,20.66,4006
DLTH,DULUTH HOLDINGS INC,-0.060031596,2017,12,1,552.51405,18.99,4006
DLTH,DULUTH HOLDINGS INC,-0.013445378,2018,1,1,519.38145,17.85,4006
DLTH,DULUTH HOLDINGS INC,-0.044860875,2018,2,1,512.39817,17.61,4006
DLTH,DULUTH HOLDINGS INC,0.1135552913,2018,3,1,489.41154,16.82,4006
DLTH,DULUTH HOLDINGS INC,-0.07367859,2018,4,1,547.27187,18.73,4006
DLTH,DULUTH HOLDINGS INC,-0.000576369,2018,5,1,506.6894,17.35,4006
DLTH,DULUTH HOLDINGS INC,0.3719723183,2018,6,1,506.39736,17.34,4006
DLTH,DULUTH HOLDINGS INC,-0.032366541,2018,7,1,695.12001,23.79,4006
DLTH,DULUTH HOLDINGS INC,0.2571676803,2018,8,1,672.62138,23.02,4006
