ticker,conm,ret,year,month,EW,VW,PW,n
DUK,DUKE ENERGY CORP,0.1521197007,2000,1,1,18329.860375,50.125,490
DUK,DUKE ENERGY CORP,-0.150649351,2000,2,1,21118.19325,57.75,490
DUK,DUKE ENERGY CORP,0.0824742268,2000,3,1,17735.6255,48.5,490
DUK,DUKE ENERGY CORP,0.0952380952,2000,4,1,19251.225,52.5,490
DUK,DUKE ENERGY CORP,0.0226086957,2000,5,1,21084.675,57.5,490
DUK,DUKE ENERGY CORP,-0.032188841,2000,6,1,21404.6615,58.25,490
DUK,DUKE ENERGY CORP,0.0942350333,2000,7,1,20715.67025,56.375,490
DUK,DUKE ENERGY CORP,0.2216818642,2000,8,1,22667.812125,61.6875,490
DUK,DUKE ENERGY CORP,0.1461988304,2000,9,1,27535.937625,74.8125,490
DUK,DUKE ENERGY CORP,0.0080174927,2000,10,1,31561.6595,85.75,490
DUK,DUKE ENERGY CORP,0.0468546638,2000,11,1,31814.704875,86.4375,490
DUK,DUKE ENERGY CORP,-0.052119527,2000,12,1,33102.935875,89.9375,490
DUK,DUKE ENERGY CORP,-0.142052786,2001,1,1,31441.0525,85.25,490
DUK,DUKE ENERGY CORP,0.1218211649,2001,2,1,26974.7634,36.57,490
DUK,DUKE ENERGY CORP,0.0488343558,2001,3,1,30058.015,40.75,490
DUK,DUKE ENERGY CORP,0.0940570894,2001,4,1,32665.88282,42.74,490
DUK,DUKE ENERGY CORP,-0.016360137,2001,5,1,35738.34068,46.76,490
DUK,DUKE ENERGY CORP,-0.146762905,2001,6,1,35292.36528,45.72,490
DUK,DUKE ENERGY CORP,-0.010253781,2001,7,1,30112.75524,39.01,490
DUK,DUKE ENERGY CORP,0.0252525253,2001,8,1,29803.98564,38.61,490
DUK,DUKE ENERGY CORP,-0.037140677,2001,9,1,30463.55967,39.31,490
DUK,DUKE ENERGY CORP,0.0147952444,2001,10,1,29332.12245,37.85,490
DUK,DUKE ENERGY CORP,-0.05167925,2001,11,1,29766.09837,38.41,490
DUK,DUKE ENERGY CORP,0.0860304288,2001,12,1,28057.6056,36.15,490
DUK,DUKE ENERGY CORP,-0.111818645,2002,1,1,30471.41344,39.26,490
DUK,DUKE ENERGY CORP,0.0202179524,2002,2,1,27064.17615,34.87,490
DUK,DUKE ENERGY CORP,0.0708215297,2002,3,1,27444.9028,35.3,490
DUK,DUKE ENERGY CORP,0.014021164,2002,4,1,31302.1422,37.8,490
DUK,DUKE ENERGY CORP,-0.157709366,2002,5,1,29828.36767,38.33,490
DUK,DUKE ENERGY CORP,-0.028428616,2002,6,1,26562.18609,32.01,490
DUK,DUKE ENERGY CORP,-0.180385852,2002,7,1,25807.0599,31.1,490
DUK,DUKE ENERGY CORP,0.0633581797,2002,8,1,21151.83141,25.49,490
DUK,DUKE ENERGY CORP,-0.271338054,2002,9,1,22354.2194,26.83,490
DUK,DUKE ENERGY CORP,0.0480818414,2002,10,1,17377.70175,19.55,490
DUK,DUKE ENERGY CORP,-0.02318204,2002,11,1,18213.25365,20.49,490
DUK,DUKE ENERGY CORP,-0.010131712,2002,12,1,17600.02608,19.74,490
DUK,DUKE ENERGY CORP,-0.128454452,2003,1,1,17421.70768,19.54,490
DUK,DUKE ENERGY CORP,-0.190546095,2003,2,1,15183.81176,17.03,490
DUK,DUKE ENERGY CORP,0.0762398224,2003,3,1,12045.40792,13.51,490
DUK,DUKE ENERGY CORP,0.2097661623,2003,4,1,13046.4512,14.54,490
DUK,DUKE ENERGY CORP,0.1173962479,2003,5,1,15783.1552,17.59,490
DUK,DUKE ENERGY CORP,0.0294117647,2003,6,1,17464.24824,19.38,490
DUK,DUKE ENERGY CORP,-0.120300752,2003,7,1,17977.9026,19.95,490
DUK,DUKE ENERGY CORP,-0.011111111,2003,8,1,15815.1474,17.55,490
DUK,DUKE ENERGY CORP,0.0427400468,2003,9,1,15447.22032,17.08,490
DUK,DUKE ENERGY CORP,0.0190903987,2003,10,1,16107.43524,17.81,490
DUK,DUKE ENERGY CORP,0.0090909091,2003,11,1,16462.05,18.15,490
DUK,DUKE ENERGY CORP,0.1335920177,2003,12,1,16362.28,18.04,490
DUK,DUKE ENERGY CORP,0.062591687,2004,1,1,18548.15,20.45,490
DUK,DUKE ENERGY CORP,0.0232397607,2004,2,1,19709.11,21.73,490
DUK,DUKE ENERGY CORP,0.029143898,2004,3,1,19917.72,21.96,490
DUK,DUKE ENERGY CORP,-0.068141593,2004,4,1,20631.2688,22.6,490
DUK,DUKE ENERGY CORP,-0.040123457,2004,5,1,19228.76982,21.06,490
DUK,DUKE ENERGY CORP,0.017552658,2004,6,1,18242.78696,19.94,490
DUK,DUKE ENERGY CORP,0.0596352883,2004,7,1,18562.99636,20.29,490
DUK,DUKE ENERGY CORP,0.0425581395,2004,8,1,20167,21.5,490
DUK,DUKE ENERGY CORP,0.0338753388,2004,9,1,20762.51562,22.14,490
DUK,DUKE ENERGY CORP,0.0716470074,2004,10,1,21465.85287,22.89,490
DUK,DUKE ENERGY CORP,0.0417855687,2004,11,1,23003.81699,24.53,490
DUK,DUKE ENERGY CORP,0.0019778481,2004,12,1,23711.52768,25.28,490
DUK,DUKE ENERGY CORP,0.057639163,2005,1,1,23758.42548,25.33,490
DUK,DUKE ENERGY CORP,0.0177304965,2005,2,1,25127.84124,26.79,490
DUK,DUKE ENERGY CORP,0.0377917747,2005,3,1,25315.43244,26.99,490
DUK,DUKE ENERGY CORP,0.0421278115,2005,4,1,26824.8969,28.01,490
DUK,DUKE ENERGY CORP,-0.049160671,2005,5,1,27962.53131,29.19,490
DUK,DUKE ENERGY CORP,0.0818777293,2005,6,1,25466.07324,27.48,490
DUK,DUKE ENERGY CORP,-0.006390851,2005,7,1,27551.17749,29.73,490
DUK,DUKE ENERGY CORP,-0.008124577,2005,8,1,27375.10202,29.54,490
DUK,DUKE ENERGY CORP,0.0062090376,2005,9,1,26855.87216,28.99,490
DUK,DUKE ENERGY CORP,-0.092218032,2005,10,1,27022.62128,29.17,490
DUK,DUKE ENERGY CORP,0.0260574018,2005,11,1,24530.64832,26.48,490
DUK,DUKE ENERGY CORP,0.0219657483,2005,12,1,24914.44962,26.86,490
DUK,DUKE ENERGY CORP,0.0327868852,2006,1,1,25461.71415,27.45,490
DUK,DUKE ENERGY CORP,0.0126984127,2006,2,1,26296.52445,28.35,490
DUK,DUKE ENERGY CORP,0.0264084507,2006,3,1,26353.8936,28.4,490
DUK,DUKE ENERGY CORP,-0.00102916,2006,4,1,27056.59275,29.15,490
DUK,DUKE ENERGY CORP,-0.020260989,2006,5,1,36105.56768,29.12,490
DUK,DUKE ENERGY CORP,0.0407512403,2006,6,1,34989.66758,28.22,490
