ticker,conm,ret,year,month,EW,VW,PW,n
DZA.1,DELHAIZE AMERICA INC,-0.116923077,2000,1,1,1623.578125,20.3125,610
DZA.1,DELHAIZE AMERICA INC,-0.072094774,2000,2,1,1433.744375,17.9375,610
DZA.1,DELHAIZE AMERICA INC,0.0909090909,2000,3,1,1318.845,16.5,610
DZA.1,DELHAIZE AMERICA INC,-0.009344444,2000,4,1,1438.74,18,610
DZA.1,DELHAIZE AMERICA INC,0.0459363958,2000,5,1,1413.79725,17.6875,610
DZA.1,DELHAIZE AMERICA INC,-0.043918919,2000,6,1,1478.9825,18.5,610
DZA.1,DELHAIZE AMERICA INC,-0.051912367,2000,7,1,1414.0271875,17.6875,610
DZA.1,DELHAIZE AMERICA INC,-0.097744361,2000,8,1,1329.085625,16.625,610
DZA.1,DELHAIZE AMERICA INC,0.1625,2000,9,1,1199.175,15,610
DZA.1,DELHAIZE AMERICA INC,-0.016814337,2000,10,1,1394.0409375,17.4375,610
DZA.1,DELHAIZE AMERICA INC,-0.007352941,2000,11,1,1359.065,17,610
DZA.1,DELHAIZE AMERICA INC,0.0481481481,2000,12,1,1349.071875,16.875,610
DZA.1,DELHAIZE AMERICA INC,0.1058657244,2001,1,1,1414.0271875,17.6875,610
DZA.1,DELHAIZE AMERICA INC,0.1124079755,2001,2,1,2069.8392,19.56,610
DZA.1,DELHAIZE AMERICA INC,-0.053240741,2001,3,1,2285.712,21.6,610
DZA.1,DELHAIZE AMERICA INC,-0.023471883,2001,4,1,2164.019,20.45,610
DZA.1,DELHAIZE AMERICA INC,0,2001,5,1,2120.71415,19.97,610
