ticker,conm,ret,year,month,EW,VW,PW,n
ECOL,US ECOLOGY INC,0.3333333333,2000,1,1,23.0326875,1.6875,67
ECOL,US ECOLOGY INC,-0.055555556,2000,2,1,30.71025,2.25,67
ECOL,US ECOLOGY INC,0,2000,3,1,29.004125,2.125,67
ECOL,US ECOLOGY INC,0.7352941176,2000,4,1,29.004125,2.125,67
ECOL,US ECOLOGY INC,-0.050847458,2000,5,1,50.5335,3.6875,67
ECOL,US ECOLOGY INC,-0.071428571,2000,6,1,47.964,3.5,67
ECOL,US ECOLOGY INC,0.0769230769,2000,7,1,44.538,3.25,67
ECOL,US ECOLOGY INC,-0.178571429,2000,8,1,47.964,3.5,67
ECOL,US ECOLOGY INC,-0.108695652,2000,9,1,39.41625,2.875,67
ECOL,US ECOLOGY INC,0.0731707317,2000,10,1,35.131875,2.5625,67
ECOL,US ECOLOGY INC,-0.136363636,2000,11,1,37.7025,2.75,67
ECOL,US ECOLOGY INC,-0.105263158,2000,12,1,32.56125,2.375,67
ECOL,US ECOLOGY INC,0.1176470588,2001,1,1,29.13375,2.125,67
ECOL,US ECOLOGY INC,0.2105263158,2001,2,1,32.56125,2.375,67
ECOL,US ECOLOGY INC,-0.130434783,2001,3,1,39.41625,2.875,67
ECOL,US ECOLOGY INC,0,2001,4,1,34.325,2.5,67
ECOL,US ECOLOGY INC,0.004,2001,5,1,34.325,2.5,67
ECOL,US ECOLOGY INC,-0.051792829,2001,6,1,34.52505,2.51,67
ECOL,US ECOLOGY INC,0.218487395,2001,7,1,32.7369,2.38,67
ECOL,US ECOLOGY INC,-0.289655172,2001,8,1,39.8895,2.9,67
ECOL,US ECOLOGY INC,-0.004854369,2001,9,1,28.26526,2.06,67
ECOL,US ECOLOGY INC,-0.073170732,2001,10,1,28.12805,2.05,67
ECOL,US ECOLOGY INC,-0.047368421,2001,11,1,26.0699,1.9,67
ECOL,US ECOLOGY INC,-0.033149171,2001,12,1,24.83501,1.81,67
ECOL,US ECOLOGY INC,-0.085714286,2002,1,1,24.0485,1.75,67
ECOL,US ECOLOGY INC,0.1625,2002,2,1,21.9872,1.6,67
ECOL,US ECOLOGY INC,-0.016129032,2002,3,1,25.56012,1.86,67
ECOL,US ECOLOGY INC,0.8633879781,2002,4,1,25.14786,1.83,67
ECOL,US ECOLOGY INC,0.1459530792,2002,5,1,49.11764,3.41,67
ECOL,US ECOLOGY INC,0.1643677867,2002,6,1,56.2865108,3.9077,67
ECOL,US ECOLOGY INC,-0.483516484,2002,7,1,65.5382,4.55,67
ECOL,US ECOLOGY INC,0.2595744681,2002,8,1,33.8494,2.35,67
ECOL,US ECOLOGY INC,-0.199324324,2002,9,1,42.69208,2.96,67
ECOL,US ECOLOGY INC,0.2447257384,2002,10,1,34.18251,2.37,67
ECOL,US ECOLOGY INC,-0.111864407,2002,11,1,42.54785,2.95,67
ECOL,US ECOLOGY INC,0.0648854962,2002,12,1,38.06598,2.62,67
ECOL,US ECOLOGY INC,0.0591397849,2003,1,1,40.53591,2.79,67
ECOL,US ECOLOGY INC,0.0152284264,2003,2,1,42.933195,2.955,67
ECOL,US ECOLOGY INC,-0.033333333,2003,3,1,43.641,3,67
ECOL,US ECOLOGY INC,-0.086206897,2003,4,1,42.1863,2.9,67
ECOL,US ECOLOGY INC,0.0377358491,2003,5,1,44.94665,2.65,67
