ticker,conm,ret,year,month,EW,VW,PW,n
EFU.1,EASTERN ENTERPRISES,-0.004352557,2000,1,1,1551.96125,57.4375,507
EFU.1,EASTERN ENTERPRISES,0.0120218579,2000,2,1,1545.20625,57.1875,507
EFU.1,EASTERN ENTERPRISES,0.041987041,2000,3,1,1563.7825,57.875,507
EFU.1,EASTERN ENTERPRISES,0.0167014614,2000,4,1,1625.426625,59.875,507
EFU.1,EASTERN ENTERPRISES,0.0142453799,2000,5,1,1652.573625,60.875,507
EFU.1,EASTERN ENTERPRISES,0.0273364545,2000,6,1,1676.1151641,61.7421875,507
EFU.1,EASTERN ENTERPRISES,-0.005952381,2000,7,1,1710.261,63,507
EFU.1,EASTERN ENTERPRISES,0.0168463074,2000,8,1,1700.6445,62.625,507
EFU.1,EASTERN ENTERPRISES,0.0088932806,2000,9,1,1717.617,63.25,507
EFU.1,EASTERN ENTERPRISES,0.0088148874,2000,10,1,1732.89225,63.8125,507
EFU.1,EASTERN ENTERPRISES,0.0038834951,2000,11,1,1748.1675,64.375,507
EFU.1,EASTERN ENTERPRISES,0,2000,12,1,1754.9565,64.625,507
