ticker,conm,ret,year,month,EW,VW,PW,n
EGRX,EAGLE PHARMACEUTICALS INC,,2014,2,1,,,2912
EGRX,EAGLE PHARMACEUTICALS INC,-0.073401163,2014,3,1,191.52544,13.76,2912
EGRX,EAGLE PHARMACEUTICALS INC,-0.226666667,2014,4,1,177.46725,12.75,2912
EGRX,EAGLE PHARMACEUTICALS INC,0.2018255578,2014,5,1,137.24134,9.86,2912
EGRX,EAGLE PHARMACEUTICALS INC,0.2092827004,2014,6,1,166.137,11.85,2912
EGRX,EAGLE PHARMACEUTICALS INC,-0.206908583,2014,7,1,200.9066,14.33,2912
EGRX,EAGLE PHARMACEUTICALS INC,0.10866696,2014,8,1,159.3373,11.365,2912
EGRX,EAGLE PHARMACEUTICALS INC,0.003968254,2014,9,1,176.652,12.6,2912
EGRX,EAGLE PHARMACEUTICALS INC,0.0015810277,2014,10,1,177.353,12.65,2912
EGRX,EAGLE PHARMACEUTICALS INC,-0.004735596,2014,11,1,177.6334,12.67,2912
EGRX,EAGLE PHARMACEUTICALS INC,0.2291831879,2014,12,1,176.7922,12.61,2912
EGRX,EAGLE PHARMACEUTICALS INC,0.2522580645,2015,1,1,217.496,15.5,2912
EGRX,EAGLE PHARMACEUTICALS INC,0.7516743946,2015,2,1,272.36112,19.41,2912
EGRX,EAGLE PHARMACEUTICALS INC,0.2320588235,2015,3,1,477.258,34,2912
EGRX,EAGLE PHARMACEUTICALS INC,0.2580568155,2015,4,1,637.85903,41.89,2912
EGRX,EAGLE PHARMACEUTICALS INC,0.3781783681,2015,5,1,802.4629,52.7,2912
EGRX,EAGLE PHARMACEUTICALS INC,0.1133140576,2015,6,1,1128.59757,72.63,2912
EGRX,EAGLE PHARMACEUTICALS INC,0.1949047737,2015,7,1,1258.50504,80.86,2912
EGRX,EAGLE PHARMACEUTICALS INC,-0.187021321,2015,8,1,1503.79368,96.62,2912
EGRX,EAGLE PHARMACEUTICALS INC,-0.057542966,2015,9,1,1224.5945,78.55,2912
EGRX,EAGLE PHARMACEUTICALS INC,-0.139402945,2015,10,1,1154.1277,74.03,2912
EGRX,EAGLE PHARMACEUTICALS INC,0.438392717,2015,11,1,993.2389,63.71,2912
EGRX,EAGLE PHARMACEUTICALS INC,-0.032409428,2015,12,1,1428.6676,91.64,2912
EGRX,EAGLE PHARMACEUTICALS INC,-0.189128228,2016,1,1,1382.3653,88.67,2912
EGRX,EAGLE PHARMACEUTICALS INC,-0.118358832,2016,2,1,1120.921,71.9,2912
EGRX,EAGLE PHARMACEUTICALS INC,-0.361097965,2016,3,1,991.16604,63.39,2912
EGRX,EAGLE PHARMACEUTICALS INC,-0.065185185,2016,4,1,633.258,40.5,2912
EGRX,EAGLE PHARMACEUTICALS INC,0.2554146857,2016,5,1,591.97896,37.86,2912
EGRX,EAGLE PHARMACEUTICALS INC,-0.183883863,2016,6,1,743.17908,47.53,2912
EGRX,EAGLE PHARMACEUTICALS INC,0.1121423047,2016,7,1,606.52044,38.79,2912
EGRX,EAGLE PHARMACEUTICALS INC,0.3850254984,2016,8,1,674.53704,43.14,2912
EGRX,EAGLE PHARMACEUTICALS INC,0.1715481172,2016,9,1,934.251,59.75,2912
EGRX,EAGLE PHARMACEUTICALS INC,-0.201714286,2016,10,1,1094.52,70,2912
EGRX,EAGLE PHARMACEUTICALS INC,0.413027917,2016,11,1,873.73968,55.88,2912
