ticker,conm,ret,year,month,EW,VW,PW,n
EGY.1,COLUMBUS ENERGY CORP,-0.02173913,2000,1,1,21.95925,5.75,2943
EGY.1,COLUMBUS ENERGY CORP,0,2000,2,1,21.481875,5.625,2943
EGY.1,COLUMBUS ENERGY CORP,0,2000,3,1,21.16125,5.625,2943
EGY.1,COLUMBUS ENERGY CORP,0,2000,4,1,21.16125,5.625,2943
EGY.1,COLUMBUS ENERGY CORP,0.2444444444,2000,5,1,21.06,5.625,2943
EGY.1,COLUMBUS ENERGY CORP,0,2000,6,1,26.208,7,2943
EGY.1,COLUMBUS ENERGY CORP,-0.089285714,2000,7,1,26.208,7,2943
EGY.1,COLUMBUS ENERGY CORP,-0.058823529,2000,8,1,23.919,6.375,2943
EGY.1,COLUMBUS ENERGY CORP,0.2291666667,2000,9,1,22.512,6,2943
EGY.1,COLUMBUS ENERGY CORP,-0.016949153,2000,10,1,27.671,7.375,2943
EGY.1,COLUMBUS ENERGY CORP,0.1379310345,2000,11,1,27.26725,7.25,2943
EGY.1,COLUMBUS ENERGY CORP,0.4442045455,2000,12,1,31.02825,8.25,2943
EGY.1,COLUMBUS ENERGY CORP,0,2001,1,1,44.661875,11.875,2943
