ticker,conm,ret,year,month,EW,VW,PW,n
ENV,ENVESTNET INC,,2010,7,1,,,10139
ENV,ENVESTNET INC,0.0164015905,2010,8,1,262.4654,10.06,10139
ENV,ENVESTNET INC,0.0229828851,2010,9,1,314.878875,10.225,10139
ENV,ENVESTNET INC,0.2629063098,2010,10,1,327.75364,10.46,10139
ENV,ENVESTNET INC,0.1044663134,2010,11,1,413.92214,13.21,10139
ENV,ENVESTNET INC,0.169294037,2010,12,1,457.64453,14.59,10139
ENV,ENVESTNET INC,-0.164712778,2011,1,1,535.12102,17.06,10139
ENV,ENVESTNET INC,-0.119298246,2011,2,1,446.97975,14.25,10139
ENV,ENVESTNET INC,0.0709163347,2011,3,1,393.68095,12.55,10139
ENV,ENVESTNET INC,-0.014136905,2011,4,1,422.45952,13.44,10139
ENV,ENVESTNET INC,0.12,2011,5,1,419.00475,13.25,10139
ENV,ENVESTNET INC,0.0006738544,2011,6,1,469.58212,14.84,10139
ENV,ENVESTNET INC,-0.045117845,2011,7,1,469.89855,14.85,10139
ENV,ENVESTNET INC,-0.166431594,2011,8,1,448.69774,14.18,10139
ENV,ENVESTNET INC,-0.153976311,2011,9,1,375.21408,11.82,10139
ENV,ENVESTNET INC,0.164,2011,10,1,317.44,10,10139
ENV,ENVESTNET INC,-0.103092784,2011,11,1,369.50016,11.64,10139
ENV,ENVESTNET INC,0.1455938697,2011,12,1,332.00244,10.44,10139
ENV,ENVESTNET INC,-0.037625418,2012,1,1,380.33996,11.96,10139
ENV,ENVESTNET INC,0.0816681147,2012,2,1,366.02951,11.51,10139
ENV,ENVESTNET INC,0.00562249,2012,3,1,396.04695,12.45,10139
ENV,ENVESTNET INC,-0.000798722,2012,4,1,399.02492,12.52,10139
ENV,ENVESTNET INC,-0.051958433,2012,5,1,400.21992,12.51,10139
ENV,ENVESTNET INC,0.0118043845,2012,6,1,382.17664,11.86,10139
ENV,ENVESTNET INC,0.0175,2012,7,1,386.688,12,10139
ENV,ENVESTNET INC,-0.054873055,2012,8,1,393.45504,12.21,10139
ENV,ENVESTNET INC,0.013864818,2012,9,1,372.52274,11.54,10139
ENV,ENVESTNET INC,0.1948717949,2012,10,1,377.6877,11.7,10139
ENV,ENVESTNET INC,-0.005722461,2012,11,1,451.28838,13.98,10139
ENV,ENVESTNET INC,0.0035971223,2012,12,1,449.4982,13.9,10139
ENV,ENVESTNET INC,-0.002867384,2013,1,1,451.1151,13.95,10139
ENV,ENVESTNET INC,0.1028037383,2013,2,1,449.82158,13.91,10139
ENV,ENVESTNET INC,0.1414602347,2013,3,1,496.06492,15.34,10139
ENV,ENVESTNET INC,0.0405482581,2013,4,1,566.23838,17.51,10139
ENV,ENVESTNET INC,0.2612513721,2013,5,1,589.19836,18.22,10139
ENV,ENVESTNET INC,0.0704960836,2013,6,1,743.12724,22.98,10139
ENV,ENVESTNET INC,0.0117886179,2013,7,1,797.3352,24.6,10139
ENV,ENVESTNET INC,0.1100843712,2013,8,1,806.73468,24.89,10139
ENV,ENVESTNET INC,0.1219688744,2013,9,1,923.03541,27.63,10139
ENV,ENVESTNET INC,0.1709677419,2013,10,1,1035.617,31,10139
ENV,ENVESTNET INC,0.0950413223,2013,11,1,1225.4517,36.3,10139
ENV,ENVESTNET INC,0.013836478,2013,12,1,1343.55,39.75,10139
ENV,ENVESTNET INC,0.0607940447,2014,1,1,1362.14,40.3,10139
ENV,ENVESTNET INC,-0.02128655,2014,2,1,1444.95,42.75,10139
ENV,ENVESTNET INC,-0.039674952,2014,3,1,1414.192,41.84,10139
ENV,ENVESTNET INC,-0.082877053,2014,4,1,1366.88342,40.18,10139
ENV,ENVESTNET INC,0.1001356852,2014,5,1,1254.7425,36.85,10139
ENV,ENVESTNET INC,0.2067094228,2014,6,1,1380.387,40.54,10139
