ticker,conm,ret,year,month,EW,VW,PW,n
ENZ,ENZO BIOCHEM INC,0.8722826087,2000,1,1,1154.6,46,542
ENZ,ENZO BIOCHEM INC,-0.079825835,2000,2,1,2161.7375,86.125,542
ENZ,ENZO BIOCHEM INC,-0.123028391,2000,3,1,1989.175,79.25,542
ENZ,ENZO BIOCHEM INC,-0.410071942,2000,4,1,1759.74,69.5,542
ENZ,ENZO BIOCHEM INC,-0.140243902,2000,5,1,1038.12,41,542
ENZ,ENZO BIOCHEM INC,0.9574468085,2000,6,1,892.53,35.25,542
ENZ,ENZO BIOCHEM INC,-0.227355072,2000,7,1,1760.466,69,542
ENZ,ENZO BIOCHEM INC,0.1254396249,2000,8,1,1360.215125,53.3125,542
ENZ,ENZO BIOCHEM INC,-0.191666667,2000,9,1,1530.84,60,542
ENZ,ENZO BIOCHEM INC,-0.206185567,2000,10,1,1237.429,48.5,542
ENZ,ENZO BIOCHEM INC,-0.25974026,2000,11,1,987.8715,38.5,542
ENZ,ENZO BIOCHEM INC,-0.127192982,2000,12,1,731.2815,28.5,542
ENZ,ENZO BIOCHEM INC,0.0086432161,2001,1,1,638.964125,24.875,542
ENZ,ENZO BIOCHEM INC,-0.192307692,2001,2,1,644.48683,25.09,542
ENZ,ENZO BIOCHEM INC,-0.130051813,2001,3,1,520.5403,19.3,542
ENZ,ENZO BIOCHEM INC,0.3222156045,2001,4,1,431.38547,16.79,542
ENZ,ENZO BIOCHEM INC,0.3279279279,2001,5,1,570.3846,22.2,542
ENZ,ENZO BIOCHEM INC,0.1533242877,2001,6,1,757.42964,29.48,542
ENZ,ENZO BIOCHEM INC,-0.259705882,2001,7,1,917.388,34,542
ENZ,ENZO BIOCHEM INC,0.0325784664,2001,8,1,679.13694,25.17,542
ENZ,ENZO BIOCHEM INC,-0.347441324,2001,9,1,701.26218,25.99,542
ENZ,ENZO BIOCHEM INC,0.2099056604,2001,10,1,457.61472,16.96,542
ENZ,ENZO BIOCHEM INC,0.0906432749,2001,11,1,555.72264,20.52,542
ENZ,ENZO BIOCHEM INC,0.0500446828,2001,12,1,605.73708,22.38,542
ENZ,ENZO BIOCHEM INC,-0.026404255,2002,1,1,636.4975,23.5,542
ENZ,ENZO BIOCHEM INC,-0.165672327,2002,2,1,619.68581,21.79,542
ENZ,ENZO BIOCHEM INC,0.1144114411,2002,3,1,517.02102,18.18,542
ENZ,ENZO BIOCHEM INC,-0.106614018,2002,4,1,576.11336,20.26,542
ENZ,ENZO BIOCHEM INC,0.0110497238,2002,5,1,514.6916,18.1,542
ENZ,ENZO BIOCHEM INC,-0.216939891,2002,6,1,520.3788,18.3,542
ENZ,ENZO BIOCHEM INC,-0.076762038,2002,7,1,407.6885,14.33,542
ENZ,ENZO BIOCHEM INC,-0.037037037,2002,8,1,376.3935,13.23,542
ENZ,ENZO BIOCHEM INC,0.1224489796,2002,9,1,362.453,12.74,542
ENZ,ENZO BIOCHEM INC,0.0181818182,2002,10,1,406.835,14.3,542
ENZ,ENZO BIOCHEM INC,-0.004120879,2002,11,1,414.232,14.56,542
ENZ,ENZO BIOCHEM INC,-0.034482759,2002,12,1,412.67,14.5,542
ENZ,ENZO BIOCHEM INC,-0.070714286,2003,1,1,398.524,14,542
ENZ,ENZO BIOCHEM INC,-0.049961568,2003,2,1,370.34266,13.01,542
ENZ,ENZO BIOCHEM INC,0.0574433657,2003,3,1,351.83976,12.36,542
ENZ,ENZO BIOCHEM INC,0.1453710788,2003,4,1,372.05062,13.07,542
ENZ,ENZO BIOCHEM INC,0.6980627923,2003,5,1,426.13602,14.97,542
ENZ,ENZO BIOCHEM INC,-0.111093627,2003,6,1,723.60572,25.42,542
ENZ,ENZO BIOCHEM INC,-0.036710037,2003,7,1,643.42648,21.52,542
ENZ,ENZO BIOCHEM INC,-0.141341052,2003,8,1,619.80627,20.73,542
ENZ,ENZO BIOCHEM INC,0.0960674157,2003,9,1,532.2022,17.8,542
ENZ,ENZO BIOCHEM INC,-0.051768324,2003,10,1,583.32949,19.51,542
ENZ,ENZO BIOCHEM INC,-0.002702703,2003,11,1,555.1295,18.5,542
ENZ,ENZO BIOCHEM INC,-0.029268293,2003,12,1,553.62915,18.45,542
ENZ,ENZO BIOCHEM INC,0.0887772194,2004,1,1,537.94476,17.91,542
ENZ,ENZO BIOCHEM INC,-0.082564103,2004,2,1,585.702,19.5,542
ENZ,ENZO BIOCHEM INC,-0.059250978,2004,3,1,537.34404,17.89,542
ENZ,ENZO BIOCHEM INC,-0.135472371,2004,4,1,505.50588,16.83,542
ENZ,ENZO BIOCHEM INC,-0.081786942,2004,5,1,437.0238,14.55,542
ENZ,ENZO BIOCHEM INC,0.122754491,2004,6,1,401.28096,13.36,542
ENZ,ENZO BIOCHEM INC,-0.090666667,2004,7,1,462.615,15,542
ENZ,ENZO BIOCHEM INC,0.0117302053,2004,8,1,420.67124,13.64,542
ENZ,ENZO BIOCHEM INC,0.0869565217,2004,9,1,425.6058,13.8,542
ENZ,ENZO BIOCHEM INC,0.2383,2004,10,1,462.615,15,542
ENZ,ENZO BIOCHEM INC,0.0881854155,2004,11,1,573.29752,17.69,542
ENZ,ENZO BIOCHEM INC,0.0114285714,2004,12,1,623.60375,19.25,542
ENZ,ENZO BIOCHEM INC,-0.068823832,2005,1,1,631.19793,19.47,542
ENZ,ENZO BIOCHEM INC,-0.102592388,2005,2,1,587.75647,18.13,542
ENZ,ENZO BIOCHEM INC,-0.113706208,2005,3,1,527.45713,16.27,542
ENZ,ENZO BIOCHEM INC,-0.055478502,2005,4,1,462.79548,14.42,542
ENZ,ENZO BIOCHEM INC,0.1211453744,2005,5,1,437.12028,13.62,542
ENZ,ENZO BIOCHEM INC,0.1741977734,2005,6,1,490.07538,15.27,542
ENZ,ENZO BIOCHEM INC,-0.064138316,2005,7,1,576.21641,17.93,542
ENZ,ENZO BIOCHEM INC,-0.05601907,2005,8,1,539.25886,16.78,542
ENZ,ENZO BIOCHEM INC,-0.03030303,2005,9,1,509.05008,15.84,542
ENZ,ENZO BIOCHEM INC,-0.111979167,2005,10,1,493.62432,15.36,542
ENZ,ENZO BIOCHEM INC,0,2005,11,1,438.41688,13.64,542
ENZ,ENZO BIOCHEM INC,-0.089442815,2005,12,1,440.49016,13.64,542
