ticker,conm,ret,year,month,EW,VW,PW,n
EOLS,EVOLUS INC,,2018,2,1,,,5176
EOLS,EVOLUS INC,-0.253101737,2018,3,1,285.23937,12.09,5176
EOLS,EVOLUS INC,-0.241417497,2018,4,1,213.4692,9.03,5176
EOLS,EVOLUS INC,2.5766423358,2018,5,1,161.934,6.85,5176
EOLS,EVOLUS INC,0.1424489796,2018,6,1,579.18,24.5,5176
EOLS,EVOLUS INC,-0.297606288,2018,7,1,661.6836,27.99,5176
EOLS,EVOLUS INC,0.3016276704,2018,8,1,523.7424,19.66,5176
EOLS,EVOLUS INC,-0.27237202,2018,9,1,682.61325,25.59,5176
EOLS,EVOLUS INC,-0.204081633,2018,10,1,496.6885,18.62,5176
EOLS,EVOLUS INC,0.0094466937,2018,11,1,395.3235,14.82,5176
EOLS,EVOLUS INC,-0.204545455,2018,12,1,408.034,14.96,5176
EOLS,EVOLUS INC,0.3739495798,2019,1,1,324.5725,11.9,5176
EOLS,EVOLUS INC,0.6171253823,2019,2,1,445.94625,16.35,5176
EOLS,EVOLUS INC,-0.146369138,2019,3,1,721.151,26.44,5176
EOLS,EVOLUS INC,0.080194949,2019,4,1,615.59675,22.57,5176
EOLS,EVOLUS INC,-0.44216571,2019,5,1,665.23268,24.38,5176
EOLS,EVOLUS INC,0.075,2019,6,1,372.2728,13.6,5176
EOLS,EVOLUS INC,0.2140902873,2019,7,1,400.19326,14.62,5176
EOLS,EVOLUS INC,-0.028732394,2019,8,1,485.87075,17.75,5176
EOLS,EVOLUS INC,-0.093967517,2019,9,1,472.78976,17.24,5176
EOLS,EVOLUS INC,0.0211267606,2019,10,1,428.36288,15.62,5176
EOLS,EVOLUS INC,-0.122884013,2019,11,1,437.4128,15.95,5176
EOLS,EVOLUS INC,-0.130092924,2019,12,1,467.61575,13.99,5176
EOLS,EVOLUS INC,-0.159408381,2020,1,1,406.78225,12.17,5176
EOLS,EVOLUS INC,-0.160312805,2020,2,1,341.93775,10.23,5176
EOLS,EVOLUS INC,-0.516880093,2020,3,1,289.72352,8.59,5176
EOLS,EVOLUS INC,0.0024096386,2020,4,1,139.9712,4.15,5176
EOLS,EVOLUS INC,0.0985576923,2020,5,1,140.30848,4.16,5176
EOLS,EVOLUS INC,0.1597374179,2020,6,1,154.13696,4.57,5176
EOLS,EVOLUS INC,-0.38490566,2020,7,1,178.7584,5.3,5176
EOLS,EVOLUS INC,0.1840490798,2020,8,1,109.95328,3.26,5176
EOLS,EVOLUS INC,0.0129533679,2020,9,1,130.26728,3.86,5176
EOLS,EVOLUS INC,-0.225063939,2020,10,1,131.95468,3.91,5176
EOLS,EVOLUS INC,0.2310231023,2020,11,1,102.25947,3.03,5176
EOLS,EVOLUS INC,-0.09919571,2020,12,1,125.88377,3.73,5176
