ticker,conm,ret,year,month,EW,VW,PW,n
EPHC,EPOCH HOLDING CORP,0.2330827068,2000,1,1,71.6288125,8.3125,822
EPHC,EPOCH HOLDING CORP,0.1646341463,2000,2,1,88.32425,10.25,822
EPHC,EPOCH HOLDING CORP,0.3926701571,2000,3,1,102.686375,11.9375,822
EPHC,EPOCH HOLDING CORP,-0.34962406,2000,4,1,143.00825,16.625,822
EPHC,EPOCH HOLDING CORP,0.0693641618,2000,5,1,93.009125,10.8125,822
EPHC,EPOCH HOLDING CORP,0.0918918919,2000,6,1,101.4609375,11.5625,822
EPHC,EPOCH HOLDING CORP,-0.202970297,2000,7,1,110.784375,12.625,822
EPHC,EPOCH HOLDING CORP,0.0372670807,2000,8,1,88.2984375,10.0625,822
EPHC,EPOCH HOLDING CORP,-0.095808383,2000,9,1,91.5890625,10.4375,822
EPHC,EPOCH HOLDING CORP,-0.258278146,2000,10,1,82.8140625,9.4375,822
EPHC,EPOCH HOLDING CORP,-0.098214286,2000,11,1,62.825,7,822
EPHC,EPOCH HOLDING CORP,-0.207920792,2000,12,1,56.6546875,6.3125,822
EPHC,EPOCH HOLDING CORP,0.202,2001,1,1,44.875,5,822
EPHC,EPOCH HOLDING CORP,-0.084858569,2001,2,1,53.93975,6.01,822
EPHC,EPOCH HOLDING CORP,-0.072727273,2001,3,1,48.7795,5.5,822
EPHC,EPOCH HOLDING CORP,-0.239215686,2001,4,1,45.2319,5.1,822
EPHC,EPOCH HOLDING CORP,0.1340206186,2001,5,1,34.41172,3.88,822
EPHC,EPOCH HOLDING CORP,-0.084090909,2001,6,1,37.51,4.4,822
EPHC,EPOCH HOLDING CORP,0.1290322581,2001,7,1,34.35575,4.03,822
EPHC,EPOCH HOLDING CORP,-0.153846154,2001,8,1,38.78875,4.55,822
EPHC,EPOCH HOLDING CORP,0.038961039,2001,9,1,32.82125,3.85,822
EPHC,EPOCH HOLDING CORP,-0.3625,2001,10,1,34.1,4,822
EPHC,EPOCH HOLDING CORP,-0.168627451,2001,11,1,21.73875,2.55,822
EPHC,EPOCH HOLDING CORP,0.2216981132,2001,12,1,18.073,2.12,822
EPHC,EPOCH HOLDING CORP,-0.023166023,2002,1,1,22.07975,2.59,822
EPHC,EPOCH HOLDING CORP,-0.359683794,2002,2,1,21.56825,2.53,822
EPHC,EPOCH HOLDING CORP,0.3580246914,2002,3,1,13.8105,1.62,822
EPHC,EPOCH HOLDING CORP,-0.477272727,2002,4,1,18.755,2.2,822
EPHC,EPOCH HOLDING CORP,-0.417391304,2002,5,1,9.80375,1.15,822
EPHC,EPOCH HOLDING CORP,0.1940298507,2002,6,1,5.71175,0.67,822
EPHC,EPOCH HOLDING CORP,-0.125,2002,7,1,6.82,0.8,822
EPHC,EPOCH HOLDING CORP,0.0714285714,2002,8,1,5.9675,0.7,822
EPHC,EPOCH HOLDING CORP,-0.146666667,2002,9,1,6.39375,0.75,822
EPHC,EPOCH HOLDING CORP,-0.25,2002,10,1,5.456,0.64,822
EPHC,EPOCH HOLDING CORP,0.25,2002,11,1,4.092,0.48,822
EPHC,EPOCH HOLDING CORP,0.25,2002,12,1,5.115,0.6,822
EPHC,EPOCH HOLDING CORP,0.2933333333,2003,1,1,6.39375,0.75,822
