ticker,conm,ret,year,month,EW,VW,PW,n
EPN.P,GULFTERRA ENERGY PARTNERS-LP,0.0755555556,2000,1,1,4.910625,16.875,4201
EPN.P,GULFTERRA ENERGY PARTNERS-LP,-0.020979021,2000,2,1,5.201625,17.875,4201
EPN.P,GULFTERRA ENERGY PARTNERS-LP,-0.035714286,2000,3,1,5.0925,17.5,4201
EPN.P,GULFTERRA ENERGY PARTNERS-LP,0.2014814815,2000,4,1,4.910625,16.875,4201
EPN.P,GULFTERRA ENERGY PARTNERS-LP,0.15,2000,5,1,5.8,20,4201
EPN.P,GULFTERRA ENERGY PARTNERS-LP,0.0760869565,2000,6,1,6.67,23,4201
EPN.P,GULFTERRA ENERGY PARTNERS-LP,-0.067171717,2000,7,1,7.1775,24.75,4201
EPN.P,GULFTERRA ENERGY PARTNERS-LP,0,2000,8,1,6.615625,22.8125,4201
EPN.P,GULFTERRA ENERGY PARTNERS-LP,0,2000,9,1,6.615625,22.8125,4201
EPN.P,GULFTERRA ENERGY PARTNERS-LP,,2000,10,1,,,4201
