ticker,conm,ret,year,month,EW,VW,PW,n
FFCH,FIRST FINANCIAL HOLDINGS-OLD,-0.09375,2000,1,1,213.44,16,2421
FFCH,FIRST FINANCIAL HOLDINGS-OLD,0.0613793103,2000,2,1,193.662,14.5,2421
FFCH,FIRST FINANCIAL HOLDINGS-OLD,-0.073770492,2000,3,1,203.84675,15.25,2421
FFCH,FIRST FINANCIAL HOLDINGS-OLD,-0.03539823,2000,4,1,188.808875,14.125,2421
FFCH,FIRST FINANCIAL HOLDINGS-OLD,0.1570642202,2000,5,1,182.125375,13.625,2421
FFCH,FIRST FINANCIAL HOLDINGS-OLD,-0.12,2000,6,1,208.859375,15.625,2421
FFCH,FIRST FINANCIAL HOLDINGS-OLD,0.0136363636,2000,7,1,183.79625,13.75,2421
FFCH,FIRST FINANCIAL HOLDINGS-OLD,0.0548878924,2000,8,1,186.3025625,13.9375,2421
FFCH,FIRST FINANCIAL HOLDINGS-OLD,0.0515021459,2000,9,1,194.6569375,14.5625,2421
FFCH,FIRST FINANCIAL HOLDINGS-OLD,0.1020408163,2000,10,1,204.054375,15.3125,2421
FFCH,FIRST FINANCIAL HOLDINGS-OLD,-0.001925926,2000,11,1,224.87625,16.875,2421
FFCH,FIRST FINANCIAL HOLDINGS-OLD,0.1797752809,2000,12,1,222.377625,16.6875,2421
FFCH,FIRST FINANCIAL HOLDINGS-OLD,0.0666666667,2001,1,1,262.355625,19.6875,2421
FFCH,FIRST FINANCIAL HOLDINGS-OLD,0.0044047619,2001,2,1,279.846,21,2421
FFCH,FIRST FINANCIAL HOLDINGS-OLD,-0.044776119,2001,3,1,279.013125,20.9375,2421
FFCH,FIRST FINANCIAL HOLDINGS-OLD,0.0075,2001,4,1,266.64,20,2421
FFCH,FIRST FINANCIAL HOLDINGS-OLD,-0.012655087,2001,5,1,268.6398,20.15,2421
FFCH,FIRST FINANCIAL HOLDINGS-OLD,0.1651469098,2001,6,1,263.60796,19.74,2421
FFCH,FIRST FINANCIAL HOLDINGS-OLD,0.0391304348,2001,7,1,307.142,23,2421
FFCH,FIRST FINANCIAL HOLDINGS-OLD,-0.019037657,2001,8,1,319.1606,23.9,2421
FFCH,FIRST FINANCIAL HOLDINGS-OLD,-0.01459854,2001,9,1,312.15587,23.29,2421
FFCH,FIRST FINANCIAL HOLDINGS-OLD,0.0823529412,2001,10,1,307.59885,22.95,2421
