ticker,conm,ret,year,month,EW,VW,PW,n
FFHS,FIRST FRANKLIN CORP,-0.180555556,2000,1,1,22.032,13.5,2423
FFHS,FIRST FRANKLIN CORP,-0.197740113,2000,2,1,18.054,11.0625,2423
FFHS,FIRST FRANKLIN CORP,-0.04084507,2000,3,1,14.484,8.875,2423
FFHS,FIRST FRANKLIN CORP,0.0666666667,2000,4,1,13.77,8.4375,2423
FFHS,FIRST FRANKLIN CORP,-0.006944444,2000,5,1,14.634,9,2423
FFHS,FIRST FRANKLIN CORP,0.006993007,2000,6,1,14.532375,8.9375,2423
FFHS,FIRST FRANKLIN CORP,0.0916666667,2000,7,1,14.535,9,2423
FFHS,FIRST FRANKLIN CORP,0,2000,8,1,15.74625,9.75,2423
FFHS,FIRST FRANKLIN CORP,-0.076923077,2000,9,1,15.7365,9.75,2423
FFHS,FIRST FRANKLIN CORP,-0.088888889,2000,10,1,14.526,9,2423
FFHS,FIRST FRANKLIN CORP,-0.069230769,2000,11,1,13.11375,8.125,2423
FFHS,FIRST FRANKLIN CORP,0.0743801653,2000,12,1,12.205875,7.5625,2423
FFHS,FIRST FRANKLIN CORP,0.1323076923,2001,1,1,13.11375,8.125,2423
FFHS,FIRST FRANKLIN CORP,-0.01369863,2001,2,1,14.72775,9.125,2423
FFHS,FIRST FRANKLIN CORP,0,2001,3,1,14.526,9,2423
FFHS,FIRST FRANKLIN CORP,0.0916666667,2001,4,1,14.526,9,2423
FFHS,FIRST FRANKLIN CORP,0.0615384615,2001,5,1,15.7365,9.75,2423
FFHS,FIRST FRANKLIN CORP,-0.032850242,2001,6,1,17.595,10.35,2423
FFHS,FIRST FRANKLIN CORP,0.0064935065,2001,7,1,17.017,10.01,2423
FFHS,FIRST FRANKLIN CORP,0,2001,8,1,17,10,2423
FFHS,FIRST FRANKLIN CORP,0.012,2001,9,1,16.14,10,2423
FFHS,FIRST FRANKLIN CORP,0.0004940711,2001,10,1,16.33368,10.12,2423
FFHS,FIRST FRANKLIN CORP,0.039800995,2001,11,1,16.2207,10.05,2423
FFHS,FIRST FRANKLIN CORP,-0.019138756,2001,12,1,17.765,10.45,2423
FFHS,FIRST FRANKLIN CORP,-0.007317073,2002,1,1,17.425,10.25,2423
FFHS,FIRST FRANKLIN CORP,0.0366336634,2002,2,1,17.17,10.1,2423
FFHS,FIRST FRANKLIN CORP,0.193887297,2002,3,1,17.799,10.47,2423
FFHS,FIRST FRANKLIN CORP,0.106,2002,4,1,20.1875,12.5,2423
FFHS,FIRST FRANKLIN CORP,-0.178181818,2002,5,1,22.20625,13.75,2423
FFHS,FIRST FRANKLIN CORP,0.1592920354,2002,6,1,18.3625,11.3,2423
FFHS,FIRST FRANKLIN CORP,-0.001908397,2002,7,1,21.2875,13.1,2423
FFHS,FIRST FRANKLIN CORP,-0.061538462,2002,8,1,21.125,13,2423
FFHS,FIRST FRANKLIN CORP,0,2002,9,1,19.825,12.2,2423
FFHS,FIRST FRANKLIN CORP,0.0299180328,2002,10,1,19.825,12.2,2423
FFHS,FIRST FRANKLIN CORP,0.0768614892,2002,11,1,20.29625,12.49,2423
FFHS,FIRST FRANKLIN CORP,0.0092936803,2002,12,1,21.99075,13.45,2423
FFHS,FIRST FRANKLIN CORP,0.0407407407,2003,1,1,22.0725,13.5,2423
FFHS,FIRST FRANKLIN CORP,0.0263345196,2003,2,1,22.97175,14.05,2423
FFHS,FIRST FRANKLIN CORP,0.0263522885,2003,3,1,23.5767,14.42,2423
FFHS,FIRST FRANKLIN CORP,0.0219594595,2003,4,1,24.198,14.8,2423
FFHS,FIRST FRANKLIN CORP,0.0431893688,2003,5,1,24.60675,15.05,2423
FFHS,FIRST FRANKLIN CORP,-0.085987261,2003,6,1,25.6695,15.7,2423
FFHS,FIRST FRANKLIN CORP,0.0993031359,2003,7,1,23.46225,14.35,2423
FFHS,FIRST FRANKLIN CORP,0.0751592357,2003,8,1,25.6695,15.7,2423
FFHS,FIRST FRANKLIN CORP,0.1860189573,2003,9,1,28.696,16.88,2423
FFHS,FIRST FRANKLIN CORP,-0.146853147,2003,10,1,34.034,20.02,2423
FFHS,FIRST FRANKLIN CORP,0.05,2003,11,1,28.9,17,2423
FFHS,FIRST FRANKLIN CORP,0.0112044818,2003,12,1,29.29185,17.85,2423
FFHS,FIRST FRANKLIN CORP,0.0028380634,2004,1,1,29.48877,17.97,2423
FFHS,FIRST FRANKLIN CORP,0.115365407,2004,2,1,29.572461,18.021,2423
FFHS,FIRST FRANKLIN CORP,-0.085074627,2004,3,1,32.9841,20.1,2423
FFHS,FIRST FRANKLIN CORP,-0.00054615,2004,4,1,30.11995,18.31,2423
FFHS,FIRST FRANKLIN CORP,0.0103825137,2004,5,1,30.1035,18.3,2423
FFHS,FIRST FRANKLIN CORP,0.0270416441,2004,6,1,30.41605,18.49,2423
FFHS,FIRST FRANKLIN CORP,0.0047393365,2004,7,1,31.23855,18.99,2423
FFHS,FIRST FRANKLIN CORP,0.0684210526,2004,8,1,31.255,19,2423
FFHS,FIRST FRANKLIN CORP,0.0344827586,2004,9,1,33.4138,20.3,2423
FFHS,FIRST FRANKLIN CORP,-0.017619048,2004,10,1,34.566,21,2423
FFHS,FIRST FRANKLIN CORP,-0.051094891,2004,11,1,33.8253,20.55,2423
FFHS,FIRST FRANKLIN CORP,0.0102051282,2004,12,1,32.1555,19.5,2423
FFHS,FIRST FRANKLIN CORP,-0.082186913,2005,1,1,32.483651,19.699,2423
FFHS,FIRST FRANKLIN CORP,0.0522222222,2005,2,1,29.682,18,2423
FFHS,FIRST FRANKLIN CORP,-0.039017951,2005,3,1,31.23206,18.94,2423
FFHS,FIRST FRANKLIN CORP,-0.061590023,2005,4,1,30.122655,18.201,2423
FFHS,FIRST FRANKLIN CORP,-0.064705882,2005,5,1,28.135,17,2423
FFHS,FIRST FRANKLIN CORP,0.0044025157,2005,6,1,26.3145,15.9,2423
FFHS,FIRST FRANKLIN CORP,0.0068879148,2005,7,1,26.43035,15.97,2423
FFHS,FIRST FRANKLIN CORP,0.05625,2005,8,1,26.48,16,2423
FFHS,FIRST FRANKLIN CORP,-0.016568047,2005,9,1,27.9864,16.9,2423
FFHS,FIRST FRANKLIN CORP,-0.002406739,2005,10,1,27.52272,16.62,2423
FFHS,FIRST FRANKLIN CORP,-6.060606E-6,2005,11,1,27.324,16.5,2423
FFHS,FIRST FRANKLIN CORP,-0.024236511,2005,12,1,27.3238344,16.4999,2423
FFHS,FIRST FRANKLIN CORP,0.0268582136,2006,1,1,26.51256,16.01,2423
FFHS,FIRST FRANKLIN CORP,-0.032846715,2006,2,1,27.22464,16.44,2423
FFHS,FIRST FRANKLIN CORP,0.0522012579,2006,3,1,26.3304,15.9,2423
FFHS,FIRST FRANKLIN CORP,-0.008965929,2006,4,1,28.19005,16.73,2423
FFHS,FIRST FRANKLIN CORP,-0.029714979,2006,5,1,27.80214,16.49,2423
FFHS,FIRST FRANKLIN CORP,-0.015625,2006,6,1,26.976,16,2423
FFHS,FIRST FRANKLIN CORP,0.0812698413,2006,7,1,26.5545,15.75,2423
FFHS,FIRST FRANKLIN CORP,-0.054899646,2006,8,1,28.56084,16.94,2423
FFHS,FIRST FRANKLIN CORP,-0.021861337,2006,9,1,26.99286,16.01,2423
FFHS,FIRST FRANKLIN CORP,-0.004469987,2006,10,1,26.40276,15.66,2423
FFHS,FIRST FRANKLIN CORP,0.0238709677,2006,11,1,26.133,15.5,2423
FFHS,FIRST FRANKLIN CORP,-0.02331443,2006,12,1,26.75682,15.87,2423
FFHS,FIRST FRANKLIN CORP,0.1348322581,2007,1,1,26.133,15.5,2423
FFHS,FIRST FRANKLIN CORP,0.0388630792,2007,2,1,29.5048314,17.4999,2423
FFHS,FIRST FRANKLIN CORP,-0.023652365,2007,3,1,30.65148,18.18,2423
FFHS,FIRST FRANKLIN CORP,0.0112676056,2007,4,1,29.82,17.75,2423
FFHS,FIRST FRANKLIN CORP,-0.072228443,2007,5,1,30.0048,17.86,2423
FFHS,FIRST FRANKLIN CORP,-0.151961376,2007,6,1,27.85417,16.57,2423
FFHS,FIRST FRANKLIN CORP,0.0027042414,2007,7,1,23.621412,14.052,2423
FFHS,FIRST FRANKLIN CORP,-0.028571429,2007,8,1,23.534,14,2423
FFHS,FIRST FRANKLIN CORP,-0.032352941,2007,9,1,22.8616,13.6,2423
FFHS,FIRST FRANKLIN CORP,-0.035714286,2007,10,1,22.12196,13.16,2423
FFHS,FIRST FRANKLIN CORP,-0.104761905,2007,11,1,21.1806,12.6,2423
FFHS,FIRST FRANKLIN CORP,-0.113475177,2007,12,1,18.96168,11.28,2423
FFHS,FIRST FRANKLIN CORP,-0.166,2008,1,1,16.81,10,2423
FFHS,FIRST FRANKLIN CORP,0.1090909091,2008,2,1,13.86825,8.25,2423
FFHS,FIRST FRANKLIN CORP,-0.017486339,2008,3,1,15.38115,9.15,2423
FFHS,FIRST FRANKLIN CORP,-0.098998888,2008,4,1,15.11219,8.99,2423
FFHS,FIRST FRANKLIN CORP,-0.029962547,2008,5,1,13.46481,8.01,2423
FFHS,FIRST FRANKLIN CORP,-0.07979408,2008,6,1,13.06137,7.77,2423
FFHS,FIRST FRANKLIN CORP,-0.039160839,2008,7,1,12.01915,7.15,2423
FFHS,FIRST FRANKLIN CORP,0.1799410029,2008,8,1,11.39718,6.78,2423
FFHS,FIRST FRANKLIN CORP,-0.1875,2008,9,1,13.448,8,2423
FFHS,FIRST FRANKLIN CORP,-0.073076923,2008,10,1,10.9265,6.5,2423
FFHS,FIRST FRANKLIN CORP,-0.177257525,2008,11,1,10.05238,5.98,2423
FFHS,FIRST FRANKLIN CORP,-0.18699187,2008,12,1,8.27052,4.92,2423
FFHS,FIRST FRANKLIN CORP,-0.15625,2009,1,1,6.724,4,2423
FFHS,FIRST FRANKLIN CORP,-0.219219219,2009,2,1,5.59773,3.33,2423
FFHS,FIRST FRANKLIN CORP,0.3961538462,2009,3,1,4.3706,2.6,2423
FFHS,FIRST FRANKLIN CORP,0.1067768595,2009,4,1,6.10203,3.63,2423
FFHS,FIRST FRANKLIN CORP,0.1822978893,2009,5,1,6.7535856,4.0176,2423
FFHS,FIRST FRANKLIN CORP,0.3684210526,2009,6,1,7.98475,4.75,2423
FFHS,FIRST FRANKLIN CORP,-0.092307692,2009,7,1,10.9265,6.5,2423
FFHS,FIRST FRANKLIN CORP,-0.066101695,2009,8,1,9.9179,5.9,2423
FFHS,FIRST FRANKLIN CORP,0.1143375681,2009,9,1,9.26231,5.51,2423
FFHS,FIRST FRANKLIN CORP,0.0647394137,2009,10,1,10.32134,6.14,2423
FFHS,FIRST FRANKLIN CORP,0.223709369,2009,11,1,10.9895375,6.5375,2423
FFHS,FIRST FRANKLIN CORP,-0.00125,2009,12,1,13.448,8,2423
FFHS,FIRST FRANKLIN CORP,-0.226533166,2010,1,1,13.43119,7.99,2423
FFHS,FIRST FRANKLIN CORP,0.0517799353,2010,2,1,10.38858,6.18,2423
FFHS,FIRST FRANKLIN CORP,0.3846153846,2010,3,1,10.9265,6.5,2423
FFHS,FIRST FRANKLIN CORP,0.0944444444,2010,4,1,15.129,9,2423
FFHS,FIRST FRANKLIN CORP,0.0802030457,2010,5,1,16.6071,9.85,2423
FFHS,FIRST FRANKLIN CORP,-0.157424812,2010,6,1,17.8752,10.64,2423
FFHS,FIRST FRANKLIN CORP,-0.166759621,2010,7,1,15.0612,8.965,2423
FFHS,FIRST FRANKLIN CORP,-0.101740295,2010,8,1,12.5496,7.47,2423
FFHS,FIRST FRANKLIN CORP,0.084947839,2010,9,1,11.31306,6.71,2423
FFHS,FIRST FRANKLIN CORP,0.9491758242,2010,10,1,12.27408,7.28,2423
FFHS,FIRST FRANKLIN CORP,0.0063424947,2010,11,1,23.92434,14.19,2423
FFHS,FIRST FRANKLIN CORP,0.0322128852,2010,12,1,24.07608,14.28,2423
FFHS,FIRST FRANKLIN CORP,-0.020352782,2011,1,1,24.85164,14.74,2423
FFHS,FIRST FRANKLIN CORP,-0.002077562,2011,2,1,24.34584,14.44,2423
FFHS,FIRST FRANKLIN CORP,0.0062456627,2011,3,1,24.29526,14.41,2423
