ticker,conm,ret,year,month,EW,VW,PW,n
FIF.1,FINANCIAL FEDERAL CORP,-0.232876712,2000,1,1,339.039375,22.8125,3810
FIF.1,FINANCIAL FEDERAL CORP,-0.021428571,2000,2,1,260.085,17.5,3810
FIF.1,FINANCIAL FEDERAL CORP,0.0620437956,2000,3,1,254.51175,17.125,3810
FIF.1,FINANCIAL FEDERAL CORP,0.0240549828,2000,4,1,271.030125,18.1875,3810
FIF.1,FINANCIAL FEDERAL CORP,-0.046979866,2000,5,1,277.54975,18.625,3810
FIF.1,FINANCIAL FEDERAL CORP,-0.021126761,2000,6,1,264.5105,17.75,3810
FIF.1,FINANCIAL FEDERAL CORP,0.1366906475,2000,7,1,259.47825,17.375,3810
FIF.1,FINANCIAL FEDERAL CORP,0.0759493671,2000,8,1,294.9465,19.75,3810
FIF.1,FINANCIAL FEDERAL CORP,0.1382352941,2000,9,1,317.3475,21.25,3810
FIF.1,FINANCIAL FEDERAL CORP,-0.124031008,2000,10,1,361.216125,24.1875,3810
FIF.1,FINANCIAL FEDERAL CORP,0.0973451327,2000,11,1,317.1556875,21.1875,3810
FIF.1,FINANCIAL FEDERAL CORP,0.0268817204,2000,12,1,348.02925,23.25,3810
FIF.1,FINANCIAL FEDERAL CORP,0.0115183246,2001,1,1,357.528125,23.875,3810
FIF.1,FINANCIAL FEDERAL CORP,0.2256728778,2001,2,1,361.64625,24.15,3810
FIF.1,FINANCIAL FEDERAL CORP,-0.172297297,2001,3,1,443.26,29.6,3810
FIF.1,FINANCIAL FEDERAL CORP,0.0081632653,2001,4,1,403.3435,24.5,3810
FIF.1,FINANCIAL FEDERAL CORP,0.0384615385,2001,5,1,406.6361,24.7,3810
FIF.1,FINANCIAL FEDERAL CORP,0.1286549708,2001,6,1,422.27595,25.65,3810
FIF.1,FINANCIAL FEDERAL CORP,-0.084974093,2001,7,1,478.16715,28.95,3810
FIF.1,FINANCIAL FEDERAL CORP,0.0400151,2001,8,1,437.53533,26.49,3810
FIF.1,FINANCIAL FEDERAL CORP,-0.110707804,2001,9,1,455.04335,27.55,3810
FIF.1,FINANCIAL FEDERAL CORP,0.0204081633,2001,10,1,404.6665,24.5,3810
FIF.1,FINANCIAL FEDERAL CORP,0.1324,2001,11,1,415.225,25,3810
FIF.1,FINANCIAL FEDERAL CORP,0.1038502296,2001,12,1,470.99347,28.31,3810
FIF.1,FINANCIAL FEDERAL CORP,-0.0448,2002,1,1,519.90625,31.25,3810
FIF.1,FINANCIAL FEDERAL CORP,-0.010050251,2002,2,1,496.61445,29.85,3810
FIF.1,FINANCIAL FEDERAL CORP,0.110321489,2002,3,1,491.62335,29.55,3810
FIF.1,FINANCIAL FEDERAL CORP,0.0719292899,2002,4,1,548.35353,32.81,3810
FIF.1,FINANCIAL FEDERAL CORP,-0.030423657,2002,5,1,587.79621,35.17,3810
FIF.1,FINANCIAL FEDERAL CORP,-0.029325513,2002,6,1,569.9133,34.1,3810
FIF.1,FINANCIAL FEDERAL CORP,-0.123564955,2002,7,1,555.087,33.1,3810
FIF.1,FINANCIAL FEDERAL CORP,0.0548086867,2002,8,1,486.4977,29.01,3810
FIF.1,FINANCIAL FEDERAL CORP,0.0408496732,2002,9,1,513.162,30.6,3810
FIF.1,FINANCIAL FEDERAL CORP,-0.120251177,2002,10,1,534.1245,31.85,3810
FIF.1,FINANCIAL FEDERAL CORP,-0.079229122,2002,11,1,469.8954,28.02,3810
FIF.1,FINANCIAL FEDERAL CORP,-0.025968992,2002,12,1,478.977,25.8,3810
FIF.1,FINANCIAL FEDERAL CORP,0.0644647831,2003,1,1,466.68923,25.13,3810
FIF.1,FINANCIAL FEDERAL CORP,-0.05271028,2003,2,1,496.77425,26.75,3810
FIF.1,FINANCIAL FEDERAL CORP,-0.246250987,2003,3,1,470.58914,25.34,3810
FIF.1,FINANCIAL FEDERAL CORP,0.1727748691,2003,4,1,355.0881,19.1,3810
FIF.1,FINANCIAL FEDERAL CORP,0.1049107143,2003,5,1,416.4384,22.4,3810
FIF.1,FINANCIAL FEDERAL CORP,-0.014141414,2003,6,1,460.12725,24.75,3810
FIF.1,FINANCIAL FEDERAL CORP,0.2418032787,2003,7,1,451.888,24.4,3810
FIF.1,FINANCIAL FEDERAL CORP,0.0607260726,2003,8,1,561.156,30.3,3810
FIF.1,FINANCIAL FEDERAL CORP,-0.050715619,2003,9,1,595.2328,32.14,3810
FIF.1,FINANCIAL FEDERAL CORP,0.0996394625,2003,10,1,565.0452,30.51,3810
FIF.1,FINANCIAL FEDERAL CORP,-0.019672131,2003,11,1,624.60035,33.55,3810
FIF.1,FINANCIAL FEDERAL CORP,-0.071146245,2003,12,1,612.31313,32.89,3810
FIF.1,FINANCIAL FEDERAL CORP,0.1119476268,2004,1,1,569.60475,30.55,3810
FIF.1,FINANCIAL FEDERAL CORP,0.0141301148,2004,2,1,633.37065,33.97,3810
FIF.1,FINANCIAL FEDERAL CORP,-0.029608128,2004,3,1,642.32025,34.45,3810
FIF.1,FINANCIAL FEDERAL CORP,-0.063715226,2004,4,1,625.37501,33.43,3810
FIF.1,FINANCIAL FEDERAL CORP,-0.001916933,2004,5,1,585.5291,31.3,3810
FIF.1,FINANCIAL FEDERAL CORP,0.128681178,2004,6,1,584.40668,31.24,3810
FIF.1,FINANCIAL FEDERAL CORP,-0.087918321,2004,7,1,608.48182,35.26,3810
FIF.1,FINANCIAL FEDERAL CORP,0.0342039801,2004,8,1,554.98512,32.16,3810
FIF.1,FINANCIAL FEDERAL CORP,0.1268791341,2004,9,1,573.96782,33.26,3810
FIF.1,FINANCIAL FEDERAL CORP,-0.004535752,2004,10,1,646.79236,37.48,3810
FIF.1,FINANCIAL FEDERAL CORP,0.0308228357,2004,11,1,646.2092,37.31,3810
FIF.1,FINANCIAL FEDERAL CORP,0.0192407696,2004,12,1,668.20404,38.46,3810
FIF.1,FINANCIAL FEDERAL CORP,-0.117346939,2005,1,1,681.5312,39.2,3810
FIF.1,FINANCIAL FEDERAL CORP,-0.012173913,2005,2,1,599.817,34.5,3810
FIF.1,FINANCIAL FEDERAL CORP,0.040786385,2005,3,1,592.51488,34.08,3810
FIF.1,FINANCIAL FEDERAL CORP,-0.001979078,2005,4,1,616.1454,35.37,3810
FIF.1,FINANCIAL FEDERAL CORP,0.0566572238,2005,5,1,614.926,35.3,3810
FIF.1,FINANCIAL FEDERAL CORP,0.035924933,2005,6,1,649.766,37.3,3810
FIF.1,FINANCIAL FEDERAL CORP,-0.001035197,2005,7,1,674.49984,38.64,3810
FIF.1,FINANCIAL FEDERAL CORP,0.0142857143,2005,8,1,672.056,38.5,3810
FIF.1,FINANCIAL FEDERAL CORP,0.019206146,2005,9,1,681.6568,39.05,3810
FIF.1,FINANCIAL FEDERAL CORP,-0.038190955,2005,10,1,694.7488,39.8,3810
FIF.1,FINANCIAL FEDERAL CORP,0.0586694605,2005,11,1,670.02082,38.18,3810
FIF.1,FINANCIAL FEDERAL CORP,0.0997031173,2005,12,1,709.371,40.42,3810
FIF.1,FINANCIAL FEDERAL CORP,0.0101237345,2006,1,1,781.431,44.45,3810
FIF.1,FINANCIAL FEDERAL CORP,-0.063798883,2006,2,1,786.705,44.75,3810
FIF.1,FINANCIAL FEDERAL CORP,0.0526315789,2006,3,1,736.5141,27.93,3810
FIF.1,FINANCIAL FEDERAL CORP,-0.030716724,2006,4,1,793.4147,29.3,3810
FIF.1,FINANCIAL FEDERAL CORP,-0.015140845,2006,5,1,769.0436,28.4,3810
FIF.1,FINANCIAL FEDERAL CORP,-0.002145156,2006,6,1,757.39963,27.97,3810
FIF.1,FINANCIAL FEDERAL CORP,-0.033800791,2006,7,1,755.3196,27.81,3810
FIF.1,FINANCIAL FEDERAL CORP,-0.024934872,2006,8,1,729.7892,26.87,3810
FIF.1,FINANCIAL FEDERAL CORP,0.0229007634,2006,9,1,711.592,26.2,3810
FIF.1,FINANCIAL FEDERAL CORP,0.0305970149,2006,10,1,727.888,26.8,3810
FIF.1,FINANCIAL FEDERAL CORP,0.0065406977,2006,11,1,749.56224,27.52,3810
FIF.1,FINANCIAL FEDERAL CORP,0.0671480144,2006,12,1,755.102,27.7,3810
FIF.1,FINANCIAL FEDERAL CORP,-0.027541652,2007,1,1,802.39303,29.41,3810
FIF.1,FINANCIAL FEDERAL CORP,-0.057342657,2007,2,1,780.2938,28.6,3810
FIF.1,FINANCIAL FEDERAL CORP,-0.018175074,2007,3,1,735.54968,26.96,3810
FIF.1,FINANCIAL FEDERAL CORP,-0.001519757,2007,4,1,723.85264,26.32,3810
FIF.1,FINANCIAL FEDERAL CORP,0.0346270928,2007,5,1,706.932,26.28,3810
FIF.1,FINANCIAL FEDERAL CORP,0.1022434719,2007,6,1,731.411,27.19,3810
FIF.1,FINANCIAL FEDERAL CORP,-0.049295775,2007,7,1,768.7596,29.82,3810
FIF.1,FINANCIAL FEDERAL CORP,0.0761904762,2007,8,1,730.863,28.35,3810
FIF.1,FINANCIAL FEDERAL CORP,-0.081940347,2007,9,1,786.5478,30.51,3810
FIF.1,FINANCIAL FEDERAL CORP,-0.02998929,2007,10,1,723.19019,28.01,3810
FIF.1,FINANCIAL FEDERAL CORP,-0.182457439,2007,11,1,697.62938,27.02,3810
FIF.1,FINANCIAL FEDERAL CORP,0.0158442734,2007,12,1,568.00017,22.09,3810
FIF.1,FINANCIAL FEDERAL CORP,0.0767160162,2008,1,1,571.9614,22.29,3810
FIF.1,FINANCIAL FEDERAL CORP,-0.102083333,2008,2,1,615.84,24,3810
FIF.1,FINANCIAL FEDERAL CORP,0.019025522,2008,3,1,552.973,21.55,3810
FIF.1,FINANCIAL FEDERAL CORP,0.070609812,2008,4,1,555.43527,21.81,3810
FIF.1,FINANCIAL FEDERAL CORP,0.0402569593,2008,5,1,594.65445,23.35,3810
FIF.1,FINANCIAL FEDERAL CORP,-0.089748868,2008,6,1,618.59343,24.29,3810
FIF.1,FINANCIAL FEDERAL CORP,0.0496357013,2008,7,1,560.24352,21.96,3810
FIF.1,FINANCIAL FEDERAL CORP,0.08329718,2008,8,1,588.0516,23.05,3810
FIF.1,FINANCIAL FEDERAL CORP,-0.082098518,2008,9,1,637.03464,24.97,3810
FIF.1,FINANCIAL FEDERAL CORP,0.0165794066,2008,10,1,588.67728,22.92,3810
FIF.1,FINANCIAL FEDERAL CORP,-0.169762419,2008,11,1,594.5846,23.15,3810
FIF.1,FINANCIAL FEDERAL CORP,0.2185223725,2008,12,1,493.74258,19.22,3810
FIF.1,FINANCIAL FEDERAL CORP,-0.066609368,2009,1,1,601.18045,23.27,3810
FIF.1,FINANCIAL FEDERAL CORP,-0.125230203,2009,2,1,561.1362,21.72,3810
FIF.1,FINANCIAL FEDERAL CORP,0.1226315789,2009,3,1,490.865,19,3810
FIF.1,FINANCIAL FEDERAL CORP,0.1619452314,2009,4,1,547.22766,21.18,3810
FIF.1,FINANCIAL FEDERAL CORP,0.0073141,2009,5,1,635.84857,24.61,3810
FIF.1,FINANCIAL FEDERAL CORP,-0.164985881,2009,6,1,640.49923,24.79,3810
FIF.1,FINANCIAL FEDERAL CORP,-0.013138686,2009,7,1,531.77235,20.55,3810
FIF.1,FINANCIAL FEDERAL CORP,0.1548323471,2009,8,1,524.78556,20.28,3810
FIF.1,FINANCIAL FEDERAL CORP,0.0538001708,2009,9,1,606.03934,23.42,3810
FIF.1,FINANCIAL FEDERAL CORP,-0.166531605,2009,10,1,639.31072,24.68,3810
FIF.1,FINANCIAL FEDERAL CORP,0.3271302644,2009,11,1,528.95968,20.42,3810
FIF.1,FINANCIAL FEDERAL CORP,0.020295203,2009,12,1,711.5647,27.1,3810
FIF.1,FINANCIAL FEDERAL CORP,-0.008727273,2010,1,1,723.0575,27.5,3810
FIF.1,FINANCIAL FEDERAL CORP,-0.008070433,2010,2,1,706.08852,27.26,3810
