ticker,conm,ret,year,month,EW,VW,PW,n
FLIC,FIRST LONG ISLAND CORP,0.0413617021,2000,1,1,87.36125,29.375,2684
FLIC,FIRST LONG ISLAND CORP,0.0185950413,2000,2,1,89.9635,30.25,2684
FLIC,FIRST LONG ISLAND CORP,0.0507099391,2000,3,1,91.636375,30.8125,2684
FLIC,FIRST LONG ISLAND CORP,-0.038610039,2000,4,1,96.28325,32.375,2684
FLIC,FIRST LONG ISLAND CORP,0.0140562249,2000,5,1,91.5075,31.125,2684
FLIC,FIRST LONG ISLAND CORP,0.0732673267,2000,6,1,92.7621875,31.5625,2684
FLIC,FIRST LONG ISLAND CORP,0.0358671587,2000,7,1,99.558625,33.875,2684
FLIC,FIRST LONG ISLAND CORP,0.0143884892,2000,8,1,102.13025,34.75,2684
FLIC,FIRST LONG ISLAND CORP,0.1489361702,2000,9,1,103.59975,35.25,2684
FLIC,FIRST LONG ISLAND CORP,-0.037037037,2000,10,1,119.0295,40.5,2684
FLIC,FIRST LONG ISLAND CORP,0.0032051282,2000,11,1,114.621,39,2684
FLIC,FIRST LONG ISLAND CORP,-0.015974441,2000,12,1,113.07125,39.125,2684
FLIC,FIRST LONG ISLAND CORP,-0.00961039,2001,1,1,111.265,38.5,2684
FLIC,FIRST LONG ISLAND CORP,0.0264900662,2001,2,1,109.0975,37.75,2684
FLIC,FIRST LONG ISLAND CORP,0.0012903226,2001,3,1,111.9875,38.75,2684
FLIC,FIRST LONG ISLAND CORP,0.0051546392,2001,4,1,112.0932,38.8,2684
FLIC,FIRST LONG ISLAND CORP,0.0217948718,2001,5,1,112.671,39,2684
FLIC,FIRST LONG ISLAND CORP,0.0037641154,2001,6,1,115.12665,39.85,2684
FLIC,FIRST LONG ISLAND CORP,0.0095,2001,7,1,114.96,40,2684
FLIC,FIRST LONG ISLAND CORP,-0.005,2001,8,1,114.96,40,2684
FLIC,FIRST LONG ISLAND CORP,-0.020100503,2001,9,1,113.231,39.8,2684
FLIC,FIRST LONG ISLAND CORP,0.0192307692,2001,10,1,110.955,39,2684
