ticker,conm,ret,year,month,EW,VW,PW,n
FLMK,FOILMARK INC,0.3536585366,2000,1,1,20.259125,2.5625,4780
FLMK,FOILMARK INC,0.0810810811,2000,2,1,27.4239375,3.46875,4780
FLMK,FOILMARK INC,0,2000,3,1,29.7825,3.75,4780
FLMK,FOILMARK INC,0.0666666667,2000,4,1,29.7825,3.75,4780
FLMK,FOILMARK INC,-0.0625,2000,5,1,31.768,4,4780
FLMK,FOILMARK INC,-0.033333333,2000,6,1,29.8725,3.75,4780
FLMK,FOILMARK INC,0.0344827586,2000,7,1,28.87675,3.625,4780
FLMK,FOILMARK INC,0.25,2000,8,1,29.8725,3.75,4780
FLMK,FOILMARK INC,0.2133333333,2000,9,1,37.340625,4.6875,4780
FLMK,FOILMARK INC,-0.230769231,2000,10,1,45.306625,5.6875,4780
FLMK,FOILMARK INC,-0.1,2000,11,1,35.175,4.375,4780
FLMK,FOILMARK INC,-0.134920635,2000,12,1,31.6575,3.9375,4780
FLMK,FOILMARK INC,-0.04587156,2001,1,1,27.38625,3.40625,4780
FLMK,FOILMARK INC,0.1730769231,2001,2,1,26.13,3.25,4780
FLMK,FOILMARK INC,-0.172131148,2001,3,1,30.69825,3.8125,4780
FLMK,FOILMARK INC,0.9992079208,2001,4,1,25.414125,3.15625,4780
FLMK,FOILMARK INC,0.0079239303,2001,5,1,50.80812,6.31,4780
FLMK,FOILMARK INC,0,2001,6,1,50.6482,6.28,4780
