ticker,conm,ret,year,month,EW,VW,PW,n
FLS,FLOWSERVE CORP,-0.099264706,2000,1,1,634.508,17,494
FLS,FLOWSERVE CORP,-0.248979592,2000,2,1,571.52375,15.3125,494
FLS,FLOWSERVE CORP,0.1195652174,2000,3,1,429.226,11.5,494
FLS,FLOWSERVE CORP,0.0970873786,2000,4,1,487.00975,12.875,494
FLS,FLOWSERVE CORP,0.1327433628,2000,5,1,534.29225,14.125,494
FLS,FLOWSERVE CORP,-0.05859375,2000,6,1,598.768,16,494
FLS,FLOWSERVE CORP,0.0290456432,2000,7,1,563.6839375,15.0625,494
FLS,FLOWSERVE CORP,0.1935483871,2000,8,1,580.0565,15.5,494
FLS,FLOWSERVE CORP,-0.111486486,2000,9,1,692.2515,18.5,494
FLS,FLOWSERVE CORP,0.2243346008,2000,10,1,615.0748125,16.4375,494
FLS,FLOWSERVE CORP,0.0403726708,2000,11,1,753.057375,20.125,494
FLS,FLOWSERVE CORP,0.0208955224,2000,12,1,790.8303125,20.9375,494
FLS,FLOWSERVE CORP,0.054502924,2001,1,1,807.355125,21.375,494
FLS,FLOWSERVE CORP,-0.068322981,2001,2,1,851.35834,22.54,494
FLS,FLOWSERVE CORP,0.0685714286,2001,3,1,793.191,21,494
FLS,FLOWSERVE CORP,0.26114082,2001,4,1,847.58124,22.44,494
FLS,FLOWSERVE CORP,0.061130742,2001,5,1,1072.2021,28.3,494
FLS,FLOWSERVE CORP,0.023976024,2001,6,1,1138.82769,30.03,494
FLS,FLOWSERVE CORP,-0.2,2001,7,1,1166.13225,30.75,494
FLS,FLOWSERVE CORP,0.0142276423,2001,8,1,932.9058,24.6,494
FLS,FLOWSERVE CORP,-0.208416834,2001,9,1,943.43435,24.95,494
FLS,FLOWSERVE CORP,0.1837974684,2001,10,1,746.80675,19.75,494
FLS,FLOWSERVE CORP,0.0517536356,2001,11,1,884.06794,23.38,494
FLS,FLOWSERVE CORP,0.0821472143,2001,12,1,1090.12388,24.59,494
FLS,FLOWSERVE CORP,-0.06839534,2002,1,1,1179.67452,26.61,494
FLS,FLOWSERVE CORP,0.1286809197,2002,2,1,1098.99028,24.79,494
FLS,FLOWSERVE CORP,0.144031451,2002,3,1,1240.40936,27.98,494
FLS,FLOWSERVE CORP,0.0777881912,2002,4,1,1449.34878,32.01,494
FLS,FLOWSERVE CORP,-0.073333333,2002,5,1,1837.7115,34.5,494
FLS,FLOWSERVE CORP,-0.067876134,2002,6,1,1762.92171,31.97,494
FLS,FLOWSERVE CORP,-0.42114094,2002,7,1,1643.2614,29.8,494
FLS,FLOWSERVE CORP,0.0626086957,2002,8,1,951.21675,17.25,494
FLS,FLOWSERVE CORP,-0.454446263,2002,9,1,1011.90765,18.33,494
FLS,FLOWSERVE CORP,0.172,2002,10,1,552.05,10,494
FLS,FLOWSERVE CORP,0.2986348123,2002,11,1,647.0026,11.72,494
FLS,FLOWSERVE CORP,-0.0282523,2002,12,1,840.2201,15.22,494
FLS,FLOWSERVE CORP,-0.207572684,2003,1,1,816.48195,14.79,494
FLS,FLOWSERVE CORP,0.0204778157,2003,2,1,647.0026,11.72,494
FLS,FLOWSERVE CORP,-0.025919732,2003,3,1,660.2518,11.96,494
FLS,FLOWSERVE CORP,0.3253218884,2003,4,1,643.4528,11.65,494
FLS,FLOWSERVE CORP,0.1755181347,2003,5,1,852.78208,15.44,494
FLS,FLOWSERVE CORP,0.0837465565,2003,6,1,1002.4608,18.15,494
FLS,FLOWSERVE CORP,-0.020843925,2003,7,1,1086.41344,19.67,494
FLS,FLOWSERVE CORP,0.0929387331,2003,8,1,1063.76832,19.26,494
FLS,FLOWSERVE CORP,-0.035629454,2003,9,1,1162.90725,21.05,494
