ticker,conm,ret,year,month,EW,VW,PW,n
FNGB,FIRST NORTHERN CAPITAL CORP,-0.027532468,2000,1,1,83.265875,9.625,2429
FNGB,FIRST NORTHERN CAPITAL CORP,0.3445945946,2000,2,1,80.02175,9.25,2429
FNGB,FIRST NORTHERN CAPITAL CORP,0,2000,3,1,107.5968125,12.4375,2429
FNGB,FIRST NORTHERN CAPITAL CORP,0.0150753769,2000,4,1,106.788375,12.4375,2429
FNGB,FIRST NORTHERN CAPITAL CORP,0.078019802,2000,5,1,108.39825,12.625,2429
FNGB,FIRST NORTHERN CAPITAL CORP,-0.009259259,2000,6,1,115.668,13.5,2429
FNGB,FIRST NORTHERN CAPITAL CORP,0.0269158879,2000,7,1,114.597,13.375,2429
FNGB,FIRST NORTHERN CAPITAL CORP,0.0183486239,2000,8,1,116.739,13.625,2429
FNGB,FIRST NORTHERN CAPITAL CORP,0.0563063063,2000,9,1,118.881,13.875,2429
FNGB,FIRST NORTHERN CAPITAL CORP,0.0234541578,2000,10,1,125.57475,14.65625,2429
FNGB,FIRST NORTHERN CAPITAL CORP,0.0125,2000,11,1,128.52,15,2429
FNGB,FIRST NORTHERN CAPITAL CORP,0,2000,12,1,,15.0625,2429
