ticker,conm,ret,year,month,EW,VW,PW,n
FNSR,FINISAR CORP,-0.326147427,2000,1,1,4461.7545,89.875,8032
FNSR,FINISAR CORP,1.3323013416,2000,2,1,3006.56475,60.5625,8032
FNSR,FINISAR CORP,0.0372787611,2000,3,1,7012.215,141.25,8032
FNSR,FINISAR CORP,-0.236002986,2000,4,1,7509.3653281,146.515625,8032
FNSR,FINISAR CORP,-0.40201005,2000,5,1,5737.1326875,37.3125,8032
FNSR,FINISAR CORP,0.1736694678,2000,6,1,3430.7476875,22.3125,8032
FNSR,FINISAR CORP,0.0143198091,2000,7,1,4026.5638125,26.1875,8032
FNSR,FINISAR CORP,0.7458823529,2000,8,1,4084.2234375,26.5625,8032
FNSR,FINISAR CORP,0.0431266846,2000,9,1,7413.60025,46.375,8032
FNSR,FINISAR CORP,-0.404392765,2000,10,1,7745.466375,48.375,8032
FNSR,FINISAR CORP,-0.190889371,2000,11,1,5160.0018125,28.8125,8032
FNSR,FINISAR CORP,0.2439678284,2000,12,1,4175.0123125,23.3125,8032
FNSR,FINISAR CORP,0.2543103448,2001,1,1,4915.413,29,8032
FNSR,FINISAR CORP,-0.675257732,2001,2,1,6165.453375,36.375,8032
FNSR,FINISAR CORP,-0.187830688,2001,3,1,2191.2305625,11.8125,8032
FNSR,FINISAR CORP,0.5583061889,2001,4,1,1689.5649063,9.59375,8032
FNSR,FINISAR CORP,0.0066889632,2001,5,1,2632.85945,14.95,8032
FNSR,FINISAR CORP,0.2411960133,2001,6,1,2771.8488,15.05,8032
FNSR,FINISAR CORP,-0.388115632,2001,7,1,3440.40768,18.68,8032
FNSR,FINISAR CORP,-0.13735783,2001,8,1,2120.28786,11.43,8032
FNSR,FINISAR CORP,-0.598377282,2001,9,1,1829.11874,9.86,8032
FNSR,FINISAR CORP,0.9747474747,2001,10,1,759.36564,3.96,8032
FNSR,FINISAR CORP,0.3836317136,2001,11,1,1499.5632,7.82,8032
FNSR,FINISAR CORP,-0.060073937,2001,12,1,2074.8432,10.82,8032
FNSR,FINISAR CORP,0.1573254671,2002,1,1,1993.74714,10.17,8032
FNSR,FINISAR CORP,-0.48173322,2002,2,1,2307.43788,11.77,8032
FNSR,FINISAR CORP,0.262295082,2002,3,1,1195.8684,6.1,8032
FNSR,FINISAR CORP,-0.17012987,2002,4,1,1512.7343,7.7,8032
FNSR,FINISAR CORP,-0.592957746,2002,5,1,1255.37301,6.39,8032
FNSR,FINISAR CORP,-0.088811995,2002,6,1,510.989859,2.601,8032
FNSR,FINISAR CORP,-0.29535865,2002,7,1,465.60783,2.37,8032
FNSR,FINISAR CORP,-0.174251497,2002,8,1,329.17871,1.67,8032
FNSR,FINISAR CORP,-0.499637418,2002,9,1,277.93745,1.379,8032
FNSR,FINISAR CORP,0.0869565217,2002,10,1,139.07019,0.69,8032
FNSR,FINISAR CORP,1.04,2002,11,1,151.16325,0.75,8032
FNSR,FINISAR CORP,-0.379084967,2002,12,1,308.37303,1.53,8032
FNSR,FINISAR CORP,0.3684210526,2003,1,1,190.9158,0.95,8032
FNSR,FINISAR CORP,-0.269230769,2003,2,1,261.2532,1.3,8032
FNSR,FINISAR CORP,-0.178947368,2003,3,1,190.9158,0.95,8032
FNSR,FINISAR CORP,0.1923076923,2003,4,1,156.91026,0.78,8032
FNSR,FINISAR CORP,0.8387096774,2003,5,1,187.08531,0.93,8032
FNSR,FINISAR CORP,-0.105263158,2003,6,1,343.99557,1.71,8032
FNSR,FINISAR CORP,0.2222222222,2003,7,1,307.78551,1.53,8032
FNSR,FINISAR CORP,0.1497326203,2003,8,1,389.96045,1.87,8032
