ticker,conm,ret,year,month,EW,VW,PW,n
FRN.2,FRIENDLY ICE CREAM CORP,-0.126760563,2000,1,1,33.2590625,4.4375,7197
FRN.2,FRIENDLY ICE CREAM CORP,-0.080645161,2000,2,1,29.043125,3.875,7197
FRN.2,FRIENDLY ICE CREAM CORP,0.1052631579,2000,3,1,26.7009375,3.5625,7197
FRN.2,FRIENDLY ICE CREAM CORP,0.0873015873,2000,4,1,29.3855625,3.9375,7197
FRN.2,FRIENDLY ICE CREAM CORP,0.1094890511,2000,5,1,31.95096875,4.28125,7197
FRN.2,FRIENDLY ICE CREAM CORP,0.0657894737,2000,6,1,35.44925,4.75,7197
FRN.2,FRIENDLY ICE CREAM CORP,-0.148148148,2000,7,1,37.6245,5.0625,7197
FRN.2,FRIENDLY ICE CREAM CORP,-0.086956522,2000,8,1,32.0505,4.3125,7197
FRN.2,FRIENDLY ICE CREAM CORP,-0.063492063,2000,9,1,29.2635,3.9375,7197
FRN.2,FRIENDLY ICE CREAM CORP,-0.423728814,2000,10,1,27.4055,3.6875,7197
FRN.2,FRIENDLY ICE CREAM CORP,-0.088235294,2000,11,1,15.793,2.125,7197
FRN.2,FRIENDLY ICE CREAM CORP,0.064516129,2000,12,1,14.3995,1.9375,7197
FRN.2,FRIENDLY ICE CREAM CORP,0.3818181818,2001,1,1,15.3285,2.0625,7197
FRN.2,FRIENDLY ICE CREAM CORP,-0.221052632,2001,2,1,21.1812,2.85,7197
FRN.2,FRIENDLY ICE CREAM CORP,-0.238738739,2001,3,1,16.49904,2.22,7197
FRN.2,FRIENDLY ICE CREAM CORP,0.0710059172,2001,4,1,12.56008,1.69,7197
FRN.2,FRIENDLY ICE CREAM CORP,0.3259668508,2001,5,1,13.33608,1.81,7197
FRN.2,FRIENDLY ICE CREAM CORP,-0.041666667,2001,6,1,17.6736,2.4,7197
FRN.2,FRIENDLY ICE CREAM CORP,0.347826087,2001,7,1,16.9372,2.3,7197
FRN.2,FRIENDLY ICE CREAM CORP,-0.048387097,2001,8,1,22.8222,3.1,7197
FRN.2,FRIENDLY ICE CREAM CORP,0.0847457627,2001,9,1,21.7179,2.95,7197
FRN.2,FRIENDLY ICE CREAM CORP,0.4,2001,10,1,23.5584,3.2,7197
FRN.2,FRIENDLY ICE CREAM CORP,-0.285714286,2001,11,1,32.94144,4.48,7197
FRN.2,FRIENDLY ICE CREAM CORP,0.2375,2001,12,1,23.5296,3.2,7197
FRN.2,FRIENDLY ICE CREAM CORP,0.0858585859,2002,1,1,29.11788,3.96,7197
FRN.2,FRIENDLY ICE CREAM CORP,0.3,2002,2,1,31.6179,4.3,7197
FRN.2,FRIENDLY ICE CREAM CORP,0.1270125224,2002,3,1,41.09768,5.59,7197
FRN.2,FRIENDLY ICE CREAM CORP,0.2777777778,2002,4,1,46.3176,6.3,7197
