ticker,conm,ret,year,month,EW,VW,PW,n
FVCB,FVCBANKCORP INC,,2013,7,1,,,2673
FVCB,FVCBANKCORP INC,0,2013,8,1,,13,2673
FVCB,FVCBANKCORP INC,0,2013,9,1,,13,2673
FVCB,FVCBANKCORP INC,0,2013,10,1,,13,2673
FVCB,FVCBANKCORP INC,0.3076923077,2013,11,1,,13,2673
FVCB,FVCBANKCORP INC,0,2013,12,1,,17,2673
FVCB,FVCBANKCORP INC,0,2014,1,1,,17,2673
FVCB,FVCBANKCORP INC,0,2014,2,1,88.23,17,2673
FVCB,FVCBANKCORP INC,0,2014,3,1,88.23,17,2673
FVCB,FVCBANKCORP INC,0,2014,4,1,88.23,17,2673
FVCB,FVCBANKCORP INC,-0.014705882,2014,5,1,88.23,17,2673
FVCB,FVCBANKCORP INC,-0.104477612,2014,6,1,86.9325,16.75,2673
FVCB,FVCBANKCORP INC,0,2014,7,1,77.85,15,2673
FVCB,FVCBANKCORP INC,0.1,2014,8,1,77.85,15,2673
FVCB,FVCBANKCORP INC,-0.090909091,2014,9,1,85.635,16.5,2673
FVCB,FVCBANKCORP INC,0,2014,10,1,77.85,15,2673
FVCB,FVCBANKCORP INC,0.1693333333,2014,11,1,77.85,15,2673
FVCB,FVCBANKCORP INC,-0.116305587,2014,12,1,91.0326,17.54,2673
FVCB,FVCBANKCORP INC,-0.003225806,2015,1,1,80.445,15.5,2673
FVCB,FVCBANKCORP INC,0.0996763754,2015,2,1,80.1855,15.45,2673
FVCB,FVCBANKCORP INC,-0.040612125,2015,3,1,88.1781,16.99,2673
FVCB,FVCBANKCORP INC,0.472392638,2015,4,1,84.597,16.3,2673
FVCB,FVCBANKCORP INC,-0.244791667,2015,5,1,124.56,24,2673
FVCB,FVCBANKCORP INC,0.0344827586,2015,6,1,94.076,14.5,2673
FVCB,FVCBANKCORP INC,0.02,2015,7,1,97.32,15,2673
FVCB,FVCBANKCORP INC,0.0980392157,2015,8,1,99.2664,15.3,2673
FVCB,FVCBANKCORP INC,-0.001785714,2015,9,1,108.9984,16.8,2673
FVCB,FVCBANKCORP INC,-0.00417412,2015,10,1,108.80376,16.77,2673
FVCB,FVCBANKCORP INC,0.0239520958,2015,11,1,108.3496,16.7,2673
FVCB,FVCBANKCORP INC,0.0087719298,2015,12,1,110.9448,17.1,2673
FVCB,FVCBANKCORP INC,-0.002898551,2016,1,1,111.918,17.25,2673
FVCB,FVCBANKCORP INC,-0.011627907,2016,2,1,111.5936,17.2,2673
FVCB,FVCBANKCORP INC,0.0117647059,2016,3,1,110.296,17,2673
FVCB,FVCBANKCORP INC,0.0494186047,2016,4,1,111.5936,17.2,2673
FVCB,FVCBANKCORP INC,-0.007202216,2016,5,1,117.1084,18.05,2673
