ticker,conm,ret,year,month,EW,VW,PW,n
GCBC,GREENE COUNTY BANCORP INC,-0.035971223,2000,1,1,18.7041875,8.6875,7661
GCBC,GREENE COUNTY BANCORP INC,-0.074626866,2000,2,1,18.031375,8.375,7661
GCBC,GREENE COUNTY BANCORP INC,0.0080645161,2000,3,1,16.68575,7.75,7661
GCBC,GREENE COUNTY BANCORP INC,0.072,2000,4,1,15.4453125,7.8125,7661
GCBC,GREENE COUNTY BANCORP INC,-0.074626866,2000,5,1,16.557375,8.375,7661
GCBC,GREENE COUNTY BANCORP INC,0,2000,6,1,15.32175,7.75,7661
GCBC,GREENE COUNTY BANCORP INC,0.0638709677,2000,7,1,15.84875,7.75,7661
GCBC,GREENE COUNTY BANCORP INC,0.1076923077,2000,8,1,16.615625,8.125,7661
GCBC,GREENE COUNTY BANCORP INC,-0.055555556,2000,9,1,18.405,9,7661
GCBC,GREENE COUNTY BANCORP INC,0.2352941176,2000,10,1,17.3825,8.5,7661
GCBC,GREENE COUNTY BANCORP INC,-0.18452381,2000,11,1,21.4725,10.5,7661
GCBC,GREENE COUNTY BANCORP INC,0.0802919708,2000,12,1,17.5103125,8.5625,7661
GCBC,GREENE COUNTY BANCORP INC,0.0405405405,2001,1,1,18.91625,9.25,7661
GCBC,GREENE COUNTY BANCORP INC,0.0709090909,2001,2,1,19.683125,9.625,7661
GCBC,GREENE COUNTY BANCORP INC,-0.030674847,2001,3,1,20.7111875,10.1875,7661
GCBC,GREENE COUNTY BANCORP INC,-0.063291139,2001,4,1,20.075875,9.875,7661
GCBC,GREENE COUNTY BANCORP INC,0.3081081081,2001,5,1,18.80525,9.25,7661
GCBC,GREENE COUNTY BANCORP INC,-0.099173554,2001,6,1,24.684,12.1,7661
GCBC,GREENE COUNTY BANCORP INC,0.0550458716,2001,7,1,22.236,10.9,7661
GCBC,GREENE COUNTY BANCORP INC,0.2643478261,2001,8,1,23.46,11.5,7661
GCBC,GREENE COUNTY BANCORP INC,-0.023093072,2001,9,1,29.1516,14.29,7661
GCBC,GREENE COUNTY BANCORP INC,-0.011461318,2001,10,1,28.4784,13.96,7661
GCBC,GREENE COUNTY BANCORP INC,0.0869565217,2001,11,1,27.9174,13.8,7661
GCBC,GREENE COUNTY BANCORP INC,0.0033333333,2001,12,1,30.045,15,7661
GCBC,GREENE COUNTY BANCORP INC,0.0465116279,2002,1,1,30.14515,15.05,7661
GCBC,GREENE COUNTY BANCORP INC,0.1447619048,2002,2,1,31.54725,15.75,7661
GCBC,GREENE COUNTY BANCORP INC,0.0135211268,2002,3,1,35.58875,17.75,7661
GCBC,GREENE COUNTY BANCORP INC,-0.013340745,2002,4,1,36.06995,17.99,7661
GCBC,GREENE COUNTY BANCORP INC,0.0028169014,2002,5,1,35.58875,17.75,7661
GCBC,GREENE COUNTY BANCORP INC,0.0235955056,2002,6,1,38.3234,17.8,7661
