ticker,conm,ret,year,month,EW,VW,PW,n
GEVO,GEVO INC,,2011,2,1,,,10283
GEVO,GEVO INC,-0.000507357,2011,3,1,485.6544,19.71,10283
GEVO,GEVO INC,-0.017766497,2011,4,1,509.2647,19.7,10283
GEVO,GEVO INC,-0.003617571,2011,5,1,500.21685,19.35,10283
GEVO,GEVO INC,-0.184128631,2011,6,1,500.56664,19.28,10283
GEVO,GEVO INC,0.0508582327,2011,7,1,408.39799,15.73,10283
GEVO,GEVO INC,-0.354506957,2011,8,1,429.16839,16.53,10283
GEVO,GEVO INC,-0.477975633,2011,9,1,276.96119,10.67,10283
GEVO,GEVO INC,0.3339317774,2011,10,1,144.58049,5.57,10283
GEVO,GEVO INC,-0.172274563,2011,11,1,192.97939,7.43,10283
GEVO,GEVO INC,0.0227642276,2011,12,1,160.31205,6.15,10283
GEVO,GEVO INC,0.3775834658,2012,1,1,163.96143,6.29,10283
GEVO,GEVO INC,0.1552221581,2012,2,1,225.870555,8.665,10283
GEVO,GEVO INC,-0.081918082,2012,3,1,264.87461,10.01,10283
GEVO,GEVO INC,0.0544069641,2012,4,1,243.56257,9.19,10283
GEVO,GEVO INC,-0.373581011,2012,5,1,259.29471,9.69,10283
GEVO,GEVO INC,-0.18121911,2012,6,1,162.42713,6.07,10283
GEVO,GEVO INC,-0.219315895,2012,7,1,133.1463,4.97,10283
GEVO,GEVO INC,-0.087628866,2012,8,1,152.4452,3.88,10283
GEVO,GEVO INC,-0.395480226,2012,9,1,139.22112,3.54,10283
GEVO,GEVO INC,-0.056074766,2012,10,1,84.16192,2.14,10283
GEVO,GEVO INC,-0.207920792,2012,11,1,79.44256,2.02,10283
GEVO,GEVO INC,-0.0375,2012,12,1,63.0528,1.6,10283
GEVO,GEVO INC,0.4935064935,2013,1,1,60.68832,1.54,10283
GEVO,GEVO INC,-0.139130435,2013,2,1,90.6384,2.3,10283
GEVO,GEVO INC,0.1313131313,2013,3,1,78.02784,1.98,10283
GEVO,GEVO INC,-0.176339286,2013,4,1,91.9744,2.24,10283
GEVO,GEVO INC,-0.029810298,2013,5,1,81.266715,1.845,10283
GEVO,GEVO INC,0.1340782123,2013,6,1,78.9032,1.79,10283
GEVO,GEVO INC,-0.093596059,2013,7,1,89.41541,2.03,10283
GEVO,GEVO INC,0,2013,8,1,81.04648,1.84,10283
GEVO,GEVO INC,0.0434782609,2013,9,1,86.36408,1.84,10283
GEVO,GEVO INC,-0.114583333,2013,10,1,90.11904,1.92,10283
GEVO,GEVO INC,0.0470588235,2013,11,1,79.7929,1.7,10283
GEVO,GEVO INC,-0.196629213,2013,12,1,83.9893,1.78,10283
GEVO,GEVO INC,-0.031468531,2014,1,1,93.93956,1.43,10283
GEVO,GEVO INC,-0.018050542,2014,2,1,90.98342,1.385,10283
GEVO,GEVO INC,-0.139705882,2014,3,1,89.34112,1.36,10283
GEVO,GEVO INC,-0.11965812,2014,4,1,76.85964,1.17,10283
GEVO,GEVO INC,-0.104757282,2014,5,1,70.59929,1.03,10283
GEVO,GEVO INC,-0.067346275,2014,6,1,63.4939618,0.9221,10283
GEVO,GEVO INC,-0.406395349,2014,7,1,59.21788,0.86,10283
GEVO,GEVO INC,0.0190009794,2014,8,1,35.277592,0.5105,10283
GEVO,GEVO INC,-0.341599385,2014,9,1,51.5539008,0.5202,10283
GEVO,GEVO INC,0.0449635036,2014,10,1,33.94312,0.3425,10283
GEVO,GEVO INC,0.229673093,2014,11,1,35.4693216,0.3579,10283
GEVO,GEVO INC,-0.272892524,2014,12,1,43.8308793,0.4401,10283
GEVO,GEVO INC,-0.59375,2015,1,1,31.86976,0.32,10283
GEVO,GEVO INC,1.0769230769,2015,2,1,12.94709,0.13,10283
GEVO,GEVO INC,-0.255555556,2015,3,1,35.87976,0.27,10283
GEVO,GEVO INC,-0.167479204,2015,4,1,27.869253,0.201,10283
GEVO,GEVO INC,0.2231075697,2015,5,1,23.59902,2.51,10283
GEVO,GEVO INC,0.0651465798,2015,6,1,47.84595,3.07,10283
GEVO,GEVO INC,-0.19266055,2015,7,1,50.96295,3.27,10283
GEVO,GEVO INC,-0.087121212,2015,8,1,41.1444,2.64,10283
GEVO,GEVO INC,-0.286307054,2015,9,1,39.76259,2.41,10283
GEVO,GEVO INC,0.1686046512,2015,10,1,28.37828,1.72,10283
GEVO,GEVO INC,-0.273631841,2015,11,1,33.16299,2.01,10283
GEVO,GEVO INC,-0.575342466,2015,12,1,24.74554,1.46,10283
GEVO,GEVO INC,-0.233870968,2016,1,1,12.47564,0.62,10283
GEVO,GEVO INC,-0.199578947,2016,2,1,9.55795,0.475,10283
GEVO,GEVO INC,-0.289847449,2016,3,1,7.6503844,0.3802,10283
GEVO,GEVO INC,-0.055185185,2016,4,1,7.35264,0.27,10283
GEVO,GEVO INC,0.3720109761,2016,5,1,9.2226303,0.2551,10283
GEVO,GEVO INC,0.6857142857,2016,6,1,13.46065,0.35,10283
GEVO,GEVO INC,-0.097966102,2016,7,1,43.58271,0.59,10283
GEVO,GEVO INC,0.1086057873,2016,8,1,47.490867,0.5322,10283
GEVO,GEVO INC,-0.183050847,2016,9,1,52.81857,0.59,10283
GEVO,GEVO INC,-0.200622407,2016,10,1,61.72974,0.482,10283
GEVO,GEVO INC,-0.156501427,2016,11,1,50.770981,0.3853,10283
GEVO,GEVO INC,-0.467692308,2016,12,1,44.345275,0.325,10283
GEVO,GEVO INC,-0.132947977,2017,1,1,23.605331,0.173,10283
GEVO,GEVO INC,-0.663333333,2017,2,1,20.466,3,10283
GEVO,GEVO INC,0.1287128713,2017,3,1,15.0591,1.01,10283
GEVO,GEVO INC,-0.087719298,2017,4,1,16.9974,1.14,10283
GEVO,GEVO INC,-0.318269231,2017,5,1,15.678,1.04,10283
GEVO,GEVO INC,-0.028067701,2017,6,1,10.688175,0.709,10283
GEVO,GEVO INC,-0.084312872,2017,7,1,10.3881825,0.6891,10283
GEVO,GEVO INC,0.030110935,2017,8,1,9.512325,0.631,10283
GEVO,GEVO INC,-0.039538462,2017,9,1,10.5417,0.65,10283
GEVO,GEVO INC,0.0171391959,2017,10,1,10.1248974,0.6243,10283
GEVO,GEVO INC,-0.026614173,2017,11,1,10.29843,0.635,10283
GEVO,GEVO INC,-0.044976541,2017,12,1,13.4813791,0.6181,10283
GEVO,GEVO INC,-0.07674064,2018,1,1,12.8750333,0.5903,10283
GEVO,GEVO INC,-0.171559633,2018,2,1,11.886995,0.545,10283
GEVO,GEVO INC,0.0212624585,2018,3,1,10.2043515,0.4515,10283
GEVO,GEVO INC,-0.219475168,2018,4,1,10.4213211,0.4611,10283
GEVO,GEVO INC,-0.343706585,2018,5,1,8.1715295,0.3599,10283
GEVO,GEVO INC,-0.195596952,2018,6,1,5.7146228,0.2362,10283
GEVO,GEVO INC,0.0236842105,2018,7,1,17.5674,3.8,10283
GEVO,GEVO INC,-0.010282776,2018,8,1,17.98347,3.89,10283
GEVO,GEVO INC,0.0285714286,2018,9,1,31.12725,3.85,10283
GEVO,GEVO INC,-0.23989899,2018,10,1,32.0166,3.96,10283
GEVO,GEVO INC,-0.059800664,2018,11,1,24.33585,3.01,10283
GEVO,GEVO INC,-0.307420495,2018,12,1,24.4512,2.83,10283
GEVO,GEVO INC,0.3316326531,2019,1,1,16.9344,1.96,10283
GEVO,GEVO INC,-0.107279693,2019,2,1,22.5504,2.61,10283
GEVO,GEVO INC,-0.060085837,2019,3,1,20.1312,2.33,10283
GEVO,GEVO INC,-0.00913242,2019,4,1,25.53102,2.19,10283
GEVO,GEVO INC,-0.138248848,2019,5,1,25.79262,2.17,10283
