ticker,conm,ret,year,month,EW,VW,PW,n
GIGU.1,GIGCAPITAL INC,,2017,12,1,,,5147
GIGU.1,GIGCAPITAL INC,0.015,2018,1,1,129.9,10,5147
GIGU.1,GIGCAPITAL INC,0.0088669951,2018,2,1,,10.15,5147
GIGU.1,GIGCAPITAL INC,0.015625,2018,3,1,,10.24,5147
GIGU.1,GIGCAPITAL INC,0,2018,4,1,,10.4,5147
GIGU.1,GIGCAPITAL INC,0.0096153846,2018,5,1,,10.4,5147
GIGU.1,GIGCAPITAL INC,0,2018,6,1,,10.5,5147
GIGU.1,GIGCAPITAL INC,0.0152285714,2018,7,1,,10.5,5147
GIGU.1,GIGCAPITAL INC,0.0075141418,2018,8,1,,10.6599,5147
GIGU.1,GIGCAPITAL INC,0,2018,9,1,,10.74,5147
GIGU.1,GIGCAPITAL INC,0.0046554935,2018,10,1,,10.74,5147
GIGU.1,GIGCAPITAL INC,-0.019462465,2018,11,1,,10.79,5147
GIGU.1,GIGCAPITAL INC,-0.00094518,2018,12,1,,10.58,5147
GIGU.1,GIGCAPITAL INC,0.0009460738,2019,1,1,,10.57,5147
GIGU.1,GIGCAPITAL INC,0.0082514178,2019,2,1,,10.58,5147
GIGU.1,GIGCAPITAL INC,0.0218143298,2019,3,1,,10.6673,5147
GIGU.1,GIGCAPITAL INC,0,2019,4,1,,10.9,5147
GIGU.1,GIGCAPITAL INC,-0.004587156,2019,5,1,,10.9,5147
GIGU.1,GIGCAPITAL INC,0.0133087558,2019,6,1,,10.85,5147
GIGU.1,GIGCAPITAL INC,0.0005093502,2019,7,1,,10.9944,5147
GIGU.1,GIGCAPITAL INC,-0.004545455,2019,8,1,,11,5147
GIGU.1,GIGCAPITAL INC,0.0821917808,2019,9,1,,10.95,5147
GIGU.1,GIGCAPITAL INC,0.011814346,2019,10,1,,11.85,5147
GIGU.1,GIGCAPITAL INC,0.0633861551,2019,11,1,,11.99,5147
