ticker,conm,ret,year,month,EW,VW,PW,n
GLAD,GLADSTONE CAPITAL CORP,,2001,8,1,,,8541
GLAD,GLADSTONE CAPITAL CORP,-0.067052023,2001,9,1,,17.3,8541
GLAD,GLADSTONE CAPITAL CORP,0.0625774473,2001,10,1,133.05816,16.14,8541
GLAD,GLADSTONE CAPITAL CORP,-0.064139942,2001,11,1,172.529,17.15,8541
GLAD,GLADSTONE CAPITAL CORP,0.1638629283,2001,12,1,161.463,16.05,8541
GLAD,GLADSTONE CAPITAL CORP,-0.027567568,2002,1,1,186.11,18.5,8541
GLAD,GLADSTONE CAPITAL CORP,-0.043913285,2002,2,1,180.9794,17.99,8541
GLAD,GLADSTONE CAPITAL CORP,0.0470930233,2002,3,1,173.032,17.2,8541
GLAD,GLADSTONE CAPITAL CORP,0.0646067416,2002,4,1,179.068,17.8,8541
GLAD,GLADSTONE CAPITAL CORP,-0.018469657,2002,5,1,190.637,18.95,8541
GLAD,GLADSTONE CAPITAL CORP,-0.01827957,2002,6,1,187.116,18.6,8541
GLAD,GLADSTONE CAPITAL CORP,-0.002770083,2002,7,1,181.583,18.05,8541
GLAD,GLADSTONE CAPITAL CORP,-0.041666667,2002,8,1,181.08,18,8541
GLAD,GLADSTONE CAPITAL CORP,-0.009275362,2002,9,1,173.742,17.25,8541
GLAD,GLADSTONE CAPITAL CORP,-0.018957346,2002,10,1,170.01536,16.88,8541
GLAD,GLADSTONE CAPITAL CORP,-0.010869565,2002,11,1,166.79232,16.56,8541
GLAD,GLADSTONE CAPITAL CORP,0.0195360195,2002,12,1,164.97936,16.38,8541
GLAD,GLADSTONE CAPITAL CORP,-0.016393443,2003,1,1,165.88584,16.47,8541
GLAD,GLADSTONE CAPITAL CORP,-0.040123457,2003,2,1,163.1664,16.2,8541
GLAD,GLADSTONE CAPITAL CORP,0.0565916399,2003,3,1,156.6196,15.55,8541
GLAD,GLADSTONE CAPITAL CORP,0.1316440049,2003,4,1,162.96496,16.18,8541
GLAD,GLADSTONE CAPITAL CORP,0.0480611688,2003,5,1,184.41832,18.31,8541
GLAD,GLADSTONE CAPITAL CORP,0.0823345492,2003,6,1,193.28168,19.19,8541
GLAD,GLADSTONE CAPITAL CORP,-0.0234375,2003,7,1,206.27456,20.48,8541
GLAD,GLADSTONE CAPITAL CORP,-0.014,2003,8,1,201.44,20,8541
GLAD,GLADSTONE CAPITAL CORP,0.0030425963,2003,9,1,198.61984,19.72,8541
GLAD,GLADSTONE CAPITAL CORP,0.042159383,2003,10,1,195.9004,19.45,8541
GLAD,GLADSTONE CAPITAL CORP,0.0590277778,2003,11,1,203.05152,20.16,8541
GLAD,GLADSTONE CAPITAL CORP,0.0574387947,2003,12,1,213.92928,21.24,8541
GLAD,GLADSTONE CAPITAL CORP,0.0384787472,2004,1,1,225.3327,22.35,8541
GLAD,GLADSTONE CAPITAL CORP,-0.061861472,2004,2,1,232.8942,23.1,8541
GLAD,GLADSTONE CAPITAL CORP,0.0444784565,2004,3,1,217.378002,21.561,8541
GLAD,GLADSTONE CAPITAL CORP,-0.0805444,2004,4,1,225.93762,22.41,8541
GLAD,GLADSTONE CAPITAL CORP,-0.013421181,2004,5,1,206.58018,20.49,8541
GLAD,GLADSTONE CAPITAL CORP,0.0082089552,2004,6,1,203.1105,20.1,8541
GLAD,GLADSTONE CAPITAL CORP,0.0347394541,2004,7,1,203.61575,20.15,8541
GLAD,GLADSTONE CAPITAL CORP,0.1389290883,2004,8,1,209.47665,20.73,8541
GLAD,GLADSTONE CAPITAL CORP,-0.028097063,2004,9,1,237.55437,23.49,8541
GLAD,GLADSTONE CAPITAL CORP,0.0224570674,2004,10,1,252.37623,22.71,8541
GLAD,GLADSTONE CAPITAL CORP,0.0670995671,2004,11,1,256.7103,23.1,8541
GLAD,GLADSTONE CAPITAL CORP,-0.02894415,2004,12,1,272.60189,24.53,8541
