ticker,conm,ret,year,month,EW,VW,PW,n
GLDB,GOLD BANC CORP INC,-0.013888889,2000,1,1,154.638,9,6753
GLDB,GOLD BANC CORP INC,-0.110422535,2000,2,1,152.49025,8.875,6753
GLDB,GOLD BANC CORP INC,-0.158730159,2000,3,1,135.30825,7.875,6753
GLDB,GOLD BANC CORP INC,-0.063018868,2000,4,1,252.326375,6.625,6753
GLDB,GOLD BANC CORP INC,-0.101010101,2000,5,1,235.6633125,6.1875,6753
GLDB,GOLD BANC CORP INC,-0.101123596,2000,6,1,211.8589375,5.5625,6753
GLDB,GOLD BANC CORP INC,-0.025,2000,7,1,188.965,5,6753
GLDB,GOLD BANC CORP INC,0.1034615385,2000,8,1,184.240875,4.875,6753
GLDB,GOLD BANC CORP INC,-0.043731778,2000,9,1,202.54685938,5.359375,6753
GLDB,GOLD BANC CORP INC,-0.097560976,2000,10,1,192.11575,5.125,6753
GLDB,GOLD BANC CORP INC,-0.157837838,2000,11,1,173.37275,4.625,6753
GLDB,GOLD BANC CORP INC,0.2096774194,2000,12,1,145.25825,3.875,6753
GLDB,GOLD BANC CORP INC,0.34,2001,1,1,175.715625,4.6875,6753
GLDB,GOLD BANC CORP INC,0.1474626866,2001,2,1,235.4589375,6.28125,6753
GLDB,GOLD BANC CORP INC,-0.02173913,2001,3,1,269.430625,7.1875,6753
GLDB,GOLD BANC CORP INC,-0.0016,2001,4,1,258.046875,7.03125,6753
GLDB,GOLD BANC CORP INC,0.0284900285,2001,5,1,257.634,7.02,6753
GLDB,GOLD BANC CORP INC,0.075,2001,6,1,257.6448,7.2,6753
GLDB,GOLD BANC CORP INC,-0.016795866,2001,7,1,276.96816,7.74,6753
GLDB,GOLD BANC CORP INC,-0.018396846,2001,8,1,272.31624,7.61,6753
GLDB,GOLD BANC CORP INC,0.0456375839,2001,9,1,261.4652,7.45,6753
GLDB,GOLD BANC CORP INC,-0.041078306,2001,10,1,273.39784,7.79,6753
GLDB,GOLD BANC CORP INC,-0.040160643,2001,11,1,262.16712,7.47,6753
GLDB,GOLD BANC CORP INC,-0.005594406,2001,12,1,246.4891,7.15,6753
GLDB,GOLD BANC CORP INC,-0.008438819,2002,1,1,245.11014,7.11,6753
GLDB,GOLD BANC CORP INC,0.0340425532,2002,2,1,243.0417,7.05,6753
GLDB,GOLD BANC CORP INC,0.2379642366,2002,3,1,250.62598,7.27,6753
GLDB,GOLD BANC CORP INC,0.1111111111,2002,4,1,302.787,9,6753
GLDB,GOLD BANC CORP INC,0.077,2002,5,1,336.43,10,6753
GLDB,GOLD BANC CORP INC,0.020372093,2002,6,1,365.14525,10.75,6753
GLDB,GOLD BANC CORP INC,-0.116601331,2002,7,1,372.584023,10.969,6753
GLDB,GOLD BANC CORP INC,0.0268317853,2002,8,1,329.14023,9.69,6753
GLDB,GOLD BANC CORP INC,-0.023162135,2002,9,1,334.75023,9.93,6753
GLDB,GOLD BANC CORP INC,0.0144329897,2002,10,1,326.9967,9.7,6753
GLDB,GOLD BANC CORP INC,-0.00203252,2002,11,1,380.9556,9.84,6753
GLDB,GOLD BANC CORP INC,0.0123469388,2002,12,1,386.7668,9.8,6753
GLDB,GOLD BANC CORP INC,0.0482814232,2003,1,1,391.542186,9.921,6753
GLDB,GOLD BANC CORP INC,-0.051923077,2003,2,1,410.4464,10.4,6753
GLDB,GOLD BANC CORP INC,-0.181078332,2003,3,1,387.95078,9.83,6753
GLDB,GOLD BANC CORP INC,0.0931677019,2003,4,1,317.7013,8.05,6753
GLDB,GOLD BANC CORP INC,0.1238636364,2003,5,1,347.556,8.8,6753
GLDB,GOLD BANC CORP INC,0.0618661258,2003,6,1,389.4207,9.86,6753
GLDB,GOLD BANC CORP INC,0.0553963706,2003,7,1,413.51265,10.47,6753
GLDB,GOLD BANC CORP INC,-0.006334842,2003,8,1,436.41975,11.05,6753
GLDB,GOLD BANC CORP INC,0.1086757991,2003,9,1,426.29445,10.95,6753
GLDB,GOLD BANC CORP INC,0.0682866557,2003,10,1,472.62234,12.14,6753
GLDB,GOLD BANC CORP INC,0.0201715743,2003,11,1,503.728209,12.939,6753
GLDB,GOLD BANC CORP INC,0.0651515152,2003,12,1,520.9512,13.2,6753
GLDB,GOLD BANC CORP INC,-0.019914651,2004,1,1,554.89196,14.06,6753
GLDB,GOLD BANC CORP INC,0.179245283,2004,2,1,547.65854,13.78,6753
GLDB,GOLD BANC CORP INC,0.0049321825,2004,3,1,644.63146,16.22,6753
GLDB,GOLD BANC CORP INC,0.0036809816,2004,4,1,649.4735,16.3,6753
GLDB,GOLD BANC CORP INC,0.0030562347,2004,5,1,651.8642,16.36,6753
GLDB,GOLD BANC CORP INC,-0.053724054,2004,6,1,653.49648,16.38,6753
GLDB,GOLD BANC CORP INC,0.0051612903,2004,7,1,618.388,15.5,6753
GLDB,GOLD BANC CORP INC,-0.003215434,2004,8,1,620.3828,15.55,6753
GLDB,GOLD BANC CORP INC,-0.129677419,2004,9,1,621.519,15.5,6753
GLDB,GOLD BANC CORP INC,0.0785767235,2004,10,1,540.92202,13.49,6753
GLDB,GOLD BANC CORP INC,0.0302405498,2004,11,1,582.7275,14.55,6753
GLDB,GOLD BANC CORP INC,-0.022727273,2004,12,1,601.15264,14.96,6753
GLDB,GOLD BANC CORP INC,-0.011627907,2005,1,1,587.49008,14.62,6753
GLDB,GOLD BANC CORP INC,-0.014532872,2005,2,1,580.6588,14.45,6753
GLDB,GOLD BANC CORP INC,-0.012667136,2005,3,1,571.01464,14.21,6753
GLDB,GOLD BANC CORP INC,-0.012829651,2005,4,1,631.89717,14.03,6753
GLDB,GOLD BANC CORP INC,0.0065217391,2005,5,1,546.618,13.8,6753
GLDB,GOLD BANC CORP INC,0.0475161987,2005,6,1,543.94629,13.89,6753
GLDB,GOLD BANC CORP INC,0.0446735395,2005,7,1,569.79255,14.55,6753
GLDB,GOLD BANC CORP INC,0.0006578947,2005,8,1,587.9816,15.2,6753
GLDB,GOLD BANC CORP INC,-0.017150396,2005,9,1,585.91884,15.16,6753
GLDB,GOLD BANC CORP INC,-0.002013423,2005,10,1,575.8701,14.9,6753
GLDB,GOLD BANC CORP INC,0.2213225371,2005,11,1,566.1981,14.82,6753
GLDB,GOLD BANC CORP INC,0.0066298343,2005,12,1,691.5105,18.1,6753
GLDB,GOLD BANC CORP INC,-0.003293085,2006,1,1,696.0951,18.22,6753
GLDB,GOLD BANC CORP INC,0.0071585903,2006,2,1,693.8028,18.16,6753
GLDB,GOLD BANC CORP INC,0.0067910334,2006,3,1,698.76945,18.29,6753
GLDB,GOLD BANC CORP INC,0,2006,4,1,699.62248,18.32,6753
