ticker,conm,ret,year,month,EW,VW,PW,n
GLF,GULFMARK OFFSHORE INC,,2017,11,1,,,690
GLF,GULFMARK OFFSHORE INC,-0.025982906,2017,12,1,206.00775,29.25,690
GLF,GULFMARK OFFSHORE INC,0,2018,1,1,200.65507,28.49,690
GLF,GULFMARK OFFSHORE INC,0.0354510355,2018,2,1,200.65507,28.49,690
GLF,GULFMARK OFFSHORE INC,-0.016949153,2018,3,1,207.7685,29.5,690
GLF,GULFMARK OFFSHORE INC,0.1724137931,2018,4,1,204.247,29,690
GLF,GULFMARK OFFSHORE INC,0.0058823529,2018,5,1,245.548,34,690
GLF,GULFMARK OFFSHORE INC,-0.020467836,2018,6,1,246.0006,34.2,690
GLF,GULFMARK OFFSHORE INC,0.1250746269,2018,7,1,240.9655,33.5,690
GLF,GULFMARK OFFSHORE INC,-0.031573362,2018,8,1,282.675,37.69,690
GLF,GULFMARK OFFSHORE INC,0.0219178082,2018,9,1,275.064,36.5,690
GLF,GULFMARK OFFSHORE INC,-0.096782842,2018,10,1,281.0928,37.3,690
GLF,GULFMARK OFFSHORE INC,-0.157910359,2018,11,1,257.79588,33.69,690
