ticker,conm,ret,year,month,EW,VW,PW,n
GLYC,GLYCOMIMETICS INC,,2014,1,1,,,2774
GLYC,GLYCOMIMETICS INC,0.2251256281,2014,2,1,174.67225,9.95,2774
GLYC,GLYCOMIMETICS INC,0.3396226415,2014,3,1,213.99545,12.19,2774
GLYC,GLYCOMIMETICS INC,-0.187385181,2014,4,1,286.67315,16.33,2774
GLYC,GLYCOMIMETICS INC,-0.460437076,2014,5,1,246.91489,13.27,2774
GLYC,GLYCOMIMETICS INC,0.1773743017,2014,6,1,134.55788,7.16,2774
GLYC,GLYCOMIMETICS INC,-0.028469751,2014,7,1,158.42499,8.43,2774
GLYC,GLYCOMIMETICS INC,-0.004884005,2014,8,1,153.91467,8.19,2774
GLYC,GLYCOMIMETICS INC,-0.148466258,2014,9,1,153.97795,8.15,2774
GLYC,GLYCOMIMETICS INC,0.0273775216,2014,10,1,131.11742,6.94,2774
GLYC,GLYCOMIMETICS INC,0.3576437588,2014,11,1,134.72135,7.13,2774
GLYC,GLYCOMIMETICS INC,-0.256198347,2014,12,1,182.9036,9.68,2774
GLYC,GLYCOMIMETICS INC,0.0222222222,2015,1,1,136.044,7.2,2774
GLYC,GLYCOMIMETICS INC,0.1304347826,2015,2,1,139.0672,7.36,2774
GLYC,GLYCOMIMETICS INC,0,2015,3,1,157.2064,8.32,2774
GLYC,GLYCOMIMETICS INC,-0.003605769,2015,4,1,158.0384,8.32,2774
GLYC,GLYCOMIMETICS INC,-0.038600724,2015,5,1,157.46855,8.29,2774
GLYC,GLYCOMIMETICS INC,-0.00250941,2015,6,1,151.48579,7.97,2774
GLYC,GLYCOMIMETICS INC,-0.036477987,2015,7,1,151.18515,7.95,2774
GLYC,GLYCOMIMETICS INC,-0.084856397,2015,8,1,145.67022,7.66,2774
GLYC,GLYCOMIMETICS INC,-0.201141227,2015,9,1,133.32319,7.01,2774
GLYC,GLYCOMIMETICS INC,0.1767857143,2015,10,1,106.5064,5.6,2774
GLYC,GLYCOMIMETICS INC,0.0591805766,2015,11,1,125.33521,6.59,2774
GLYC,GLYCOMIMETICS INC,-0.180515759,2015,12,1,132.88524,6.98,2774
GLYC,GLYCOMIMETICS INC,-0.176573427,2016,1,1,108.89736,5.72,2774
GLYC,GLYCOMIMETICS INC,-0.036093418,2016,2,1,89.66898,4.71,2774
GLYC,GLYCOMIMETICS INC,0.3127753304,2016,3,1,86.43252,4.54,2774
GLYC,GLYCOMIMETICS INC,0.0570469799,2016,4,1,113.62144,5.96,2774
GLYC,GLYCOMIMETICS INC,0.3079365079,2016,5,1,121.779,6.3,2774
GLYC,GLYCOMIMETICS INC,-0.117718447,2016,6,1,159.444,8.24,2774
GLYC,GLYCOMIMETICS INC,0.1485557084,2016,7,1,164.16387,7.27,2774
GLYC,GLYCOMIMETICS INC,-0.11257485,2016,8,1,188.55135,8.35,2774
GLYC,GLYCOMIMETICS INC,-0.035087719,2016,9,1,170.84496,7.41,2774
GLYC,GLYCOMIMETICS INC,-0.156643357,2016,10,1,164.8504,7.15,2774
GLYC,GLYCOMIMETICS INC,0.0530679934,2016,11,1,139.02768,6.03,2774
GLYC,GLYCOMIMETICS INC,-0.039370079,2016,12,1,146.46275,6.35,2774
GLYC,GLYCOMIMETICS INC,-0.067213115,2017,1,1,140.6965,6.1,2774
GLYC,GLYCOMIMETICS INC,0.0738137083,2017,2,1,131.23985,5.69,2774
GLYC,GLYCOMIMETICS INC,-0.111292962,2017,3,1,140.92715,6.11,2774
GLYC,GLYCOMIMETICS INC,-0.208103131,2017,4,1,126.6819,5.43,2774
GLYC,GLYCOMIMETICS INC,1.9511627907,2017,5,1,102.5808,4.3,2774
GLYC,GLYCOMIMETICS INC,-0.120567376,2017,6,1,391.56264,12.69,2774
GLYC,GLYCOMIMETICS INC,0.023297491,2017,7,1,344.35296,11.16,2774
GLYC,GLYCOMIMETICS INC,0.0683012259,2017,8,1,352.37552,11.42,2774
GLYC,GLYCOMIMETICS INC,0.1467213115,2017,9,1,399.2206,12.2,2774
GLYC,GLYCOMIMETICS INC,-0.177984274,2017,10,1,457.79477,13.99,2774
GLYC,GLYCOMIMETICS INC,0.2269565217,2017,11,1,376.3145,11.5,2774
GLYC,GLYCOMIMETICS INC,0.1899362155,2017,12,1,484.50918,14.11,2774
GLYC,GLYCOMIMETICS INC,0.3394877904,2018,1,1,576.53502,16.79,2774
GLYC,GLYCOMIMETICS INC,0.0231213873,2018,2,1,772.26162,22.49,2774
GLYC,GLYCOMIMETICS INC,-0.294654498,2018,3,1,790.11738,23.01,2774
GLYC,GLYCOMIMETICS INC,0.0406654344,2018,4,1,671.2728,16.23,2774
GLYC,GLYCOMIMETICS INC,0.0580224985,2018,5,1,717.67299,16.89,2774
GLYC,GLYCOMIMETICS INC,-0.097369894,2018,6,1,759.42139,17.87,2774
GLYC,GLYCOMIMETICS INC,-0.089274644,2018,7,1,685.47661,16.13,2774
GLYC,GLYCOMIMETICS INC,0.0020422056,2018,8,1,624.28093,14.69,2774
GLYC,GLYCOMIMETICS INC,-0.02173913,2018,9,1,633.79904,14.72,2774
GLYC,GLYCOMIMETICS INC,-0.126388889,2018,10,1,620.0208,14.4,2774
GLYC,GLYCOMIMETICS INC,-0.086645469,2018,11,1,541.65706,12.58,2774
GLYC,GLYCOMIMETICS INC,-0.175805048,2018,12,1,495.64413,11.49,2774
GLYC,GLYCOMIMETICS INC,0.1826821542,2019,1,1,408.50739,9.47,2774
GLYC,GLYCOMIMETICS INC,0.0973214286,2019,2,1,483.1344,11.2,2774
GLYC,GLYCOMIMETICS INC,0.0138323841,2019,3,1,530.15373,12.29,2774
GLYC,GLYCOMIMETICS INC,-0.023274478,2019,4,1,537.88574,12.46,2774
