ticker,conm,ret,year,month,EW,VW,PW,n
GMBL,ESPORTS ENTMT GROUP INC,,2010,7,1,,,10161
GMBL,ESPORTS ENTMT GROUP INC,0,2010,8,1,45,1.5,10161
GMBL,ESPORTS ENTMT GROUP INC,0,2010,9,1,45,1.5,10161
GMBL,ESPORTS ENTMT GROUP INC,0,2010,10,1,45,1.5,10161
GMBL,ESPORTS ENTMT GROUP INC,0,2010,11,1,45,1.5,10161
GMBL,ESPORTS ENTMT GROUP INC,0.1,2010,12,1,45,1.5,10161
GMBL,ESPORTS ENTMT GROUP INC,0.0606060606,2011,1,1,49.5,1.65,10161
GMBL,ESPORTS ENTMT GROUP INC,0,2011,2,1,52.5,1.75,10161
GMBL,ESPORTS ENTMT GROUP INC,0.0285714286,2011,3,1,52.5,1.75,10161
GMBL,ESPORTS ENTMT GROUP INC,-0.694444444,2011,4,1,54,1.8,10161
GMBL,ESPORTS ENTMT GROUP INC,-0.781818182,2011,5,1,16.5,0.55,10161
GMBL,ESPORTS ENTMT GROUP INC,-0.083333333,2011,6,1,3.6,0.12,10161
GMBL,ESPORTS ENTMT GROUP INC,-0.181818182,2011,7,1,3.3,0.11,10161
GMBL,ESPORTS ENTMT GROUP INC,0,2011,8,1,2.7,0.09,10161
GMBL,ESPORTS ENTMT GROUP INC,0,2011,9,1,2.7,0.09,10161
GMBL,ESPORTS ENTMT GROUP INC,-0.444444444,2011,10,1,2.7,0.09,10161
GMBL,ESPORTS ENTMT GROUP INC,0,2011,11,1,1.5,0.05,10161
GMBL,ESPORTS ENTMT GROUP INC,0.4,2011,12,1,1.5,0.05,10161
GMBL,ESPORTS ENTMT GROUP INC,0,2012,1,1,2.1,0.07,10161
GMBL,ESPORTS ENTMT GROUP INC,0,2012,2,1,2.1,0.07,10161
GMBL,ESPORTS ENTMT GROUP INC,0,2012,3,1,2.1,0.07,10161
GMBL,ESPORTS ENTMT GROUP INC,-0.285714286,2012,4,1,2.1,0.07,10161
GMBL,ESPORTS ENTMT GROUP INC,0,2012,5,1,1.5,0.05,10161
GMBL,ESPORTS ENTMT GROUP INC,-0.2,2012,6,1,1.5,0.05,10161
GMBL,ESPORTS ENTMT GROUP INC,0,2012,7,1,1.2,0.04,10161
GMBL,ESPORTS ENTMT GROUP INC,0,2012,8,1,1.2,0.04,10161
GMBL,ESPORTS ENTMT GROUP INC,0,2012,9,1,1.2,0.04,10161
GMBL,ESPORTS ENTMT GROUP INC,0,2012,10,1,1.2,0.04,10161
GMBL,ESPORTS ENTMT GROUP INC,0,2012,11,1,1.2,0.04,10161
GMBL,ESPORTS ENTMT GROUP INC,0,2012,12,1,1.2,0.04,10161
GMBL,ESPORTS ENTMT GROUP INC,0,2013,1,1,1.2,0.04,10161
GMBL,ESPORTS ENTMT GROUP INC,7.75,2013,2,1,1.2,0.04,10161
GMBL,ESPORTS ENTMT GROUP INC,-0.428571429,2013,3,1,10.5,0.35,10161
GMBL,ESPORTS ENTMT GROUP INC,1.55,2013,4,1,6,0.2,10161
GMBL,ESPORTS ENTMT GROUP INC,-0.941176471,2013,5,1,15.3,0.51,10161
GMBL,ESPORTS ENTMT GROUP INC,0,2013,6,1,0.9,0.03,10161
GMBL,ESPORTS ENTMT GROUP INC,0,2013,7,1,0.9,0.03,10161
GMBL,ESPORTS ENTMT GROUP INC,0.6666666667,2013,8,1,0.9,0.03,10161
GMBL,ESPORTS ENTMT GROUP INC,0,2013,9,1,1.5,0.05,10161
GMBL,ESPORTS ENTMT GROUP INC,0,2013,10,1,1.5,0.05,10161
