ticker,conm,ret,year,month,EW,VW,PW,n
GPI,GROUP 1 AUTOMOTIVE INC,-0.107623318,2000,1,1,296.116125,13.9375,7136
GPI,GROUP 1 AUTOMOTIVE INC,-0.216080402,2000,2,1,264.247125,12.4375,7136
GPI,GROUP 1 AUTOMOTIVE INC,0.1923076923,2000,3,1,207.1485,9.75,7136
GPI,GROUP 1 AUTOMOTIVE INC,0.0215053763,2000,4,1,246.98475,11.625,7136
GPI,GROUP 1 AUTOMOTIVE INC,-0.031578947,2000,5,1,265.631875,11.875,7136
GPI,GROUP 1 AUTOMOTIVE INC,0.0434782609,2000,6,1,257.83,11.5,7136
GPI,GROUP 1 AUTOMOTIVE INC,-0.005208333,2000,7,1,269.04,12,7136
GPI,GROUP 1 AUTOMOTIVE INC,-0.078534031,2000,8,1,267.63875,11.9375,7136
GPI,GROUP 1 AUTOMOTIVE INC,-0.011363636,2000,9,1,246.62,11,7136
GPI,GROUP 1 AUTOMOTIVE INC,-0.086206897,2000,10,1,243.8175,10.875,7136
GPI,GROUP 1 AUTOMOTIVE INC,-0.094339623,2000,11,1,222.79875,9.9375,7136
GPI,GROUP 1 AUTOMOTIVE INC,0.0416666667,2000,12,1,201.78,9,7136
GPI,GROUP 1 AUTOMOTIVE INC,0.136,2001,1,1,186.91875,9.375,7136
GPI,GROUP 1 AUTOMOTIVE INC,0.1643192488,2001,2,1,212.3397,10.65,7136
GPI,GROUP 1 AUTOMOTIVE INC,0.0120967742,2001,3,1,247.2312,12.4,7136
GPI,GROUP 1 AUTOMOTIVE INC,0.4741035857,2001,4,1,246.99655,12.55,7136
GPI,GROUP 1 AUTOMOTIVE INC,0.3783783784,2001,5,1,359.344,18.5,7136
GPI,GROUP 1 AUTOMOTIVE INC,0.1607843137,2001,6,1,496.7655,25.5,7136
GPI,GROUP 1 AUTOMOTIVE INC,0.0746621622,2001,7,1,576.6376,29.6,7136
GPI,GROUP 1 AUTOMOTIVE INC,-0.072618673,2001,8,1,619.69061,31.81,7136
GPI,GROUP 1 AUTOMOTIVE INC,-0.1,2001,9,1,575.7515,29.5,7136
GPI,GROUP 1 AUTOMOTIVE INC,0.0094161959,2001,10,1,518.17635,26.55,7136
GPI,GROUP 1 AUTOMOTIVE INC,0.1634328358,2001,11,1,607.1004,26.8,7136
GPI,GROUP 1 AUTOMOTIVE INC,-0.085631815,2001,12,1,709.1891,31.18,7136
GPI,GROUP 1 AUTOMOTIVE INC,0.0084180989,2002,1,1,648.45995,28.51,7136
GPI,GROUP 1 AUTOMOTIVE INC,0.3053913043,2002,2,1,653.3725,28.75,7136
GPI,GROUP 1 AUTOMOTIVE INC,0.0405009326,2002,3,1,852.90678,37.53,7136
GPI,GROUP 1 AUTOMOTIVE INC,0.1226632522,2002,4,1,890.34,39.05,7136
GPI,GROUP 1 AUTOMOTIVE INC,-0.024863139,2002,5,1,1006.17184,43.84,7136
GPI,GROUP 1 AUTOMOTIVE INC,-0.107602339,2002,6,1,983.89125,42.75,7136
GPI,GROUP 1 AUTOMOTIVE INC,-0.301179554,2002,7,1,878.02225,38.15,7136
GPI,GROUP 1 AUTOMOTIVE INC,0.0240060015,2002,8,1,613.5799,26.66,7136
GPI,GROUP 1 AUTOMOTIVE INC,-0.181318681,2002,9,1,631.9131,27.3,7136
GPI,GROUP 1 AUTOMOTIVE INC,-0.054138702,2002,10,1,517.33545,22.35,7136
GPI,GROUP 1 AUTOMOTIVE INC,0.1234626301,2002,11,1,489.32758,21.14,7136
GPI,GROUP 1 AUTOMOTIVE INC,0.0054736842,2002,12,1,534.1375,23.75,7136
GPI,GROUP 1 AUTOMOTIVE INC,0.041038526,2003,1,1,537.0612,23.88,7136
GPI,GROUP 1 AUTOMOTIVE INC,-0.06315366,2003,2,1,559.1014,24.86,7136
GPI,GROUP 1 AUTOMOTIVE INC,-0.081150708,2003,3,1,523.7921,23.29,7136
GPI,GROUP 1 AUTOMOTIVE INC,0.2855140187,2003,4,1,479.36,21.4,7136
GPI,GROUP 1 AUTOMOTIVE INC,0.0614322065,2003,5,1,613.52802,27.51,7136
GPI,GROUP 1 AUTOMOTIVE INC,0.1099315068,2003,6,1,655.6276,29.2,7136
GPI,GROUP 1 AUTOMOTIVE INC,0.163221228,2003,7,1,727.70173,32.41,7136
GPI,GROUP 1 AUTOMOTIVE INC,-0.00132626,2003,8,1,846.4781,37.7,7136
GPI,GROUP 1 AUTOMOTIVE INC,-0.082602922,2003,9,1,850.92765,37.65,7136
GPI,GROUP 1 AUTOMOTIVE INC,0.0257672264,2003,10,1,780.63854,34.54,7136
GPI,GROUP 1 AUTOMOTIVE INC,-0.020604008,2003,11,1,800.75343,35.43,7136
GPI,GROUP 1 AUTOMOTIVE INC,0.0429394813,2003,12,1,787.1695,34.7,7136
GPI,GROUP 1 AUTOMOTIVE INC,0.0157502072,2004,1,1,820.97015,36.19,7136
GPI,GROUP 1 AUTOMOTIVE INC,-0.009793254,2004,2,1,833.9006,36.76,7136
GPI,GROUP 1 AUTOMOTIVE INC,-0.005494505,2004,3,1,825.734,36.4,7136
GPI,GROUP 1 AUTOMOTIVE INC,-0.045303867,2004,4,1,818.12,36.2,7136
GPI,GROUP 1 AUTOMOTIVE INC,-0.071180556,2004,5,1,777.0816,34.56,7136
GPI,GROUP 1 AUTOMOTIVE INC,0.0345794393,2004,6,1,721.608,32.1,7136
GPI,GROUP 1 AUTOMOTIVE INC,-0.1044866,2004,7,1,746.5608,33.21,7136
GPI,GROUP 1 AUTOMOTIVE INC,-0.076328178,2004,8,1,668.5552,29.74,7136
GPI,GROUP 1 AUTOMOTIVE INC,-0.006916636,2004,9,1,628.34878,27.47,7136
GPI,GROUP 1 AUTOMOTIVE INC,0.0370234604,2004,10,1,624.00272,27.28,7136
GPI,GROUP 1 AUTOMOTIVE INC,0.0431247791,2004,11,1,647.10546,28.29,7136
GPI,GROUP 1 AUTOMOTIVE INC,0.0674347679,2004,12,1,682.03512,29.51,7136
GPI,GROUP 1 AUTOMOTIVE INC,-0.070793651,2005,1,1,728.028,31.5,7136
GPI,GROUP 1 AUTOMOTIVE INC,-0.055346771,2005,2,1,676.48824,29.27,7136
GPI,GROUP 1 AUTOMOTIVE INC,-0.048824593,2005,3,1,639.0468,27.65,7136
GPI,GROUP 1 AUTOMOTIVE INC,-0.043726236,2005,4,1,618.05,26.3,7136
GPI,GROUP 1 AUTOMOTIVE INC,0.062027833,2005,5,1,591.55315,25.15,7136
GPI,GROUP 1 AUTOMOTIVE INC,-0.099962561,2005,6,1,631.9586,26.71,7136
GPI,GROUP 1 AUTOMOTIVE INC,0.2079866889,2005,7,1,568.7864,24.04,7136
GPI,GROUP 1 AUTOMOTIVE INC,0.0192837466,2005,8,1,687.0864,29.04,7136
GPI,GROUP 1 AUTOMOTIVE INC,-0.067567568,2005,9,1,716.1424,29.6,7136
