ticker,conm,ret,year,month,EW,VW,PW,n
GPL,GREAT PANTHER MINING LTD,,2004,3,1,,,7254
GPL,GREAT PANTHER MINING LTD,0.1136363636,2004,4,1,,0.44,7254
GPL,GREAT PANTHER MINING LTD,-0.163265306,2004,5,1,1.1662,0.49,7254
GPL,GREAT PANTHER MINING LTD,-0.231707317,2004,6,1,0.9758,0.41,7254
GPL,GREAT PANTHER MINING LTD,0.126984127,2004,7,1,3.949155,0.315,7254
GPL,GREAT PANTHER MINING LTD,-0.126760563,2004,8,1,,0.355,7254
GPL,GREAT PANTHER MINING LTD,0.0161290323,2004,9,1,,0.31,7254
GPL,GREAT PANTHER MINING LTD,-0.015873016,2004,10,1,4.894155,0.315,7254
GPL,GREAT PANTHER MINING LTD,0,2004,11,1,4.81647,0.31,7254
GPL,GREAT PANTHER MINING LTD,,2005,1,1,,,7254
GPL,GREAT PANTHER MINING LTD,-0.25,2005,2,1,6.01122,0.38,7254
GPL,GREAT PANTHER MINING LTD,0.4035087719,2005,3,1,4.67799,0.285,7254
GPL,GREAT PANTHER MINING LTD,0,2005,4,1,6.7844,0.4,7254
GPL,GREAT PANTHER MINING LTD,-0.0625,2005,5,1,,,7254
GPL,GREAT PANTHER MINING LTD,-0.008,2005,6,1,6.787875,0.375,7254
GPL,GREAT PANTHER MINING LTD,0.1021505376,2005,7,1,,0.372,7254
GPL,GREAT PANTHER MINING LTD,0.0412195122,2005,8,1,,0.41,7254
GPL,GREAT PANTHER MINING LTD,0.2883579293,2005,9,1,,0.4269,7254
GPL,GREAT PANTHER MINING LTD,-0.021818182,2005,10,1,12.353,0.55,7254
GPL,GREAT PANTHER MINING LTD,-0.05204461,2005,11,1,12.13728,0.538,7254
GPL,GREAT PANTHER MINING LTD,0.9019607843,2005,12,1,17.85969,0.51,7254
GPL,GREAT PANTHER MINING LTD,0.0412371134,2006,1,1,33.96843,0.97,7254
GPL,GREAT PANTHER MINING LTD,0,2006,2,1,35.44999,1.01,7254
GPL,GREAT PANTHER MINING LTD,0.5841584158,2006,3,1,37.47201,1.01,7254
GPL,GREAT PANTHER MINING LTD,0.225,2006,4,1,76.3264,1.6,7254
GPL,GREAT PANTHER MINING LTD,-0.181122449,2006,5,1,96.45356,1.96,7254
GPL,GREAT PANTHER MINING LTD,-0.028037383,2006,6,1,82.594905,1.605,7254
GPL,GREAT PANTHER MINING LTD,-0.102564103,2006,7,1,80.86572,1.56,7254
GPL,GREAT PANTHER MINING LTD,0.3142857143,2006,8,1,72.5718,1.4,7254
GPL,GREAT PANTHER MINING LTD,-0.163097826,2006,9,1,119.17128,1.84,7254
GPL,GREAT PANTHER MINING LTD,0.1754010001,2006,10,1,100.3937805,1.5399,7254
GPL,GREAT PANTHER MINING LTD,0.2430939227,2006,11,1,122.10441,1.81,7254
GPL,GREAT PANTHER MINING LTD,-0.116755556,2006,12,1,152.16075,2.25,7254
GPL,GREAT PANTHER MINING LTD,0.0185175867,2007,1,1,135.871701,1.9873,7254
GPL,GREAT PANTHER MINING LTD,-0.008547009,2007,2,1,141.2761077,2.0241,7254
GPL,GREAT PANTHER MINING LTD,-0.195883994,2007,3,1,140.6525984,2.0068,7254
GPL,GREAT PANTHER MINING LTD,0.0039040714,2007,4,1,113.7529404,1.6137,7254
GPL,GREAT PANTHER MINING LTD,-0.00117284,2007,5,1,114.64254,1.62,7254
GPL,GREAT PANTHER MINING LTD,0.0475248749,2007,6,1,114.6828375,1.6181,7254
GPL,GREAT PANTHER MINING LTD,0.0324483776,2007,7,1,120.194145,1.695,7254
GPL,GREAT PANTHER MINING LTD,-0.264,2007,8,1,124.957,1.75,7254
GPL,GREAT PANTHER MINING LTD,0.222826087,2007,9,1,92.97428,1.288,7254
GPL,GREAT PANTHER MINING LTD,-0.053968254,2007,10,1,114.62535,1.575,7254
GPL,GREAT PANTHER MINING LTD,-0.184563758,2007,11,1,108.60312,1.49,7254
GPL,GREAT PANTHER MINING LTD,0.0525925926,2007,12,1,88.982955,1.215,7254
GPL,GREAT PANTHER MINING LTD,-0.240441004,2008,1,1,99.5610861,1.2789,7254
GPL,GREAT PANTHER MINING LTD,0.6419600576,2008,2,1,78.4347216,0.9714,7254
GPL,GREAT PANTHER MINING LTD,-0.218808777,2008,3,1,129.42468,1.595,7254
GPL,GREAT PANTHER MINING LTD,-0.114125201,2008,4,1,101.105424,1.246,7254
GPL,GREAT PANTHER MINING LTD,0.3236093495,2008,5,1,89.5667472,1.1038,7254
GPL,GREAT PANTHER MINING LTD,-0.163586585,2008,6,1,118.551384,1.461,7254
GPL,GREAT PANTHER MINING LTD,-0.159983633,2008,7,1,99.167744,1.222,7254
GPL,GREAT PANTHER MINING LTD,-0.253677545,2008,8,1,83.444185,1.0265,7254
GPL,GREAT PANTHER MINING LTD,-0.235086803,2008,9,1,62.291591,0.7661,7254
GPL,GREAT PANTHER MINING LTD,-0.422354949,2008,10,1,47.79123,0.586,7254
GPL,GREAT PANTHER MINING LTD,-0.26971935,2008,11,1,27.6402175,0.3385,7254
GPL,GREAT PANTHER MINING LTD,-0.132281553,2008,12,1,20.185116,0.2472,7254
GPL,GREAT PANTHER MINING LTD,0.3939393939,2009,1,1,17.5149975,0.2145,7254
GPL,GREAT PANTHER MINING LTD,-0.008361204,2009,2,1,25.94722,0.299,7254
GPL,GREAT PANTHER MINING LTD,0.2647554806,2009,3,1,25.73027,0.2965,7254
GPL,GREAT PANTHER MINING LTD,-0.076533333,2009,4,1,32.5425,0.375,7254
GPL,GREAT PANTHER MINING LTD,0.3860814323,2009,5,1,30.051914,0.3463,7254
GPL,GREAT PANTHER MINING LTD,-0.058125,2009,6,1,41.6544,0.48,7254
GPL,GREAT PANTHER MINING LTD,0.2231807122,2009,7,1,39.233238,0.4521,7254
GPL,GREAT PANTHER MINING LTD,-0.119349005,2009,8,1,48.063995,0.553,7254
GPL,GREAT PANTHER MINING LTD,0.3804928131,2009,9,1,42.394811,0.487,7254
GPL,GREAT PANTHER MINING LTD,-0.003421092,2009,10,1,61.0912287,0.6723,7254
GPL,GREAT PANTHER MINING LTD,0.1970149254,2009,11,1,61.29696,0.67,7254
GPL,GREAT PANTHER MINING LTD,0.0473815461,2009,12,1,88.361954,0.802,7254
GPL,GREAT PANTHER MINING LTD,-0.104761905,2010,1,1,92.652,0.84,7254
GPL,GREAT PANTHER MINING LTD,0.1303191489,2010,2,1,83.65248,0.752,7254
GPL,GREAT PANTHER MINING LTD,-0.019411765,2010,3,1,96.26335,0.85,7254
GPL,GREAT PANTHER MINING LTD,0.0797840432,2010,4,1,94.4780585,0.8335,7254
GPL,GREAT PANTHER MINING LTD,-0.133333333,2010,5,1,102.0159,0.9,7254
GPL,GREAT PANTHER MINING LTD,-0.061538462,2010,6,1,88.62594,0.78,7254
GPL,GREAT PANTHER MINING LTD,-0.036202186,2010,7,1,83.183016,0.732,7254
GPL,GREAT PANTHER MINING LTD,0.0985116938,2010,8,1,80.171609,0.7055,7254
GPL,GREAT PANTHER MINING LTD,0.2237419355,2010,9,1,88.37945,0.775,7254
GPL,GREAT PANTHER MINING LTD,0.2547448334,2010,10,1,108.1536392,0.9484,7254
GPL,GREAT PANTHER MINING LTD,0.646302521,2010,11,1,136.56916,1.19,7254
GPL,GREAT PANTHER MINING LTD,0.4332091266,2010,12,1,226.2623363,1.9591,7254
GPL,GREAT PANTHER MINING LTD,-0.252083482,2011,1,1,331.2670518,2.8078,7254
GPL,GREAT PANTHER MINING LTD,0.9428571429,2011,2,1,251.8194,2.1,7254
GPL,GREAT PANTHER MINING LTD,0.0539215686,2011,3,1,493.98192,4.08,7254
GPL,GREAT PANTHER MINING LTD,-0.158139535,2011,4,1,525.1719,4.3,7254
GPL,GREAT PANTHER MINING LTD,-0.102209945,2011,5,1,475.42908,3.62,7254
GPL,GREAT PANTHER MINING LTD,0.0215384615,2011,6,1,427.6805,3.25,7254
GPL,GREAT PANTHER MINING LTD,0.0120481928,2011,7,1,437.41996,3.32,7254
GPL,GREAT PANTHER MINING LTD,-0.071428571,2011,8,1,450.0216,3.36,7254
GPL,GREAT PANTHER MINING LTD,-0.192307692,2011,9,1,418.80696,3.12,7254
GPL,GREAT PANTHER MINING LTD,0.0238095238,2011,10,1,339.83712,2.52,7254
GPL,GREAT PANTHER MINING LTD,-0.11627907,2011,11,1,348.4548,2.58,7254
GPL,GREAT PANTHER MINING LTD,-0.144736842,2011,12,1,308.883,2.28,7254
GPL,GREAT PANTHER MINING LTD,0.3743589744,2012,1,1,267.94755,1.95,7254
GPL,GREAT PANTHER MINING LTD,0.0074626866,2012,2,1,368.25612,2.68,7254
GPL,GREAT PANTHER MINING LTD,-0.166666667,2012,3,1,371.2095,2.7,7254
GPL,GREAT PANTHER MINING LTD,-0.031111111,2012,4,1,309.4335,2.25,7254
GPL,GREAT PANTHER MINING LTD,-0.183486239,2012,5,1,299.80668,2.18,7254
GPL,GREAT PANTHER MINING LTD,-0.061797753,2012,6,1,244.91198,1.78,7254
GPL,GREAT PANTHER MINING LTD,-0.005988024,2012,7,1,229.77697,1.67,7254
GPL,GREAT PANTHER MINING LTD,0.186746988,2012,8,1,228.40106,1.66,7254
GPL,GREAT PANTHER MINING LTD,0.1675126904,2012,9,1,271.05427,1.97,7254
GPL,GREAT PANTHER MINING LTD,-0.130434783,2012,10,1,316.4593,2.3,7254
GPL,GREAT PANTHER MINING LTD,-0.14,2012,11,1,275.688,2,7254
GPL,GREAT PANTHER MINING LTD,-0.110465116,2012,12,1,237.1192,1.72,7254
GPL,GREAT PANTHER MINING LTD,-0.013071895,2013,1,1,210.9258,1.53,7254
GPL,GREAT PANTHER MINING LTD,-0.21192053,2013,2,1,208.1686,1.51,7254
GPL,GREAT PANTHER MINING LTD,0.0924369748,2013,3,1,164.0534,1.19,7254
GPL,GREAT PANTHER MINING LTD,-0.192307692,2013,4,1,179.218,1.3,7254
GPL,GREAT PANTHER MINING LTD,-0.071428571,2013,5,1,144.753,1.05,7254
GPL,GREAT PANTHER MINING LTD,-0.225641026,2013,6,1,134.642625,0.975,7254
GPL,GREAT PANTHER MINING LTD,0.1390728477,2013,7,1,104.261725,0.755,7254
GPL,GREAT PANTHER MINING LTD,0.3255813953,2013,8,1,118.7617,0.86,7254
GPL,GREAT PANTHER MINING LTD,-0.236842105,2013,9,1,157.17636,1.14,7254
GPL,GREAT PANTHER MINING LTD,0.0459770115,2013,10,1,119.95038,0.87,7254
GPL,GREAT PANTHER MINING LTD,-0.183516484,2013,11,1,125.46534,0.91,7254
GPL,GREAT PANTHER MINING LTD,-0.017496635,2013,12,1,102.814854,0.743,7254
GPL,GREAT PANTHER MINING LTD,0.1232876712,2014,1,1,101.01594,0.73,7254
GPL,GREAT PANTHER MINING LTD,0.4756097561,2014,2,1,113.5044,0.82,7254
GPL,GREAT PANTHER MINING LTD,-0.165289256,2014,3,1,167.62009,1.21,7254
GPL,GREAT PANTHER MINING LTD,0.0792079208,2014,4,1,140.32536,1.01,7254
GPL,GREAT PANTHER MINING LTD,-0.128440367,2014,5,1,151.44024,1.09,7254
GPL,GREAT PANTHER MINING LTD,0.3263157895,2014,6,1,132.0386,0.95,7254
GPL,GREAT PANTHER MINING LTD,0.0476190476,2014,7,1,175.12488,1.26,7254
GPL,GREAT PANTHER MINING LTD,-0.090909091,2014,8,1,183.46416,1.32,7254
GPL,GREAT PANTHER MINING LTD,-0.15,2014,9,1,166.7148,1.2,7254
GPL,GREAT PANTHER MINING LTD,-0.31372549,2014,10,1,141.70758,1.02,7254
GPL,GREAT PANTHER MINING LTD,0.086,2014,11,1,97.2503,0.7,7254
GPL,GREAT PANTHER MINING LTD,-0.191002368,2014,12,1,105.6138258,0.7602,7254
GPL,GREAT PANTHER MINING LTD,0.1479674797,2015,1,1,85.441335,0.615,7254
GPL,GREAT PANTHER MINING LTD,-0.128895184,2015,2,1,98.083874,0.706,7254
GPL,GREAT PANTHER MINING LTD,-0.056910569,2015,3,1,85.441335,0.615,7254
GPL,GREAT PANTHER MINING LTD,-0.086206897,2015,4,1,80.95292,0.58,7254
GPL,GREAT PANTHER MINING LTD,0,2015,5,1,73.97422,0.53,7254
GPL,GREAT PANTHER MINING LTD,-0.188679245,2015,6,1,75.16513,0.53,7254
GPL,GREAT PANTHER MINING LTD,-0.191627907,2015,7,1,60.98303,0.43,7254
GPL,GREAT PANTHER MINING LTD,0.165420023,2015,8,1,49.2969796,0.3476,7254
GPL,GREAT PANTHER MINING LTD,-0.0281412,2015,9,1,57.4516871,0.4051,7254
GPL,GREAT PANTHER MINING LTD,0.4198628397,2015,10,1,55.8349277,0.3937,7254
GPL,GREAT PANTHER MINING LTD,-0.159033989,2015,11,1,79.277939,0.559,7254
GPL,GREAT PANTHER MINING LTD,0.066156137,2015,12,1,66.6192813,0.4701,7254
GPL,GREAT PANTHER MINING LTD,0.0229449322,2016,1,1,71.0265556,0.5012,7254
