ticker,conm,ret,year,month,EW,VW,PW,n
GSBD,GOLDMAN SACHS BDC INC,,2015,3,1,,,3433
GSBD,GOLDMAN SACHS BDC INC,0.009196515,2015,4,1,730.97146,20.66,3433
GSBD,GOLDMAN SACHS BDC INC,0.0666666667,2015,5,1,737.69385,20.85,3433
GSBD,GOLDMAN SACHS BDC INC,0.0836330935,2015,6,1,807.04512,22.24,3433
GSBD,GOLDMAN SACHS BDC INC,-0.00422833,2015,7,1,858.2112,23.65,3433
GSBD,GOLDMAN SACHS BDC INC,-0.01358811,2015,8,1,854.5824,23.55,3433
GSBD,GOLDMAN SACHS BDC INC,-0.188118812,2015,9,1,843.10962,23.23,3433
GSBD,GOLDMAN SACHS BDC INC,0.0869092884,2015,10,1,668.17254,18.41,3433
GSBD,GOLDMAN SACHS BDC INC,-0.005997001,2015,11,1,726.22293,20.01,3433
GSBD,GOLDMAN SACHS BDC INC,-0.022121669,2015,12,1,722.14623,19.89,3433
GSBD,GOLDMAN SACHS BDC INC,-0.060526316,2016,1,1,689.833,19,3433
GSBD,GOLDMAN SACHS BDC INC,0.049859944,2016,2,1,648.07995,17.85,3433
GSBD,GOLDMAN SACHS BDC INC,0.0699039488,2016,3,1,680.39318,18.74,3433
GSBD,GOLDMAN SACHS BDC INC,0.0025510204,2016,4,1,711.6172,19.6,3433
GSBD,GOLDMAN SACHS BDC INC,0.0086513995,2016,5,1,713.43255,19.65,3433
GSBD,GOLDMAN SACHS BDC INC,0.0312815338,2016,6,1,719.70384,19.82,3433
GSBD,GOLDMAN SACHS BDC INC,0.0045022511,2016,7,1,725.87688,19.99,3433
GSBD,GOLDMAN SACHS BDC INC,0.093625498,2016,8,1,729.14496,20.08,3433
GSBD,GOLDMAN SACHS BDC INC,0.0118397086,2016,9,1,797.60916,21.96,3433
GSBD,GOLDMAN SACHS BDC INC,0.0142397795,2016,10,1,790.70817,21.77,3433
