ticker,conm,ret,year,month,EW,VW,PW,n
GTY,GETTY REALTY CORP,0.1340782123,2000,1,1,151.7808125,11.1875,661
GTY,GETTY REALTY CORP,-0.049261084,2000,2,1,172.1313125,12.6875,661
GTY,GETTY REALTY CORP,-0.067357513,2000,3,1,163.6519375,12.0625,661
GTY,GETTY REALTY CORP,0.1022222222,2000,4,1,152.62875,11.25,661
GTY,GETTY REALTY CORP,-0.086734694,2000,5,1,166.19575,12.25,661
GTY,GETTY REALTY CORP,-0.01452514,2000,6,1,143.33425,11.1875,661
GTY,GETTY REALTY CORP,0.0344827586,2000,7,1,138.96075,10.875,661
GTY,GETTY REALTY CORP,0.0444444444,2000,8,1,143.7525,11.25,661
GTY,GETTY REALTY CORP,-0.021276596,2000,9,1,150.1415,11.75,661
GTY,GETTY REALTY CORP,-0.095652174,2000,10,1,146.947,11.5,661
GTY,GETTY REALTY CORP,0.3597560976,2000,11,1,130.9745,10.25,661
GTY,GETTY REALTY CORP,0.0959641256,2000,12,1,178.093375,13.9375,661
GTY,GETTY REALTY CORP,0.0214876033,2001,1,1,189.7885,15.125,661
GTY,GETTY REALTY CORP,-0.025889968,2001,2,1,193.8666,15.45,661
GTY,GETTY REALTY CORP,-0.056478405,2001,3,1,188.8474,15.05,661
GTY,GETTY REALTY CORP,0.1690140845,2001,4,1,178.1816,14.2,661
GTY,GETTY REALTY CORP,0.3118541033,2001,5,1,206.4146,16.45,661
GTY,GETTY REALTY CORP,-0.112140871,2001,6,1,270.78584,21.58,661
GTY,GETTY REALTY CORP,0.0829853862,2001,7,1,240.41968,19.16,661
GTY,GETTY REALTY CORP,0.0388349515,2001,8,1,258.5918,20.6,661
GTY,GETTY REALTY CORP,0.0673913043,2001,9,1,214.176,17.25,661
GTY,GETTY REALTY CORP,-0.047777778,2001,10,1,223.488,18,661
GTY,GETTY REALTY CORP,0.0851808635,2001,11,1,212.81024,17.14,661
GTY,GETTY REALTY CORP,0.0356182796,2001,12,1,398.412,18.6,661
GTY,GETTY REALTY CORP,0.0334217507,2002,1,1,403.767,18.85,661
GTY,GETTY REALTY CORP,-0.0775154,2002,2,1,417.2616,19.48,661
GTY,GETTY REALTY CORP,0.0691430161,2002,3,1,384.9174,17.97,661
GTY,GETTY REALTY CORP,0.0026595745,2002,4,1,402.696,18.8,661
GTY,GETTY REALTY CORP,-0.046153846,2002,5,1,403.93665,18.85,661
GTY,GETTY REALTY CORP,0.1491935484,2002,6,1,385.38332,17.98,661
GTY,GETTY REALTY CORP,-0.056790123,2002,7,1,434.0385,20.25,661
GTY,GETTY REALTY CORP,-0.02460733,2002,8,1,409.3894,19.1,661
GTY,GETTY REALTY CORP,0.0462962963,2002,9,1,399.44583,18.63,661
