ticker,conm,ret,year,month,EW,VW,PW,n
H.2,HARCOURT GENERAL INC,-0.000993789,2000,1,1,2058.224,40.25,642
H.2,HARCOURT GENERAL INC,-0.1390625,2000,2,1,2045.44,40,642
H.2,HARCOURT GENERAL INC,0.0816696915,2000,3,1,1780.832,34.4375,642
H.2,HARCOURT GENERAL INC,0.0089932886,2000,4,1,1926.4955,37.25,642
H.2,HARCOURT GENERAL INC,0.0568561873,2000,5,1,1932.96025,37.375,642
H.2,HARCOURT GENERAL INC,0.3765822785,2000,6,1,2042.861,39.5,642
H.2,HARCOURT GENERAL INC,0.0188045977,2000,7,1,2889.705,54.375,642
H.2,HARCOURT GENERAL INC,0.0747451869,2000,8,1,2932.8845,55.1875,642
H.2,HARCOURT GENERAL INC,-0.005268704,2000,9,1,3152.1035,59.3125,642
H.2,HARCOURT GENERAL INC,-0.046440678,2000,10,1,3135.496,59,642
H.2,HARCOURT GENERAL INC,-0.014451383,2000,11,1,2978.7212,56.05,642
H.2,HARCOURT GENERAL INC,0.0354815351,2000,12,1,2935.67456,55.24,642
H.2,HARCOURT GENERAL INC,0.0075174825,2001,1,1,3039.8368,57.2,642
H.2,HARCOURT GENERAL INC,-0.024033438,2001,2,1,3167.34462,57.42,642
H.2,HARCOURT GENERAL INC,-0.006602427,2001,3,1,3091.22244,56.04,642
H.2,HARCOURT GENERAL INC,-0.011496318,2001,4,1,3071.98194,55.67,642
H.2,HARCOURT GENERAL INC,0.0580080263,2001,5,1,3025.07724,54.82,642
H.2,HARCOURT GENERAL INC,0.0032758621,2001,6,1,3200.556,58,642
H.2,HARCOURT GENERAL INC,0.0139199175,2001,7,1,3213.42637,58.19,642
H.2,HARCOURT GENERAL INC,0,2001,8,1,3255.94808,58.96,642
