ticker,conm,ret,year,month,EW,VW,PW,n
HMA,HEALTH MANAGEMENT ASSOC,0.0420560748,2000,1,1,3388.649875,13.375,1800
HMA,HEALTH MANAGEMENT ASSOC,-0.228699552,2000,2,1,3356.958375,13.9375,1800
HMA,HEALTH MANAGEMENT ASSOC,0.3255813953,2000,3,1,2591.42725,10.75,1800
HMA,HEALTH MANAGEMENT ASSOC,0.1184210526,2000,4,1,3435.14775,14.25,1800
HMA,HEALTH MANAGEMENT ASSOC,-0.258823529,2000,5,1,3841.9415625,15.9375,1800
HMA,HEALTH MANAGEMENT ASSOC,0.1058201058,2000,6,1,2945.32875,11.8125,1800
HMA,HEALTH MANAGEMENT ASSOC,0.2009569378,2000,7,1,3257.00375,13.0625,1800
HMA,HEALTH MANAGEMENT ASSOC,0.0398406375,2000,8,1,3911.52125,15.6875,1800
HMA,HEALTH MANAGEMENT ASSOC,0.275862069,2000,9,1,3960.1693125,16.3125,1800
HMA,HEALTH MANAGEMENT ASSOC,-0.048048048,2000,10,1,5052.6298125,20.8125,1800
HMA,HEALTH MANAGEMENT ASSOC,0.0757097792,2000,11,1,4809.8608125,19.8125,1800
HMA,HEALTH MANAGEMENT ASSOC,-0.026392962,2000,12,1,5175.8898125,21.3125,1800
HMA,HEALTH MANAGEMENT ASSOC,-0.222650602,2001,1,1,5039.28275,20.75,1800
HMA,HEALTH MANAGEMENT ASSOC,0.0725356479,2001,2,1,3917.28341,16.13,1800
HMA,HEALTH MANAGEMENT ASSOC,-0.101156069,2001,3,1,4214.0551,17.3,1800
HMA,HEALTH MANAGEMENT ASSOC,0.1524115756,2001,4,1,3787.77785,15.55,1800
HMA,HEALTH MANAGEMENT ASSOC,-0.008928571,2001,5,1,4365.07904,17.92,1800
HMA,HEALTH MANAGEMENT ASSOC,0.1846846847,2001,6,1,4352.47872,17.76,1800
HMA,HEALTH MANAGEMENT ASSOC,-0.060836502,2001,7,1,5156.31488,21.04,1800
HMA,HEALTH MANAGEMENT ASSOC,0.0096153846,2001,8,1,4842.62272,19.76,1800
HMA,HEALTH MANAGEMENT ASSOC,0.0406015038,2001,9,1,4891.36095,19.95,1800
HMA,HEALTH MANAGEMENT ASSOC,-0.061175337,2001,10,1,5089.95756,20.76,1800
HMA,HEALTH MANAGEMENT ASSOC,0.0010261673,2001,11,1,4778.57769,19.49,1800
HMA,HEALTH MANAGEMENT ASSOC,-0.056893901,2001,12,1,4783.48131,19.51,1800
HMA,HEALTH MANAGEMENT ASSOC,0.0559782609,2002,1,1,4455.008,18.4,1800
HMA,HEALTH MANAGEMENT ASSOC,-0.091610911,2002,2,1,4704.3916,19.43,1800
HMA,HEALTH MANAGEMENT ASSOC,0.1745042493,2002,3,1,4266.6051,17.65,1800
HMA,HEALTH MANAGEMENT ASSOC,0.0294259527,2002,4,1,5011.14582,20.73,1800
HMA,HEALTH MANAGEMENT ASSOC,-0.035145267,2002,5,1,5142.38516,21.34,1800
HMA,HEALTH MANAGEMENT ASSOC,-0.021369597,2002,6,1,4968.20228,20.59,1800
HMA,HEALTH MANAGEMENT ASSOC,0.0039702233,2002,7,1,4865.7817,20.15,1800
HMA,HEALTH MANAGEMENT ASSOC,-0.048442907,2002,8,1,4885.09994,20.23,1800
HMA,HEALTH MANAGEMENT ASSOC,0.0503896104,2002,9,1,4588.75725,19.25,1800
HMA,HEALTH MANAGEMENT ASSOC,-0.054401583,2002,10,1,4819.98294,20.22,1800
HMA,HEALTH MANAGEMENT ASSOC,-0.082112971,2002,11,1,4557.76824,19.12,1800
HMA,HEALTH MANAGEMENT ASSOC,0.0211066743,2002,12,1,4178.74881,17.53,1800
HMA,HEALTH MANAGEMENT ASSOC,0.0346368715,2003,1,1,4272.0319,17.9,1800
HMA,HEALTH MANAGEMENT ASSOC,-0.031317495,2003,2,1,4420.00172,18.52,1800
HMA,HEALTH MANAGEMENT ASSOC,0.0602678571,2003,3,1,4277.10976,17.92,1800
HMA,HEALTH MANAGEMENT ASSOC,-0.102105263,2003,4,1,4534.882,19,1800
HMA,HEALTH MANAGEMENT ASSOC,0.0943728019,2003,5,1,4071.84668,17.06,1800
HMA,HEALTH MANAGEMENT ASSOC,-0.010723861,2003,6,1,4451.40065,18.65,1800
HMA,HEALTH MANAGEMENT ASSOC,0.0823848238,2003,7,1,4403.66445,18.45,1800
HMA,HEALTH MANAGEMENT ASSOC,0.1166750125,2003,8,1,4766.45957,19.97,1800
HMA,HEALTH MANAGEMENT ASSOC,-0.021095153,2003,9,1,5343.0782,22.28,1800
HMA,HEALTH MANAGEMENT ASSOC,0.0155891793,2003,10,1,5230.36515,21.81,1800
HMA,HEALTH MANAGEMENT ASSOC,0.1611738149,2003,11,1,5311.90225,22.15,1800
HMA,HEALTH MANAGEMENT ASSOC,-0.06614786,2003,12,1,6163.2455,25.7,1800
HMA,HEALTH MANAGEMENT ASSOC,0.02125,2004,1,1,5826.888,24,1800
HMA,HEALTH MANAGEMENT ASSOC,-0.089759282,2004,2,1,5950.70937,24.51,1800
HMA,HEALTH MANAGEMENT ASSOC,0.041274114,2004,3,1,5414.86512,22.29,1800
HMA,HEALTH MANAGEMENT ASSOC,-0.00344679,2004,4,1,5638.35888,23.21,1800
HMA,HEALTH MANAGEMENT ASSOC,-0.048421963,2004,5,1,5618.92464,23.13,1800
HMA,HEALTH MANAGEMENT ASSOC,0.0195543429,2004,6,1,5344.86741,21.99,1800
HMA,HEALTH MANAGEMENT ASSOC,-0.105263158,2004,7,1,5449.38278,22.42,1800
HMA,HEALTH MANAGEMENT ASSOC,-0.045862413,2004,8,1,4875.76354,20.06,1800
HMA,HEALTH MANAGEMENT ASSOC,0.0685146444,2004,9,1,4653.88448,19.12,1800
HMA,HEALTH MANAGEMENT ASSOC,0.011257954,2004,10,1,4972.74372,20.43,1800
HMA,HEALTH MANAGEMENT ASSOC,0.0711519845,2004,11,1,5028.72664,20.66,1800
HMA,HEALTH MANAGEMENT ASSOC,0.0285196922,2004,12,1,5376.79436,22.09,1800
HMA,HEALTH MANAGEMENT ASSOC,-0.028169014,2005,1,1,5541.13536,22.72,1800
HMA,HEALTH MANAGEMENT ASSOC,0.0421195652,2005,2,1,5387.27712,22.08,1800
