ticker,conm,ret,year,month,EW,VW,PW,n
HOLI,HOLLYSYS AUTOMATION TECH LTD,,2005,8,1,,,9264
HOLI,HOLLYSYS AUTOMATION TECH LTD,0,2005,9,1,,5.2,9264
HOLI,HOLLYSYS AUTOMATION TECH LTD,0,2005,10,1,36.4,5.2,9264
HOLI,HOLLYSYS AUTOMATION TECH LTD,-0.003846154,2005,11,1,36.4,5.2,9264
HOLI,HOLLYSYS AUTOMATION TECH LTD,0.1061776062,2005,12,1,36.26,5.18,9264
HOLI,HOLLYSYS AUTOMATION TECH LTD,0.184991274,2006,1,1,40.11,5.73,9264
HOLI,HOLLYSYS AUTOMATION TECH LTD,0.8262150221,2006,2,1,47.53,6.79,9264
HOLI,HOLLYSYS AUTOMATION TECH LTD,0.0120967742,2006,3,1,86.8,12.4,9264
HOLI,HOLLYSYS AUTOMATION TECH LTD,-0.024701195,2006,4,1,87.85,12.55,9264
HOLI,HOLLYSYS AUTOMATION TECH LTD,-0.111111111,2006,5,1,85.68,12.24,9264
HOLI,HOLLYSYS AUTOMATION TECH LTD,-0.296875,2006,6,1,76.16,10.88,9264
HOLI,HOLLYSYS AUTOMATION TECH LTD,0.2026143791,2006,7,1,53.55,7.65,9264
HOLI,HOLLYSYS AUTOMATION TECH LTD,-0.105434783,2006,8,1,64.4,9.2,9264
HOLI,HOLLYSYS AUTOMATION TECH LTD,0.0631834751,2006,9,1,57.61,8.23,9264
HOLI,HOLLYSYS AUTOMATION TECH LTD,-0.041142857,2006,10,1,61.25,8.75,9264
HOLI,HOLLYSYS AUTOMATION TECH LTD,-0.10011919,2006,11,1,58.73,8.39,9264
HOLI,HOLLYSYS AUTOMATION TECH LTD,0.1470198675,2006,12,1,52.85,7.55,9264
HOLI,HOLLYSYS AUTOMATION TECH LTD,-0.105080831,2007,1,1,60.62,8.66,9264
HOLI,HOLLYSYS AUTOMATION TECH LTD,0.0516129032,2007,2,1,54.25,7.75,9264
HOLI,HOLLYSYS AUTOMATION TECH LTD,-0.028220859,2007,3,1,57.05,8.15,9264
HOLI,HOLLYSYS AUTOMATION TECH LTD,-0.006313131,2007,4,1,55.44,7.92,9264
HOLI,HOLLYSYS AUTOMATION TECH LTD,-0.015247776,2007,5,1,55.09,7.87,9264
HOLI,HOLLYSYS AUTOMATION TECH LTD,-0.047741935,2007,6,1,54.25,7.75,9264
HOLI,HOLLYSYS AUTOMATION TECH LTD,0.1043360434,2007,7,1,51.66,7.38,9264
HOLI,HOLLYSYS AUTOMATION TECH LTD,0.0306748466,2007,8,1,57.05,8.15,9264
HOLI,HOLLYSYS AUTOMATION TECH LTD,-0.01547619,2007,9,1,58.8,8.4,9264
HOLI,HOLLYSYS AUTOMATION TECH LTD,0.0580411125,2007,10,1,241.484,8.27,9264
HOLI,HOLLYSYS AUTOMATION TECH LTD,-0.045714286,2007,11,1,255.5,8.75,9264
HOLI,HOLLYSYS AUTOMATION TECH LTD,0.0682634731,2007,12,1,243.82,8.35,9264
HOLI,HOLLYSYS AUTOMATION TECH LTD,-0.063901345,2008,1,1,260.464,8.92,9264
HOLI,HOLLYSYS AUTOMATION TECH LTD,0.0179640719,2008,2,1,243.82,8.35,9264
HOLI,HOLLYSYS AUTOMATION TECH LTD,-0.094117647,2008,3,1,358.7,8.5,9264
HOLI,HOLLYSYS AUTOMATION TECH LTD,-0.006493506,2008,4,1,324.94,7.7,9264
HOLI,HOLLYSYS AUTOMATION TECH LTD,-0.215686275,2008,5,1,320.86395,7.65,9264
HOLI,HOLLYSYS AUTOMATION TECH LTD,-0.126666667,2008,6,1,251.658,6,9264
HOLI,HOLLYSYS AUTOMATION TECH LTD,0.393129771,2008,7,1,219.78132,5.24,9264
