ticker,conm,ret,year,month,EW,VW,PW,n
HOOV,HOOVERS INC,0.0571428571,2000,1,1,106.21625,8.75,7874
HOOV,HOOVERS INC,0.2162162162,2000,2,1,112.28575,9.25,7874
HOOV,HOOVERS INC,0.0111111111,2000,3,1,138.2625,11.25,7874
HOOV,HOOVERS INC,-0.208791209,2000,4,1,139.79875,11.375,7874
HOOV,HOOVERS INC,-0.25,2000,5,1,110.61,9,7874
HOOV,HOOVERS INC,0,2000,6,1,82.9575,6.75,7874
HOOV,HOOVERS INC,0.0925925926,2000,7,1,82.9575,6.75,7874
HOOV,HOOVERS INC,-0.050847458,2000,8,1,101.9225,7.375,7874
HOOV,HOOVERS INC,-0.089285714,2000,9,1,96.74,7,7874
HOOV,HOOVERS INC,-0.485294118,2000,10,1,99.25875,6.375,7874
HOOV,HOOVERS INC,-0.161904762,2000,11,1,51.0890625,3.28125,7874
HOOV,HOOVERS INC,-0.136363636,2000,12,1,42.5865,2.75,7874
HOOV,HOOVERS INC,0.4210526316,2001,1,1,36.77925,2.375,7874
HOOV,HOOVERS INC,-0.037037037,2001,2,1,52.26525,3.375,7874
HOOV,HOOVERS INC,-0.336538462,2001,3,1,50.49525,3.25,7874
HOOV,HOOVERS INC,0.395942029,2001,4,1,33.50165625,2.15625,7874
HOOV,HOOVERS INC,0.2126245847,2001,5,1,46.76637,3.01,7874
HOOV,HOOVERS INC,0.301369863,2001,6,1,56.35235,3.65,7874
HOOV,HOOVERS INC,-0.115789474,2001,7,1,73.33525,4.75,7874
HOOV,HOOVERS INC,-0.233333333,2001,8,1,64.5666,4.2,7874
HOOV,HOOVERS INC,-0.301242236,2001,9,1,49.50106,3.22,7874
HOOV,HOOVERS INC,0.3022222222,2001,10,1,34.58925,2.25,7874
HOOV,HOOVERS INC,0.0614334471,2001,11,1,45.04289,2.93,7874
HOOV,HOOVERS INC,0.1575562701,2001,12,1,47.48037,3.11,7874
HOOV,HOOVERS INC,0.2391666667,2002,1,1,54.9612,3.6,7874
HOOV,HOOVERS INC,0.0199506837,2002,2,1,68.106087,4.461,7874
HOOV,HOOVERS INC,0.0989010989,2002,3,1,69.31925,4.55,7874
HOOV,HOOVERS INC,-0.04,2002,4,1,76.175,5,7874
HOOV,HOOVERS INC,0.3520833333,2002,5,1,73.128,4.8,7874
HOOV,HOOVERS INC,-0.167950693,2002,6,1,98.87515,6.49,7874
HOOV,HOOVERS INC,-0.062962963,2002,7,1,82.269,5.4,7874
HOOV,HOOVERS INC,0.2312252964,2002,8,1,77.47366,5.06,7874
HOOV,HOOVERS INC,-0.194221509,2002,9,1,95.38753,6.23,7874
HOOV,HOOVERS INC,0.0498007968,2002,10,1,76.86122,5.02,7874
HOOV,HOOVERS INC,0.0531309298,2002,11,1,80.68897,5.27,7874
HOOV,HOOVERS INC,0.2774774775,2002,12,1,85.5921,5.55,7874
HOOV,HOOVERS INC,0.0014104372,2003,1,1,110.59691,7.09,7874
HOOV,HOOVERS INC,-0.016901408,2003,2,1,110.7529,7.1,7874
HOOV,HOOVERS INC,0.0028653295,2003,3,1,109.09042,6.98,7874
HOOV,HOOVERS INC,0,2003,4,1,,6.991,7874
