ticker,conm,ret,year,month,EW,VW,PW,n
HTBX,HEAT BIOLOGICS INC,,2013,7,1,,,2615
HTBX,HEAT BIOLOGICS INC,0.0060422961,2013,8,1,60.44391,9.93,2615
HTBX,HEAT BIOLOGICS INC,0.2452452452,2013,9,1,60.80913,9.99,2615
HTBX,HEAT BIOLOGICS INC,-0.272508039,2013,10,1,77.0658,12.44,2615
HTBX,HEAT BIOLOGICS INC,-0.091712707,2013,11,1,56.06475,9.05,2615
HTBX,HEAT BIOLOGICS INC,-0.136253041,2013,12,1,52.32852,8.22,2615
HTBX,HEAT BIOLOGICS INC,0.0295774648,2014,1,1,45.1986,7.1,2615
HTBX,HEAT BIOLOGICS INC,-0.01504788,2014,2,1,46.60125,7.31,2615
HTBX,HEAT BIOLOGICS INC,-0.070833333,2014,3,1,45.9,7.2,2615
HTBX,HEAT BIOLOGICS INC,-0.191345291,2014,4,1,42.64875,6.69,2615
HTBX,HEAT BIOLOGICS INC,-0.109040833,2014,5,1,34.9046748,5.4099,2615
HTBX,HEAT BIOLOGICS INC,0.1514522822,2014,6,1,31.09864,4.82,2615
HTBX,HEAT BIOLOGICS INC,-0.228828829,2014,7,1,35.8086,5.55,2615
HTBX,HEAT BIOLOGICS INC,0.5327102804,2014,8,1,27.61456,4.28,2615
HTBX,HEAT BIOLOGICS INC,-0.028887195,2014,9,1,42.32512,6.56,2615
HTBX,HEAT BIOLOGICS INC,0.0281767522,2014,10,1,41.102466,6.3705,2615
HTBX,HEAT BIOLOGICS INC,-0.236641221,2014,11,1,42.2606,6.55,2615
HTBX,HEAT BIOLOGICS INC,-0.082,2014,12,1,32.41,5,2615
HTBX,HEAT BIOLOGICS INC,0.234422658,2015,1,1,29.75238,4.59,2615
HTBX,HEAT BIOLOGICS INC,0.1754324038,2015,2,1,36.727012,5.666,2615
HTBX,HEAT BIOLOGICS INC,-0.045045045,2015,3,1,43.17012,6.66,2615
HTBX,HEAT BIOLOGICS INC,-0.073899371,2015,4,1,53.38584,6.36,2615
