ticker,conm,ret,year,month,EW,VW,PW,n
HWL,HOWELL CORP,0.2282608696,2000,1,1,31.464,5.75,747
HWL,HOWELL CORP,-0.082831858,2000,2,1,38.646,7.0625,747
HWL,HOWELL CORP,0.0582524272,2000,3,1,35.226,6.4375,747
HWL,HOWELL CORP,0.0366972477,2000,4,1,37.618625,6.8125,747
HWL,HOWELL CORP,0.3242477876,2000,5,1,38.999125,7.0625,747
HWL,HOWELL CORP,0.0201342282,2000,6,1,51.4329375,9.3125,747
HWL,HOWELL CORP,0.0197368421,2000,7,1,52.4685,9.5,747
HWL,HOWELL CORP,0.2105806452,2000,8,1,53.5040625,9.6875,747
HWL,HOWELL CORP,0.0374331551,2000,9,1,64.5500625,11.6875,747
HWL,HOWELL CORP,-0.036082474,2000,10,1,66.966375,12.125,747
HWL,HOWELL CORP,0.0622459893,2000,11,1,64.5500625,11.6875,747
HWL,HOWELL CORP,-0.005050505,2000,12,1,68.347125,12.375,747
HWL,HOWELL CORP,-0.061928934,2001,1,1,68.0019375,12.3125,747
HWL,HOWELL CORP,0.0822510823,2001,2,1,63.79065,11.55,747
HWL,HOWELL CORP,0.2077046549,2001,3,1,68.97856,12.46,747
HWL,HOWELL CORP,0.067251462,2001,4,1,83.3112,13.68,747
HWL,HOWELL CORP,-0.041780822,2001,5,1,88.914,14.6,747
HWL,HOWELL CORP,-0.182795699,2001,6,1,84.8718,13.95,747
HWL,HOWELL CORP,0.0473684211,2001,7,1,69.3576,11.4,747
HWL,HOWELL CORP,-0.150753769,2001,8,1,72.64296,11.94,747
HWL,HOWELL CORP,-0.108910891,2001,9,1,61.5797,10.1,747
HWL,HOWELL CORP,0.3,2001,10,1,54.873,9,747
HWL,HOWELL CORP,-0.141025641,2001,11,1,71.3349,11.7,747
HWL,HOWELL CORP,0.038961039,2001,12,1,61.04098,10.01,747
HWL,HOWELL CORP,0.1298076923,2002,1,1,63.4192,10.4,747
HWL,HOWELL CORP,-0.060425532,2002,2,1,71.6515,11.75,747
HWL,HOWELL CORP,0.186,2002,3,1,67.078,11,747
HWL,HOWELL CORP,0.0370994941,2002,4,1,72.5239,11.86,747
HWL,HOWELL CORP,0.1211382114,2002,5,1,82.6806,12.3,747
HWL,HOWELL CORP,-0.032727273,2002,6,1,92.4275,13.75,747
HWL,HOWELL CORP,-0.037593985,2002,7,1,89.4026,13.3,747
HWL,HOWELL CORP,0.08515625,2002,8,1,86.0416,12.8,747
HWL,HOWELL CORP,0.4823104693,2002,9,1,93.1274,13.85,747
HWL,HOWELL CORP,0.008280565,2002,10,1,138.04372,20.53,747
HWL,HOWELL CORP,0.0024154589,2002,11,1,139.7664,20.7,747
HWL,HOWELL CORP,0.0019314341,2002,12,1,140.10315,20.71,747
HWL,HOWELL CORP,0,2003,1,1,140.37375,20.75,747
