ticker,conm,ret,year,month,EW,VW,PW,n
ICCC,IMMUCELL CORP,0.2368421053,2000,1,1,5.806875,2.375,1963
ICCC,IMMUCELL CORP,0.7021276596,2000,2,1,7.1821875,2.9375,1963
ICCC,IMMUCELL CORP,-0.1,2000,3,1,12.225,5,1963
ICCC,IMMUCELL CORP,-0.222222222,2000,4,1,11.0025,4.5,1963
ICCC,IMMUCELL CORP,-0.071428571,2000,5,1,9.1595,3.5,1963
ICCC,IMMUCELL CORP,0.1346153846,2000,6,1,8.632,3.25,1963
ICCC,IMMUCELL CORP,-0.084745763,2000,7,1,9.794,3.6875,1963
ICCC,IMMUCELL CORP,-0.111111111,2000,8,1,8.964,3.375,1963
ICCC,IMMUCELL CORP,-0.208333333,2000,9,1,7.995,3,1963
ICCC,IMMUCELL CORP,0.0526315789,2000,10,1,6.329375,2.375,1963
ICCC,IMMUCELL CORP,-0.1,2000,11,1,6.6625,2.5,1963
ICCC,IMMUCELL CORP,-0.305555556,2000,12,1,5.99625,2.25,1963
ICCC,IMMUCELL CORP,0.68,2001,1,1,4.1640625,1.5625,1963
ICCC,IMMUCELL CORP,0.0476190476,2001,2,1,6.995625,2.625,1963
ICCC,IMMUCELL CORP,-0.090909091,2001,3,1,7.32875,2.75,1963
ICCC,IMMUCELL CORP,0.04,2001,4,1,6.6625,2.5,1963
ICCC,IMMUCELL CORP,-0.030769231,2001,5,1,7.059,2.6,1963
ICCC,IMMUCELL CORP,0.0317460317,2001,6,1,6.8418,2.52,1963
ICCC,IMMUCELL CORP,0.0384615385,2001,7,1,7.059,2.6,1963
ICCC,IMMUCELL CORP,-0.1,2001,8,1,7.3305,2.7,1963
ICCC,IMMUCELL CORP,0.2139917695,2001,9,1,6.59745,2.43,1963
ICCC,IMMUCELL CORP,0.0677966102,2001,10,1,8.00925,2.95,1963
ICCC,IMMUCELL CORP,0.0571428571,2001,11,1,8.55225,3.15,1963
ICCC,IMMUCELL CORP,0.0960960961,2001,12,1,9.07425,3.33,1963
ICCC,IMMUCELL CORP,-0.049315068,2002,1,1,9.94625,3.65,1963
ICCC,IMMUCELL CORP,-0.034582133,2002,2,1,9.45575,3.47,1963
ICCC,IMMUCELL CORP,-0.059701493,2002,3,1,9.12875,3.35,1963
ICCC,IMMUCELL CORP,-0.028571429,2002,4,1,8.58375,3.15,1963
ICCC,IMMUCELL CORP,-0.039215686,2002,5,1,8.37216,3.06,1963
ICCC,IMMUCELL CORP,-0.078231293,2002,6,1,8.04384,2.94,1963
ICCC,IMMUCELL CORP,-0.162361624,2002,7,1,7.41456,2.71,1963
ICCC,IMMUCELL CORP,-0.118942731,2002,8,1,6.21072,2.27,1963
ICCC,IMMUCELL CORP,-0.1,2002,9,1,5.472,2,1963
ICCC,IMMUCELL CORP,0.0444444444,2002,10,1,4.9248,1.8,1963
ICCC,IMMUCELL CORP,0.2234042553,2002,11,1,5.14368,1.88,1963
ICCC,IMMUCELL CORP,-0.269565217,2002,12,1,6.2928,2.3,1963
ICCC,IMMUCELL CORP,0.2797619048,2003,1,1,4.59648,1.68,1963
ICCC,IMMUCELL CORP,-0.093023256,2003,2,1,5.8824,2.15,1963
ICCC,IMMUCELL CORP,-0.005128205,2003,3,1,5.3352,1.95,1963
ICCC,IMMUCELL CORP,0.0309278351,2003,4,1,5.30784,1.94,1963
ICCC,IMMUCELL CORP,0.395,2003,5,1,5.472,2,1963
ICCC,IMMUCELL CORP,-0.093189964,2003,6,1,7.63065,2.79,1963
ICCC,IMMUCELL CORP,0.0869565217,2003,7,1,6.91955,2.53,1963
ICCC,IMMUCELL CORP,-0.018181818,2003,8,1,7.52125,2.75,1963
ICCC,IMMUCELL CORP,0.0148148148,2003,9,1,7.4007,2.7,1963
ICCC,IMMUCELL CORP,0.1423357664,2003,10,1,7.51034,2.74,1963
ICCC,IMMUCELL CORP,-0.028753994,2003,11,1,8.57933,3.13,1963
ICCC,IMMUCELL CORP,0.2726973684,2003,12,1,8.33264,3.04,1963
ICCC,IMMUCELL CORP,0.0206771776,2004,1,1,10.604929,3.869,1963
ICCC,IMMUCELL CORP,0.0964801215,2004,2,1,10.824209,3.949,1963
ICCC,IMMUCELL CORP,0.0184757506,2004,3,1,11.86853,4.33,1963
