ticker,conm,ret,year,month,EW,VW,PW,n
INOD,INNODATA INC,0.2519685039,2000,1,1,39.27475,7.9375,4340
INOD,INNODATA INC,0.1446540881,2000,2,1,49.17075,9.9375,4340
INOD,INNODATA INC,-0.263736264,2000,3,1,56.2835,11.375,4340
INOD,INNODATA INC,-0.223880597,2000,4,1,41.4395,8.375,4340
INOD,INNODATA INC,-0.057692308,2000,5,1,32.6235,6.5,4340
INOD,INNODATA INC,0.5306122449,2000,6,1,30.912875,6.125,4340
INOD,INNODATA INC,0.14,2000,7,1,47.315625,9.375,4340
INOD,INNODATA INC,-0.046783626,2000,8,1,53.9398125,10.6875,4340
INOD,INNODATA INC,0.018404908,2000,9,1,51.4163125,10.1875,4340
INOD,INNODATA INC,0.0361445783,2000,10,1,52.632375,10.375,4340
INOD,INNODATA INC,0.6104651163,2000,11,1,54.53475,10.75,4340
INOD,INNODATA INC,0.2707581227,2000,12,1,88.674625,17.3125,4340
INOD,INNODATA INC,0.2954545455,2001,1,1,112.684,11,4340
INOD,INNODATA INC,-0.298245614,2001,2,1,149.568,14.25,4340
INOD,INNODATA INC,0.1125,2001,3,1,104.96,10,4340
INOD,INNODATA INC,0.5011235955,2001,4,1,116.768,5.5625,4340
INOD,INNODATA INC,-0.282634731,2001,5,1,175.2832,8.35,4340
INOD,INNODATA INC,-0.485809683,2001,6,1,126.4489,5.99,4340
INOD,INNODATA INC,0.0809090909,2001,7,1,65.0188,3.08,4340
INOD,INNODATA INC,-0.264087468,2001,8,1,71.0151652,3.3292,4340
INOD,INNODATA INC,-0.183673469,2001,9,1,52.4349,2.45,4340
INOD,INNODATA INC,0.725,2001,10,1,42.804,2,4340
INOD,INNODATA INC,-0.130434783,2001,11,1,73.8369,3.45,4340
INOD,INNODATA INC,-0.01,2001,12,1,64.212,3,4340
INOD,INNODATA INC,-0.077441077,2002,1,1,63.56988,2.97,4340
INOD,INNODATA INC,-0.204379562,2002,2,1,58.64696,2.74,4340
INOD,INNODATA INC,0.1467889908,2002,3,1,46.66072,2.18,4340
INOD,INNODATA INC,-0.144,2002,4,1,53.51,2.5,4340
INOD,INNODATA INC,-0.205607477,2002,5,1,45.90514,2.14,4340
INOD,INNODATA INC,-0.217647059,2002,6,1,36.6962,1.7,4340
INOD,INNODATA INC,-0.180451128,2002,7,1,28.70938,1.33,4340
INOD,INNODATA INC,0,2002,8,1,23.52874,1.09,4340
INOD,INNODATA INC,-0.082568807,2002,9,1,23.5767,1.09,4340
INOD,INNODATA INC,-0.1,2002,10,1,21.642,1,4340
INOD,INNODATA INC,0.1111111111,2002,11,1,19.4778,0.9,4340
INOD,INNODATA INC,-0.04,2002,12,1,21.435,1,4340
INOD,INNODATA INC,0.03125,2003,1,1,20.5776,0.96,4340
INOD,INNODATA INC,0.0505050505,2003,2,1,21.22065,0.99,4340
INOD,INNODATA INC,-0.057692308,2003,3,1,22.2924,1.04,4340
INOD,INNODATA INC,0.0714285714,2003,4,1,21.0063,0.98,4340
INOD,INNODATA INC,-0.038095238,2003,5,1,22.5078,1.05,4340
INOD,INNODATA INC,0.3366336634,2003,6,1,21.67056,1.01,4340
INOD,INNODATA INC,0.1555555556,2003,7,1,28.9656,1.35,4340
INOD,INNODATA INC,0.3724358974,2003,8,1,33.47136,1.56,4340
INOD,INNODATA INC,0.1373190098,2003,9,1,46.185652,2.141,4340
INOD,INNODATA INC,0.2238193018,2003,10,1,52.52782,2.435,4340
INOD,INNODATA INC,0.3926174497,2003,11,1,64.48422,2.98,4340
INOD,INNODATA INC,-0.036144578,2003,12,1,89.9305,4.15,4340
INOD,INNODATA INC,0.0375,2004,1,1,86.68,4,4340
INOD,INNODATA INC,-0.019277108,2004,2,1,89.9305,4.15,4340
INOD,INNODATA INC,-0.083538084,2004,3,1,88.1969,4.07,4340
INOD,INNODATA INC,-0.147453083,2004,4,1,81.87723,3.73,4340
INOD,INNODATA INC,0.2012578616,2004,5,1,69.86142,3.18,4340
INOD,INNODATA INC,-0.036649215,2004,6,1,83.92158,3.82,4340
INOD,INNODATA INC,-0.127717391,2004,7,1,80.84592,3.68,4340
INOD,INNODATA INC,0.2180685358,2004,8,1,70.52049,3.21,4340
INOD,INNODATA INC,0.0639386189,2004,9,1,87.23992,3.91,4340
INOD,INNODATA INC,0.1875,2004,10,1,92.81792,4.16,4340
INOD,INNODATA INC,0.4109311741,2004,11,1,110.22128,4.94,4340
INOD,INNODATA INC,0.4117647059,2004,12,1,157.29199,6.97,4340
INOD,INNODATA INC,-0.580284553,2005,1,1,222.05928,9.84,4340
INOD,INNODATA INC,0.0435835351,2005,2,1,93.20171,4.13,4340
INOD,INNODATA INC,-0.153132251,2005,3,1,97.26377,4.31,4340
