ticker,conm,ret,year,month,EW,VW,PW,n
IONS,IONIS PHARMACEUTICALS INC,0.25,2000,1,1,187.025,6.25,3531
IONS,IONIS PHARMACEUTICALS INC,0.808,2000,2,1,233.78125,7.8125,3531
IONS,IONIS PHARMACEUTICALS INC,-0.004424779,2000,3,1,422.6765,14.125,3531
IONS,IONIS PHARMACEUTICALS INC,-0.208888889,2000,4,1,493.509375,14.0625,3531
IONS,IONIS PHARMACEUTICALS INC,-0.168539326,2000,5,1,394.73725,11.125,3531
IONS,IONIS PHARMACEUTICALS INC,0.5675675676,2000,6,1,328.2085,9.25,3531
IONS,IONIS PHARMACEUTICALS INC,-0.224137931,2000,7,1,540.096,14.5,3531
IONS,IONIS PHARMACEUTICALS INC,0.1611111111,2000,8,1,419.04,11.25,3531
IONS,IONIS PHARMACEUTICALS INC,-0.119617225,2000,9,1,501.2734375,13.0625,3531
IONS,IONIS PHARMACEUTICALS INC,-0.10326087,2000,10,1,441.3125,11.5,3531
IONS,IONIS PHARMACEUTICALS INC,-0.115151515,2000,11,1,397.0828125,10.3125,3531
IONS,IONIS PHARMACEUTICALS INC,0.1643835616,2000,12,1,355.993625,9.125,3531
IONS,IONIS PHARMACEUTICALS INC,0.1647058824,2001,1,1,414.513125,10.625,3531
IONS,IONIS PHARMACEUTICALS INC,-0.121212121,2001,2,1,482.785875,12.375,3531
IONS,IONIS PHARMACEUTICALS INC,-0.149425287,2001,3,1,424.266375,10.875,3531
IONS,IONIS PHARMACEUTICALS INC,0.1891891892,2001,4,1,371.11,9.25,3531
IONS,IONIS PHARMACEUTICALS INC,0.0909090909,2001,5,1,441.32,11,3531
IONS,IONIS PHARMACEUTICALS INC,0.0325,2001,6,1,481.98,12,3531
IONS,IONIS PHARMACEUTICALS INC,-0.033898305,2001,7,1,498.80901,12.39,3531
IONS,IONIS PHARMACEUTICALS INC,0.3617376775,2001,8,1,508.4856,11.97,3531
IONS,IONIS PHARMACEUTICALS INC,0.0460122699,2001,9,1,688.6424,16.3,3531
IONS,IONIS PHARMACEUTICALS INC,0.2175953079,2001,10,1,720.3284,17.05,3531
IONS,IONIS PHARMACEUTICALS INC,0.0958574181,2001,11,1,1081.34688,20.76,3531
IONS,IONIS PHARMACEUTICALS INC,-0.024615385,2001,12,1,1185.002,22.75,3531
IONS,IONIS PHARMACEUTICALS INC,-0.215863001,2002,1,1,1155.83272,22.19,3531
IONS,IONIS PHARMACEUTICALS INC,-0.156896552,2002,2,1,906.3312,17.4,3531
IONS,IONIS PHARMACEUTICALS INC,0.0961145194,2002,3,1,764.13096,14.67,3531
IONS,IONIS PHARMACEUTICALS INC,-0.212686567,2002,4,1,837.57504,16.08,3531
IONS,IONIS PHARMACEUTICALS INC,-0.257503949,2002,5,1,683.34882,12.66,3531
IONS,IONIS PHARMACEUTICALS INC,0.0117021277,2002,6,1,509.151,9.4,3531
IONS,IONIS PHARMACEUTICALS INC,-0.069400631,2002,7,1,515.10915,9.51,3531
IONS,IONIS PHARMACEUTICALS INC,0.1435028249,2002,8,1,479.36025,8.85,3531
IONS,IONIS PHARMACEUTICALS INC,-0.0256917,2002,9,1,549.48564,10.12,3531
IONS,IONIS PHARMACEUTICALS INC,-0.010141988,2002,10,1,535.36842,9.86,3531
IONS,IONIS PHARMACEUTICALS INC,-0.115778689,2002,11,1,529.93872,9.76,3531
IONS,IONIS PHARMACEUTICALS INC,-0.236384705,2002,12,1,475.82368,8.63,3531
IONS,IONIS PHARMACEUTICALS INC,-0.091047041,2003,1,1,363.34624,6.59,3531
