ticker,conm,ret,year,month,EW,VW,PW,n
JLG,JLG INDUSTRIES INC,-0.470588235,2000,1,1,706.3659375,15.9375,821
JLG,JLG INDUSTRIES INC,0.0666666667,2000,2,1,373.9584375,8.4375,821
JLG,JLG INDUSTRIES INC,0.0219444444,2000,3,1,399.429,9,821
JLG,JLG INDUSTRIES INC,0.0340136054,2000,4,1,407.7504375,9.1875,821
JLG,JLG INDUSTRIES INC,0.0263157895,2000,5,1,421.6195,9.5,821
JLG,JLG INDUSTRIES INC,0.218974359,2000,6,1,432.71475,9.75,821
JLG,JLG INDUSTRIES INC,-0.142105263,2000,7,1,505.875,11.875,821
JLG,JLG INDUSTRIES INC,0.1349693252,2000,8,1,433.9875,10.1875,821
JLG,JLG INDUSTRIES INC,0.0549189189,2000,9,1,492.5625,11.5625,821
JLG,JLG INDUSTRIES INC,0.1435897436,2000,10,1,519.1875,12.1875,821
JLG,JLG INDUSTRIES INC,0.0448430493,2000,11,1,607.6889375,13.9375,821
JLG,JLG INDUSTRIES INC,-0.269699571,2000,12,1,634.9395625,14.5625,821
JLG,JLG INDUSTRIES INC,0.1294117647,2001,1,1,463.260625,10.625,821
JLG,JLG INDUSTRIES INC,0.0833333333,2001,2,1,523.212,12,821
JLG,JLG INDUSTRIES INC,0.0007692308,2001,3,1,544.83,13,821
JLG,JLG INDUSTRIES INC,-0.053846154,2001,4,1,544.83,13,821
JLG,JLG INDUSTRIES INC,-0.044715447,2001,5,1,515.493,12.3,821
JLG,JLG INDUSTRIES INC,0.0519148936,2001,6,1,492.4425,11.75,821
JLG,JLG INDUSTRIES INC,-0.085020243,2001,7,1,517.7614,12.35,821
JLG,JLG INDUSTRIES INC,0.0460176991,2001,8,1,473.7412,11.3,821
JLG,JLG INDUSTRIES INC,-0.224196277,2001,9,1,495.54168,11.82,821
JLG,JLG INDUSTRIES INC,0.0807860262,2001,10,1,384.02384,9.16,821
JLG,JLG INDUSTRIES INC,-0.035353535,2001,11,1,432.2637,9.9,821
JLG,JLG INDUSTRIES INC,0.1157068063,2001,12,1,416.98165,9.55,821
JLG,JLG INDUSTRIES INC,0.0685446009,2002,1,1,448.8762,10.65,821
JLG,JLG INDUSTRIES INC,0.237258348,2002,2,1,479.64424,11.38,821
JLG,JLG INDUSTRIES INC,0.0514914773,2002,3,1,593.44384,14.08,821
JLG,JLG INDUSTRIES INC,0.1121621622,2002,4,1,623.672,14.8,821
JLG,JLG INDUSTRIES INC,-0.161603888,2002,5,1,693.6244,16.46,821
JLG,JLG INDUSTRIES INC,0.0170289855,2002,6,1,589.5774,13.8,821
JLG,JLG INDUSTRIES INC,-0.358517463,2002,7,1,599.01085,14.03,821
JLG,JLG INDUSTRIES INC,0.02,2002,8,1,384.255,9,821
