ticker,conm,ret,year,month,EW,VW,PW,n
JUNO,JUNO THERAPEUTICS INC,,2014,12,1,,,3291
JUNO,JUNO THERAPEUTICS INC,-0.181348142,2015,1,1,4722.04572,52.22,3291
JUNO,JUNO THERAPEUTICS INC,0.0975438596,2015,2,1,3865.7115,42.75,3291
JUNO,JUNO THERAPEUTICS INC,0.2928388747,2015,3,1,4242.78792,46.92,3291
JUNO,JUNO THERAPEUTICS INC,-0.295417079,2015,4,1,5485.24116,60.66,3291
JUNO,JUNO THERAPEUTICS INC,0.2316331306,2015,5,1,3864.80724,42.74,3291
JUNO,JUNO THERAPEUTICS INC,0.0131079027,2015,6,1,4785.66032,52.64,3291
JUNO,JUNO THERAPEUTICS INC,-0.082692668,2015,7,1,4848.39029,53.33,3291
JUNO,JUNO THERAPEUTICS INC,-0.257767784,2015,8,1,4470.16284,48.92,3291
JUNO,JUNO THERAPEUTICS INC,0.1206279262,2015,9,1,3651.18836,36.31,3291
JUNO,JUNO THERAPEUTICS INC,0.2720570165,2015,10,1,4091.62364,40.69,3291
JUNO,JUNO THERAPEUTICS INC,0.0894513138,2015,11,1,5204.77856,51.76,3291
JUNO,JUNO THERAPEUTICS INC,-0.220251818,2015,12,1,5673.79263,56.39,3291
JUNO,JUNO THERAPEUTICS INC,-0.372754151,2016,1,1,4424.12949,43.97,3291
JUNO,JUNO THERAPEUTICS INC,0.2751994199,2016,2,1,2775.01686,27.58,3291
JUNO,JUNO THERAPEUTICS INC,0.0830253057,2016,3,1,3538.69989,35.17,3291
JUNO,JUNO THERAPEUTICS INC,0.1050144395,2016,4,1,4021.31366,38.09,3291
JUNO,JUNO THERAPEUTICS INC,0.0318365407,2016,5,1,4452.06975,42.09,3291
JUNO,JUNO THERAPEUTICS INC,-0.114897536,2016,6,1,4583.42848,43.43,3291
JUNO,JUNO THERAPEUTICS INC,-0.195369407,2016,7,1,4056.80384,38.44,3291
JUNO,JUNO THERAPEUTICS INC,-0.043646945,2016,8,1,3264.22848,30.93,3291
JUNO,JUNO THERAPEUTICS INC,0.0145368492,2016,9,1,3128.94282,29.58,3291
JUNO,JUNO THERAPEUTICS INC,-0.190603132,2016,10,1,3174.42779,30.01,3291
JUNO,JUNO THERAPEUTICS INC,-0.174557431,2016,11,1,2569.37191,24.29,3291
JUNO,JUNO THERAPEUTICS INC,-0.059850374,2016,12,1,2122.71355,20.05,3291
JUNO,JUNO THERAPEUTICS INC,0.1320954907,2017,1,1,1995.66835,18.85,3291
JUNO,JUNO THERAPEUTICS INC,0.1265229616,2017,2,1,2259.28714,21.34,3291
JUNO,JUNO THERAPEUTICS INC,-0.076955075,2017,3,1,2545.13884,24.04,3291
JUNO,JUNO THERAPEUTICS INC,0.1239296981,2017,4,1,2352.5838,22.19,3291
JUNO,JUNO THERAPEUTICS INC,-0.068564555,2017,5,1,2646.10906,24.94,3291
JUNO,JUNO THERAPEUTICS INC,0.286698235,2017,6,1,2464.72623,23.23,3291
JUNO,JUNO THERAPEUTICS INC,-0.048845768,2017,7,1,3171.35889,29.89,3291
JUNO,JUNO THERAPEUTICS INC,0.4516355962,2017,8,1,3016.45143,28.43,3291
JUNO,JUNO THERAPEUTICS INC,0.086988127,2017,9,1,4387.78513,41.27,3291
JUNO,JUNO THERAPEUTICS INC,0.0011145787,2017,10,1,5008.88816,44.86,3291
JUNO,JUNO THERAPEUTICS INC,0.2162101982,2017,11,1,5014.47096,44.91,3291
JUNO,JUNO THERAPEUTICS INC,-0.16312706,2017,12,1,6236.12926,54.62,3291
JUNO,JUNO THERAPEUTICS INC,0.877269744,2018,1,1,5218.84783,45.71,3291
JUNO,JUNO THERAPEUTICS INC,0.0111875073,2018,2,1,9896.63892,85.81,3291
JUNO,JUNO THERAPEUTICS INC,0.0026506857,2018,3,1,10007.35764,86.77,3291
